"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.72,7.8,14.3,20.8,2.2,2.68,16.15,41.9197438895647,-0.925750377947275,-1.1389026003463,-1.40096392894531
"1984-02","1984-02",1984-02-01,1984,"1984",0.87,6.6,13.5,20.5,2,2.05,15.88,36.6950977082083,-1.67360385777677,-2.35294768118015,-1.41331447669907
"1984-03","1984-03",1984-03-01,1984,"1984",1.5,9.2,14.9,20.7,5.8,1.8,14,52.200786434821,-2.16977903805266,-1.43608464354845,-1.44539093493845
"1984-04","1984-04",1984-04-01,1984,"1984",14.68,10.3,15.3,20.4,6.3,1.98,13.39,57.5515635385744,-2.25688913077927,0.206863683011275,0.0151166000470464
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.1,18,22.8,10.6,1.93,12.69,83.1473921900281,-2.51559959968454,-0.589455797849779,-1.28279994351365
"1984-06","1984-06",1984-06-01,1984,"1984",1.69,15.6,19.3,22.9,11.7,2.78,12.02,93.0503907982671,-2.61991439997644,0.654713216497912,-1.28328396168565
"1984-07","1984-07",1984-07-01,1984,"1984",1.38,18.9,22.9,27,14.7,3.29,16.72,126.385965531515,-2.60274791823547,0.760140282802117,-1.97246909130316
"1984-08","1984-08",1984-08-01,1984,"1984",2.25,18.8,22.9,26.9,16.1,2.15,13.96,120.043823024958,-2.35184110134486,1.22749053015597,-1.89028168298999
"1984-09","1984-09",1984-09-01,1984,"1984",4.61,19.2,23.9,28.6,15.9,2.88,19.63,115.266746272983,-2.22484643410304,0.746086846487486,-2.39531289810977
"1984-10","1984-10",1984-10-01,1984,"1985",5.05,12.6,18,23.4,8.1,2.81,16.37,67.7979690251646,-2.28457186971601,0.199526018875771,0.0544650435590384
"1984-11","1984-11",1984-11-01,1984,"1985",41.56,8.7,14.1,19.5,5.8,1.92,12.02,40.3764848560685,-1.71596713628086,0.939515010057593,1.16669225100598
"1984-12","1984-12",1984-12-01,1984,"1985",112.5,7.4,12.3,17.1,4,1.8,9.99,31.9772393434837,-0.637719092934714,1.33322634290906,1.46185186447845
"1985-01","1985-01",1985-01-01,1985,"1985",18.64,6.1,11.9,17.7,2.3,1.84,11.96,30.8538196356049,-1.22405744884958,-0.445779196477319,-0.41221525366574
"1985-02","1985-02",1985-02-01,1985,"1985",23.17,7.2,12.6,17.9,2.6,2.17,12.09,32.705539381147,-1.65743710874162,-0.563168488380813,-0.618180356752256
"1985-03","1985-03",1985-03-01,1985,"1985",13.42,6.4,11.8,17.2,4.6,1.3,9.48,35.3731905965052,-1.78118012142651,-0.410601142107202,-0.0303022752277582
"1985-04","1985-04",1985-04-01,1985,"1985",2.68,10.2,15.2,20.3,7.1,1.36,12.06,56.9254087052689,-1.91808093075647,-0.900228703580727,-0.69987286535999
"1985-05","1985-05",1985-05-01,1985,"1985",0.33,12.4,15.8,19.1,9.3,1.7,8.38,66.895800618772,-1.99435680235292,-0.43798042476926,0.00344100392948851
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.1,18,21.9,11.6,1.35,10.17,82.831396979931,-2.02794742235664,-0.139710298881862,-0.0233293447055935
"1985-07","1985-07",1985-07-01,1985,"1985",0,17.7,21.9,26,13.9,2.81,16.47,117.313724507787,-2.04751006156046,0,-1.44639862273712
"1985-08","1985-08",1985-08-01,1985,"1985",0,15.7,19.9,24.2,13.1,1.83,13.38,94.9739997611766,-1.97117081344495,0.210428394247925,0.864708566864869
"1985-09","1985-09",1985-09-01,1985,"1985",7.17,15,19.4,23.8,11.9,2.17,14.5,81.3889044722383,0.0873073768255602,0.959038483098835,0.901944277123092
"1985-10","1985-10",1985-10-01,1985,"1986",4.93,13.1,18.4,23.8,9.8,2.15,16.13,70.3300372131939,-0.208737187346808,0.19110234346782,-0.150958374560096
"1985-11","1985-11",1985-11-01,1985,"1986",86.39,9.2,14.1,19,6.3,1.42,11.28,40.3764848560685,0.739463672874217,1.92730787310991,2.03004118600346
"1985-12","1985-12",1985-12-01,1985,"1986",22.61,6.9,13.4,19.8,3.6,1.54,14.42,36.8892709004563,-0.495022052808298,-0.380886439870011,-0.604812471928326
"1986-01","1986-01",1986-01-01,1986,"1986",24.13,8.9,14.9,20.8,5.2,1.74,14.75,44.8949628983552,-0.972233781775501,-0.288701978705635,-0.695946280279293
"1986-02","1986-02",1986-02-01,1986,"1986",84.38,8.4,13.5,18.6,7,0.78,9.78,36.6950977082083,0.148077596495702,0.636384238178182,0.625369798667415
"1986-03","1986-03",1986-03-01,1986,"1986",73.42,9.9,14.2,18.5,8.3,0.95,8.54,48.1741073534142,0.493361084729502,1.092355752428,1.15817884966776
"1986-04","1986-04",1986-04-01,1986,"1986",20.81,9.8,15,20.2,8.2,1.53,12.21,55.6813456593975,0.69500705986056,0.52061535049515,0.433155631309995
"1986-05","1986-05",1986-05-01,1986,"1986",0,12,16.3,20.5,10.4,2.43,10.03,70.4646673024413,0.857490052069239,-0.589455797849779,-0.305530580158505
"1986-06","1986-06",1986-06-01,1986,"1986",0,14.8,18.1,21.4,13,2.25,8.42,83.6005161565304,0.892624311232774,-0.139710298881862,-0.133656403414197
"1986-07","1986-07",1986-07-01,1986,"1986",0.97,15.4,19.2,23,13.8,2.19,10.11,94.193099394032,0.875123392847482,0.656080692479179,0.954525075404407
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.1,20.3,24.5,14.5,1.94,12.29,98.1801107565199,0.834130879072566,0.210428394247925,0.453401925641625
"1986-09","1986-09",1986-09-01,1986,"1986",23.37,13.2,17.5,21.7,12,1.87,9.84,68.5310391849932,1.3035804326864,1.81298922886298,2.88392853611161
"1986-10","1986-10",1986-10-01,1986,"1987",9.38,11.4,16.9,22.3,10.2,1.46,12.59,61.0280913695648,-0.0564408488941911,0.444112595638605,0.679100451082441
"1986-11","1986-11",1986-11-01,1986,"1987",22.21,9.6,16.3,23.1,5.7,2.24,18.23,51.4253105366214,-0.133773879454502,0.289536572593763,-0.0041010380541178
"1986-12","1986-12",1986-12-01,1986,"1987",29.52,5.6,12.8,20,4.2,1.36,14.4,34.1751268449816,-0.369691851704816,-0.158449872038885,-0.304250916457402
