PRISM Time Series Data
Location:  Lat: 33.6338   Lon: -117.9520   Elev: 5m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,6.98,9.2,15.0,20.8,3.9,2.80,15.31
1984-02,0.04,8.8,14.5,20.2,4.0,2.35,14.55
1984-03,3.60,11.2,16.1,21.1,6.8,2.56,14.02
1984-04,17.71,11.5,15.7,20.0,6.6,2.68,12.68
1984-05,0.00,14.4,18.5,22.7,11.1,2.64,12.45
1984-06,0.02,16.6,19.7,22.8,12.1,3.51,11.66
1984-07,0.00,19.0,22.4,25.9,15.0,3.22,14.65
1984-08,2.63,19.9,23.2,26.5,16.4,3.04,12.98
1984-09,3.07,20.5,24.4,28.3,16.4,3.93,18.43
1984-10,6.00,14.2,18.7,23.2,9.0,3.59,15.65
1984-11,45.38,10.0,14.8,19.6,7.4,2.00,11.07
1984-12,125.21,8.2,12.6,17.0,5.2,1.80,9.11
1985-01,19.27,7.6,12.7,17.8,3.5,2.25,11.43
1985-02,33.83,7.7,12.9,18.1,4.3,1.82,11.32
1985-03,14.04,8.2,12.8,17.4,5.7,1.48,9.09
1985-04,0.33,11.5,15.7,19.9,7.7,1.86,11.33
1985-05,1.59,13.3,16.1,19.0,9.7,2.13,7.98
1985-06,0.00,15.4,18.6,21.8,11.8,2.35,10.45
1985-07,0.00,18.1,21.8,25.4,13.7,3.19,16.25
1985-08,0.00,16.7,20.1,23.5,13.0,2.96,13.33
1985-09,6.46,16.5,20.3,24.0,13.3,2.56,13.73
1985-10,3.00,14.8,19.2,23.5,11.0,2.60,14.75
1985-11,86.30,10.5,14.8,19.1,8.3,1.28,9.61
1985-12,15.16,8.3,13.9,19.5,4.9,1.66,13.18
1986-01,25.78,10.5,15.5,20.5,7.1,1.77,13.05
1986-02,118.13,10.0,14.3,18.7,8.2,0.96,9.05
1986-03,71.70,11.2,15.1,18.9,9.4,1.05,8.46
1986-04,15.50,11.8,15.8,19.9,9.2,2.02,10.98
1986-05,0.00,13.5,16.9,20.2,10.9,2.63,9.52
1986-06,0.00,15.6,18.4,21.2,13.4,2.80,8.52
1986-07,2.92,16.4,19.6,22.8,14.2,2.73,9.68
1986-08,0.00,16.9,20.5,24.1,15.3,1.74,10.74
1986-09,29.44,15.2,18.4,21.7,13.1,2.00,9.52
1986-10,6.24,13.5,17.8,22.0,11.5,1.55,11.99
1986-11,19.30,11.8,17.4,22.9,8.3,2.38,16.40
1986-12,16.06,8.6,14.0,19.3,7.4,1.36,11.36
1987-01,48.75,7.2,12.5,17.8,4.2,1.97,11.19
1987-02,40.34,9.1,14.2,19.3,5.5,2.74,12.95
1987-03,20.71,9.9,14.2,18.6,7.5,2.54,10.26
1987-04,2.35,12.2,16.5,20.7,8.8,3.01,14.14
1987-05,1.57,14.3,17.0,19.6,11.0,2.41,7.92
1987-06,0.01,15.2,17.7,20.3,12.3,2.53,7.71
1987-07,1.81,15.7,18.4,21.1,12.5,2.98,8.91
1987-08,2.73,16.5,19.7,22.9,14.1,2.57,10.66
1987-09,1.42,16.2,20.2,24.2,14.7,2.18,11.96
1987-10,20.81,16.1,19.7,23.4,14.1,1.85,12.27
1987-11,43.25,11.1,16.0,20.9,9.4,1.74,12.62
1987-12,46.57,6.9,11.4,15.9,4.4,1.52,8.79
1988-01,37.20,7.6,12.7,17.8,4.2,1.99,12.17
1988-02,20.73,9.1,14.7,20.3,4.6,2.63,15.39
1988-03,6.83,10.2,15.4,20.7,6.4,2.46,15.58
1988-04,42.99,11.8,15.3,18.7,9.6,1.85,9.68
1988-05,0.00,13.0,16.1,19.1,10.3,2.28,8.88
1988-06,0.00,13.9,16.6,19.3,11.9,2.34,7.30
1988-07,0.00,18.1,20.4,22.6,16.3,2.48,6.66
1988-08,0.10,17.1,19.9,22.6,15.7,2.16,8.14
1988-09,1.63,16.0,19.1,22.2,14.6,2.34,10.44
1988-10,0.00,15.5,17.9,20.4,13.6,2.46,8.56
1988-11,22.23,10.5,14.8,19.1,9.6,1.79,10.00
1988-12,63.64,7.8,12.8,17.8,4.3,2.27,12.96
1989-01,13.04,6.5,11.9,17.2,2.4,2.21,12.85
1989-02,25.35,7.6,12.1,16.5,5.7,1.52,9.80
1989-03,16.45,10.4,14.2,18.1,8.9,1.16,8.81
1989-04,0.00,13.5,17.1,20.8,9.6,3.18,14.06
1989-05,0.00,13.3,16.1,18.8,10.7,2.38,7.67
1989-06,0.57,15.1,17.6,20.0,12.5,2.66,8.01
1989-07,0.00,17.0,20.6,24.2,15.3,2.16,11.00
1989-08,0.00,17.1,19.8,22.5,15.1,3.15,10.11
1989-09,12.26,15.8,19.6,23.3,14.4,2.23,12.48
1989-10,11.10,13.9,17.3,20.7,11.9,2.34,10.79
1989-11,4.80,12.0,18.1,24.2,6.4,3.24,20.48
1989-12,0.00,8.7,14.3,19.9,5.7,2.11,17.30
1990-01,45.53,8.2,13.2,18.2,5.5,1.82,11.77
1990-02,58.40,8.1,12.1,16.1,5.1,1.70,9.45
1990-03,2.85,10.2,14.7,19.2,7.9,1.68,11.81
1990-04,12.26,13.0,15.9,18.7,11.3,1.78,7.57
1990-05,18.13,13.7,16.5,19.4,10.9,2.49,8.84
1990-06,0.10,15.9,19.1,22.3,13.4,2.58,11.55
1990-07,0.00,18.6,20.9,23.3,16.0,2.98,9.81
1990-08,0.00,18.0,20.3,22.5,15.7,2.91,8.86
1990-09,0.00,17.2,20.7,24.1,15.6,2.54,12.06
1990-10,0.00,15.3,19.0,22.8,12.0,3.10,14.06
1990-11,9.03,11.5,16.9,22.2,7.0,3.32,17.19
1990-12,1.43,7.1,12.4,17.8,1.5,3.26,12.32
1991-01,33.48,8.9,13.0,17.2,6.1,1.92,10.58
1991-02,53.25,10.3,14.7,19.0,8.9,1.33,10.71
1991-03,150.12,9.0,12.8,16.7,6.5,1.60,8.72
1991-04,2.03,11.5,14.8,18.2,8.7,1.90,8.88
1991-05,0.00,12.4,14.9,17.5,10.0,2.02,6.47
