"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",6.98,9.2,15,20.8,3.9,2.8,15.31,43.5416340548604,-0.914025644456687,-0.877346734801389,-1.25373718347441
"1984-02","1984-02",1984-02-01,1984,"1984",0.04,8.8,14.5,20.2,4,2.35,14.55,39.5859010373356,-1.74018651421691,-3.12198268771531,-1.40605707562348
"1984-03","1984-03",1984-03-01,1984,"1984",3.6,11.2,16.1,21.1,6.8,2.56,14.02,57.3463949257206,-2.19213120105978,-1.05435846299152,-1.35462100896451
"1984-04","1984-04",1984-04-01,1984,"1984",17.71,11.5,15.7,20,6.6,2.68,12.68,57.9504165547702,-2.12832558950868,0.662250851380975,0.583231075888454
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.4,18.5,22.7,11.1,2.64,12.45,84.9591300226468,-2.34042423581701,-0.355490417839531,-1.40979991401215
"1984-06","1984-06",1984-06-01,1984,"1984",0.02,16.6,19.7,22.8,12.1,3.51,11.66,94.4283266478612,-2.43667839898968,0.509058046125566,-1.38670689065119
"1984-07","1984-07",1984-07-01,1984,"1984",0,19,22.4,25.9,15,3.22,14.65,120.520795672193,-2.42298764695136,0.282216147062508,-1.56637335178834
"1984-08","1984-08",1984-08-01,1984,"1984",2.63,19.9,23.2,26.5,16.4,3.04,12.98,121.615483920351,0.124769225851282,NA,-1.56097413457574
"1984-09","1984-09",1984-09-01,1984,"1984",3.07,20.5,24.4,28.3,16.4,3.93,18.43,118.61325615959,-0.0773923115514277,0.688591440442591,-2.47108319533064
"1984-10","1984-10",1984-10-01,1984,"1985",6,14.2,18.7,23.2,9,3.59,15.65,70.445808111353,-0.197838480540878,0.244709736249721,0.0977010749686877
"1984-11","1984-11",1984-11-01,1984,"1985",45.38,10,14.8,19.6,7.4,2,11.07,41.9551544591915,0.36761468522254,1.1068394138102,1.35342909943918
"1984-12","1984-12",1984-12-01,1984,"1985",125.21,8.2,12.6,17,5.2,1.8,9.11,31.5346569367276,1.13549515639465,1.55181133337183,1.67275720712529
"1985-01","1985-01",1985-01-01,1985,"1985",19.27,7.6,12.7,17.8,3.5,2.25,11.43,32.6046056724124,-0.706540590243914,-0.377285093875985,-0.346794765178799
"1985-02","1985-02",1985-02-01,1985,"1985",33.83,7.7,12.9,18.1,4.3,1.82,11.32,32.3068686933872,-1.20007470862274,-0.238295867054148,-0.273833261216001
"1985-03","1985-03",1985-03-01,1985,"1985",14.04,8.2,12.8,17.4,5.7,1.48,9.09,38.4935012457327,-1.27949205153498,-0.337169436624036,0.0104739713731196
"1985-04","1985-04",1985-04-01,1985,"1985",0.33,11.5,15.7,19.9,7.7,1.86,11.33,57.9504165547702,-1.20195432611446,-1.19173212972631,-0.667528634280439
"1985-05","1985-05",1985-05-01,1985,"1985",1.59,13.3,16.1,19,9.7,2.13,7.98,66.7324835488843,-1.13687783475666,0.0681590099773571,0.289611501720473
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.4,18.6,21.8,11.8,2.35,10.45,85.4548923087749,-1.07665322830749,0.0696849203184557,-0.038805082478429
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.1,21.8,25.4,13.7,3.19,16.25,114.966139042042,-1.08661901574479,0.282216147062508,-1.18985994228434
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.7,20.1,23.5,13,2.96,13.33,94.7837950837208,-1.03129700625277,NA,0.829059425195622
"1985-09","1985-09",1985-09-01,1985,"1985",6.46,16.5,20.3,24,13.3,2.56,13.73,86.1566577039569,-0.825625897049181,0.956248326863664,0.629895419270883
"1985-10","1985-10",1985-10-01,1985,"1986",3,14.8,19.2,23.5,11,2.6,14.75,73.7514219858526,-0.995367401381912,-0.0100674256025971,-0.400038304710666
"1985-11","1985-11",1985-11-01,1985,"1986",86.3,10.5,14.8,19.1,8.3,1.28,9.61,41.9551544591915,0.935796120610428,1.97378759203582,2.08385367308849
"1985-12","1985-12",1985-12-01,1985,"1986",15.16,8.3,13.9,19.5,4.9,1.66,13.18,37.4022685922764,-0.398222389227387,-0.559037319084381,-0.729732701868009
