PRISM Time Series Data
Location:  Lat: 34.4678   Lon: -120.3069   Elev: 64m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,0.97,8.6,13.0,17.4,3.8,2.40,10.02
1984-02,7.80,7.8,12.3,16.9,3.1,2.29,10.04
1984-03,14.10,9.5,13.6,17.8,5.8,2.00,10.09
1984-04,12.52,8.7,12.8,16.9,4.1,2.44,10.02
1984-05,0.00,10.6,14.8,19.0,7.5,2.18,9.56
1984-06,0.00,11.9,14.9,18.0,9.3,1.59,7.15
1984-07,0.54,14.2,17.2,20.3,12.0,0.98,6.52
1984-08,1.23,15.1,18.4,21.8,13.2,1.50,7.89
1984-09,1.17,16.7,20.7,24.7,14.0,2.44,13.68
1984-10,16.52,12.0,16.0,20.0,6.7,3.45,12.50
1984-11,64.71,9.7,13.5,17.2,5.5,2.55,8.85
1984-12,105.66,8.6,11.5,14.4,3.3,2.78,7.01
1985-01,19.00,8.4,11.5,14.7,2.2,3.08,7.69
1985-02,30.99,7.8,11.8,15.9,2.7,2.42,8.52
1985-03,37.85,7.7,11.2,14.7,3.4,2.12,6.74
1985-04,0.04,9.7,13.3,16.8,5.8,1.96,8.60
1985-05,0.00,9.8,13.2,16.5,5.9,2.22,7.56
1985-06,0.00,12.0,15.6,19.2,9.5,1.54,7.77
1985-07,0.00,13.8,17.6,21.4,10.5,2.18,11.72
1985-08,0.00,12.7,16.5,20.3,10.7,1.83,9.63
1985-09,0.00,13.0,17.0,21.0,10.3,2.27,10.61
1985-10,11.49,11.4,15.7,20.1,7.8,2.55,11.87
1985-11,100.33,8.8,12.8,16.8,5.5,1.64,8.75
1985-12,24.86,7.8,12.4,17.0,3.5,2.16,10.25
1986-01,34.91,10.3,14.0,17.6,5.9,2.13,9.04
1986-02,149.27,10.3,13.2,16.1,6.8,1.34,6.19
1986-03,143.26,10.4,13.2,16.1,7.8,1.20,5.61
1986-04,7.74,9.8,13.1,16.5,7.4,1.70,7.67
1986-05,0.00,9.6,13.3,17.0,8.6,1.16,6.61
1986-06,0.00,12.0,15.2,18.4,11.3,1.08,6.08
1986-07,0.00,12.5,16.0,19.5,11.7,1.09,6.65
1986-08,0.00,12.9,16.2,19.5,12.0,0.97,6.61
1986-09,25.09,12.3,15.9,19.5,11.2,1.78,8.32
1986-10,0.00,12.5,16.1,19.7,10.6,1.81,9.23
1986-11,30.80,11.6,15.4,19.2,7.0,2.91,12.68
1986-12,26.78,9.5,13.3,17.0,5.9,1.46,8.78
1987-01,47.70,7.6,11.1,14.7,3.1,2.27,7.81
1987-02,55.74,9.1,12.6,16.0,4.6,2.78,9.06
1987-03,108.18,8.6,12.1,15.6,6.0,1.84,6.42
1987-04,5.45,9.9,14.2,18.5,7.8,1.66,10.55
1987-05,0.01,11.8,15.0,18.2,9.2,1.91,7.47
1987-06,0.00,11.9,14.8,17.7,10.5,1.15,5.47
1987-07,0.00,12.2,15.7,19.2,11.2,1.31,6.55
1987-08,0.00,12.9,16.4,20.0,12.4,1.38,7.05
1987-09,0.00,13.1,16.3,19.5,13.4,0.56,5.22
1987-10,38.08,13.9,18.3,22.6,13.1,1.43,11.51
1987-11,25.03,11.4,14.5,17.6,9.1,1.92,6.52
1987-12,106.16,5.3,9.7,14.0,4.7,1.05,5.80
1988-01,58.14,6.4,10.8,15.2,5.4,1.35,7.30
1988-02,52.10,7.6,12.9,18.2,5.8,1.67,11.46
1988-03,43.17,9.1,15.2,21.3,5.6,2.18,16.47
1988-04,72.74,9.9,14.7,19.6,9.1,1.36,10.80
1988-05,3.49,9.9,14.0,18.2,8.4,1.72,8.98
1988-06,1.77,11.0,14.1,17.2,10.6,1.30,5.54
