"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",0.97,8.6,13,17.4,3.8,2.4,10.02,42.4945394856141,-0.959557250719627,-1.98920582876073,-1.53071630073339
"1984-02","1984-02",1984-02-01,1984,"1984",7.8,7.8,12.3,16.9,3.1,2.29,10.04,37.9789586442165,-1.65439713847739,-1.36649263791373,-1.23574685013022
"1984-03","1984-03",1984-03-01,1984,"1984",14.1,9.5,13.6,17.8,5.8,2,10.09,53.0535410453176,-2.24213872733822,-0.893832251285029,-1.10451457818237
"1984-04","1984-04",1984-04-01,1984,"1984",12.52,8.7,12.8,16.9,4.1,2.44,10.02,51.5321896682062,-2.45371992076995,0.0769784590449091,0.0297440881962817
"1984-05","1984-05",1984-05-01,1984,"1984",0,10.6,14.8,19,7.5,2.18,9.56,69.9292802257734,-2.83497365330691,-0.589455797849779,-1.35111429132029
"1984-06","1984-06",1984-06-01,1984,"1984",0,11.9,14.9,18,9.3,1.59,7.15,70.4110101480524,-3.0296423600427,0.0696849203184557,-0.303355210412642
"1984-07","1984-07",1984-07-01,1984,"1984",0.54,14.2,17.2,20.3,12,0.98,6.52,88.0954000313735,-3.05610150940991,0.937107669383452,-1.3947078868856
"1984-08","1984-08",1984-08-01,1984,"1984",1.23,15.1,18.4,21.8,13.2,1.5,7.89,91.893282336143,-2.85243200239089,1.69545600788751,-1.56147798756842
"1984-09","1984-09",1984-09-01,1984,"1984",1.17,16.7,20.7,24.7,14,2.44,13.68,96.8019818832382,-2.75376967871574,0.461027184936872,-2.31223222369433
"1984-10","1984-10",1984-10-01,1984,"1985",16.52,12,16,20,6.7,3.45,12.5,63.1561929295759,-2.58469809936935,0.425767227214002,0.387030916911401
"1984-11","1984-11",1984-11-01,1984,"1985",64.71,9.7,13.5,17.2,5.5,2.55,8.85,44.2514021670512,-1.76623158597089,1.09410863374035,1.24573961120003
"1984-12","1984-12",1984-12-01,1984,"1985",105.66,8.6,11.5,14.4,3.3,2.78,7.01,34.9877780028011,-1.13133978185408,0.847987772677758,0.930902371700057
"1985-01","1985-01",1985-01-01,1985,"1985",19,8.4,11.5,14.7,2.2,3.08,7.69,35.7100973430034,-1.7734353434227,-0.698811544724017,-0.750419218038304
"1985-02","1985-02",1985-02-01,1985,"1985",30.99,7.8,11.8,15.9,2.7,2.42,8.52,35.8073981868228,-2.22924053091745,-0.560065164276006,-0.67525705082679
"1985-03","1985-03",1985-03-01,1985,"1985",37.85,7.7,11.2,14.7,3.4,2.12,6.74,40.2795011270398,-2.39328952597244,-0.260269345858954,-0.218210876644363
"1985-04","1985-04",1985-04-01,1985,"1985",0.04,9.7,13.3,16.8,5.8,1.96,8.6,54.4112840532523,-2.60393446311262,-1.14657601882319,-0.926412317268223
"1985-05","1985-05",1985-05-01,1985,"1985",0,9.8,13.2,16.5,5.9,2.22,7.56,59.451729459482,-2.75142919720901,-0.589455797849779,-0.124153274010752
"1985-06","1985-06",1985-06-01,1985,"1985",0,12,15.6,19.2,9.5,1.54,7.77,75.1498449995277,-2.83611551201883,0.0696849203184557,-1.75392791502918
"1985-07","1985-07",1985-07-01,1985,"1985",0,13.8,17.6,21.4,10.5,2.18,11.72,91.0161267143755,-2.85089652540846,0.508488059109357,-1.74449686067497
"1985-08","1985-08",1985-08-01,1985,"1985",0,12.7,16.5,20.3,10.7,1.83,9.63,78.7279246922201,-2.71550581032958,0.861634120174172,-0.0198168252309404
"1985-09","1985-09",1985-09-01,1985,"1985",0,13,17,21,10.3,2.27,10.61,73.2066766296221,-2.63775534541849,0,-0.556890874656113
"1985-10","1985-10",1985-10-01,1985,"1986",11.49,11.4,15.7,20.1,7.8,2.55,11.87,61.4827586750105,-2.58215000887261,0.244596342340171,0.228736706385228
"1985-11","1985-11",1985-11-01,1985,"1986",100.33,8.8,12.8,16.8,5.5,1.64,8.75,41.0317591540689,0.866071498743089,1.77177133690237,1.96282844024374
"1985-12","1985-12",1985-12-01,1985,"1986",24.86,7.8,12.4,17,3.5,2.16,10.25,38.9352825992246,-0.783408861663433,-0.571002761070593,-0.709508236434428
