PRISM Time Series Data
Location:  Lat: 34.2336   Lon: -119.2572   Elev: 8m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,2.58,8.4,14.4,20.5,2.4,2.82,15.58
1984-02,0.00,7.1,13.4,19.7,2.9,2.08,14.20
1984-03,3.64,8.4,14.8,21.2,5.7,1.55,14.96
1984-04,4.83,9.0,14.4,19.7,6.7,1.45,11.91
1984-05,0.00,12.0,16.4,20.8,9.9,1.56,10.37
1984-06,0.00,13.6,17.1,20.6,11.7,1.20,8.37
1984-07,0.03,16.1,19.4,22.7,14.0,1.21,8.49
1984-08,0.77,17.6,20.8,24.0,15.1,2.13,9.68
1984-09,10.55,18.3,22.5,26.7,15.7,2.66,15.11
1984-10,7.86,11.8,16.9,22.0,7.1,3.08,15.56
1984-11,59.42,8.3,13.6,18.9,6.5,1.68,10.82
1984-12,107.27,6.8,11.7,16.6,3.2,2.08,10.03
1985-01,28.69,6.9,12.2,17.6,2.6,2.51,11.68
1985-02,37.87,7.2,12.6,18.0,3.2,1.94,12.03
1985-03,24.94,7.0,12.1,17.1,4.9,1.36,9.22
1985-04,0.00,10.1,14.4,18.7,7.3,1.44,10.24
1985-05,0.00,10.3,14.2,18.2,8.7,1.10,7.61
1985-06,0.00,13.4,16.9,20.4,11.6,1.11,7.84
1985-07,0.00,16.1,19.8,23.5,13.7,1.69,11.37
1985-08,0.10,14.2,18.5,22.7,13.0,1.52,10.68
1985-09,0.28,13.7,18.3,22.8,12.2,1.85,11.54
1985-10,11.82,12.3,17.3,22.3,9.7,2.40,13.76
1985-11,96.76,8.6,13.6,18.7,6.4,1.43,10.48
1985-12,19.76,7.9,14.0,20.1,2.6,2.93,15.32
1986-01,79.56,10.5,15.8,21.1,6.7,2.22,14.09
1986-02,163.55,9.3,13.8,18.3,7.6,1.08,8.57
1986-03,112.64,9.8,14.3,18.8,8.7,0.96,8.14
1986-04,48.59,10.1,14.6,19.1,9.3,1.11,9.71
1986-05,0.00,10.9,14.8,18.8,10.7,1.09,7.06
1986-06,0.00,12.8,16.5,20.3,12.8,0.81,7.22
1986-07,0.00,14.2,17.9,21.5,13.8,1.26,7.90
1986-08,0.00,14.3,17.8,21.2,13.2,1.27,7.98
1986-09,25.15,12.9,16.8,20.8,13.0,1.33,7.76
1986-10,0.00,12.0,17.1,22.1,11.9,1.18,11.85
1986-11,28.58,10.6,16.8,23.0,7.9,2.28,17.02
1986-12,5.51,8.0,14.0,20.1,5.8,1.70,13.63
1987-01,45.69,6.3,12.0,17.6,3.7,1.76,11.44
1987-02,40.42,8.1,13.5,18.8,5.3,2.11,12.48
1987-03,50.38,8.2,13.3,18.4,6.7,1.58,10.66
1987-04,0.00,10.6,15.5,20.4,8.7,1.68,12.36
1987-05,0.80,12.8,16.3,19.7,11.7,1.63,7.18
1987-06,0.03,13.4,16.6,19.9,12.4,1.08,6.72
1987-07,0.25,12.9,17.0,21.1,13.0,1.02,7.81
1987-08,0.00,14.3,18.3,22.2,14.0,1.38,8.99
1987-09,0.00,14.3,18.7,23.0,14.5,1.13,8.22
1987-10,36.80,15.2,18.8,22.5,14.2,1.48,9.56
1987-11,34.77,10.3,15.4,20.6,8.6,1.87,12.37
1987-12,77.22,6.1,11.1,16.0,5.0,1.35,8.42
1988-01,49.77,7.3,12.7,18.1,4.8,1.92,11.96
1988-02,23.39,8.1,14.4,20.7,4.9,2.25,15.92
1988-03,20.28,9.3,15.5,21.7,7.2,1.73,16.85
