"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",2.58,8.4,14.4,20.5,2.4,2.82,15.58,45.1627074672294,-0.941142477958267,-1.4241386599187,-1.47054478716613
"1984-02","1984-02",1984-02-01,1984,"1984",0,7.1,13.4,19.7,2.9,2.08,14.2,39.0055972971611,-1.66372972046558,-1.91450582505556,-1.25960633928688
"1984-03","1984-03",1984-03-01,1984,"1984",3.64,8.4,14.8,21.2,5.7,1.55,14.96,55.1067133930824,-2.25141755737965,-1.15326059482515,-1.32410621288733
"1984-04","1984-04",1984-04-01,1984,"1984",4.83,9,14.4,19.7,6.7,1.45,11.91,55.8555875925266,-2.54105112046037,-0.131720824384514,-0.370292342057185
"1984-05","1984-05",1984-05-01,1984,"1984",0,12,16.4,20.8,9.9,1.56,10.37,75.4880807659374,-2.86501478054092,-0.589455797849779,-1.2461544827181
"1984-06","1984-06",1984-06-01,1984,"1984",0,13.6,17.1,20.6,11.7,1.2,8.37,80.3270058368415,-3.00412156275072,0.139710298881862,-0.657990764884648
"1984-07","1984-07",1984-07-01,1984,"1984",0.03,16.1,19.4,22.7,14,1.21,8.49,99.7889825245686,-2.97153453136515,1.14247287562614,-1.2061825219227
"1984-08","1984-08",1984-08-01,1984,"1984",0.77,17.6,20.8,24,15.1,2.13,9.68,105.475940948306,0.00839992412414263,1.72843154507034,-1.84097268379327
"1984-09","1984-09",1984-09-01,1984,"1984",10.55,18.3,22.5,26.7,15.7,2.66,15.11,106.314001351049,0.228604611958084,1.47251326194266,-1.93817999648366
"1984-10","1984-10",1984-10-01,1984,"1985",7.86,11.8,16.9,22,7.1,3.08,15.56,64.0761078538522,0.154667028399825,0.315926854637985,0.187985656877368
"1984-11","1984-11",1984-11-01,1984,"1985",59.42,8.3,13.6,18.9,6.5,1.68,10.82,40.7741631161051,0.537086409012367,1.07888143963728,1.30823394355534
"1984-12","1984-12",1984-12-01,1984,"1985",107.27,6.8,11.7,16.6,3.2,2.08,10.03,32.0355443726656,0.95602966522939,1.03840200500758,1.16409496248968
"1985-01","1985-01",1985-01-01,1985,"1985",28.69,6.9,12.2,17.6,2.6,2.51,11.68,34.8897181639198,-0.611167961775776,-0.267759243222088,-0.287323032983583
"1985-02","1985-02",1985-02-01,1985,"1985",37.87,7.2,12.6,18,3.2,1.94,12.03,35.4414285408169,-1.11936181860738,-0.248462304144286,-0.384407947541736
"1985-03","1985-03",1985-03-01,1985,"1985",24.94,7,12.1,17.1,4.9,1.36,9.22,40.2749477341573,-1.38246026219039,-0.377377472771671,-0.270538549798632
"1985-04","1985-04",1985-04-01,1985,"1985",0,10.1,14.4,18.7,7.3,1.44,10.24,55.8555875925266,-1.4857013306298,-1.08532490807676,-0.691768012561139
"1985-05","1985-05",1985-05-01,1985,"1985",0,10.3,14.2,18.2,8.7,1.1,7.61,60.3256120157214,-1.52245191828576,-0.589455797849779,0.275773696238662
"1985-06","1985-06",1985-06-01,1985,"1985",0,13.4,16.9,20.4,11.6,1.11,7.84,78.8693121895908,-1.51784327803531,0.139710298881862,-0.329943282786367
"1985-07","1985-07",1985-07-01,1985,"1985",0,16.1,19.8,23.5,13.7,1.69,11.37,103.010108947427,-1.5025626905166,0.674489750196082,-1.50679032227532
"1985-08","1985-08",1985-08-01,1985,"1985",0.1,14.2,18.5,22.7,13,1.52,10.68,87.8887517063073,-1.41624213336416,0.724158060869168,0.0382582485020955
"1985-09","1985-09",1985-09-01,1985,"1985",0.28,13.7,18.3,22.8,12.2,1.85,11.54,77.0744754288692,-1.41054276274769,0.242538336114428,-0.182743329459688
"1985-10","1985-10",1985-10-01,1985,"1986",11.82,12.3,17.3,22.3,9.7,2.4,13.76,66.4524029890253,-0.0324929494335029,0.494203763755572,0.276835945479982
"1985-11","1985-11",1985-11-01,1985,"1986",96.76,8.6,13.6,18.7,6.4,1.43,10.48,40.7741631161051,0.820874212515486,1.70781844521746,1.85263394645959
"1985-12","1985-12",1985-12-01,1985,"1986",19.76,7.9,14,20.1,2.6,2.93,15.32,42.3604263862827,-0.620982783135982,-0.524756560600488,-0.799285598881712
"1986-01","1986-01",1986-01-01,1986,"1986",79.56,10.5,15.8,21.1,6.7,2.22,14.09,52.1800279676469,-0.612229894605718,0.472787575266523,0.361874055057844
"1986-02","1986-02",1986-02-01,1986,"1986",163.55,9.3,13.8,18.3,7.6,1.08,8.57,40.8330622763339,0.4135079287787,1.0322139919414,1.10159092499939
"1986-03","1986-03",1986-03-01,1986,"1986",112.64,9.8,14.3,18.8,8.7,0.96,8.14,52.2360758306837,0.75681966752722,0.943020185372115,0.99860406672223
"1986-04","1986-04",1986-04-01,1986,"1986",48.59,10.1,14.6,19.1,9.3,1.11,9.71,57.0678470198354,1.1789644328647,1.19795245503357,1.18661840525387
"1986-05","1986-05",1986-05-01,1986,"1986",0,10.9,14.8,18.8,10.7,1.09,7.06,64.3398251199708,1.36924457681614,-0.589455797849779,-0.062679453667362
"1986-06","1986-06",1986-06-01,1986,"1986",0,12.8,16.5,20.3,12.8,0.81,7.22,75.9826890346323,1.5873250779185,0.139710298881862,0.248732275621446
"1986-07","1986-07",1986-07-01,1986,"1986",0,14.2,17.9,21.5,13.8,1.26,7.9,88.0399755274864,1.64096149795252,0.674489750196082,0.251182702268944
"1986-08","1986-08",1986-08-01,1986,"1986",0,14.3,17.8,21.2,13.2,1.27,7.98,82.7669254750957,1.60981644960592,0.508488059109357,0.738536187955291
"1986-09","1986-09",1986-09-01,1986,"1986",25.15,12.9,16.8,20.8,13,1.33,7.76,67.4674050170068,2.26958442151294,2.27025121588831,2.91495796074045
"1986-10","1986-10",1986-10-01,1986,"1987",0,12,17.1,22.1,11.9,1.18,11.85,65.2603876803909,-0.322300328613652,-0.430727299295457,-0.424284402625915
"1986-11","1986-11",1986-11-01,1986,"1987",28.58,10.6,16.8,23,7.9,2.28,17.02,56.6550795678106,-0.403513548868484,0.331355181889216,-0.049969545525681
"1986-12","1986-12",1986-12-01,1986,"1987",5.51,8,14,20.1,5.8,1.7,13.63,42.3604263862827,-1.04034099425555,-1.09458880174513,-1.18537575577165
"1987-01","1987-01",1987-01-01,1987,"1987",45.69,6.3,12,17.6,3.7,1.76,11.44,34.0034482704188,-1.10370134465698,0.0421622564994065,0.0934653450763299
"1987-02","1987-02",1987-02-01,1987,"1987",40.42,8.1,13.5,18.8,5.3,2.11,12.48,39.45965551844,-1.31938533289459,-0.203773850339353,-0.411571651717478
"1987-03","1987-03",1987-03-01,1987,"1987",50.38,8.2,13.3,18.4,6.7,1.58,10.66,46.6616990019368,-1.37523078477655,0.141374492708146,0.147454425486496
"1987-04","1987-04",1987-04-01,1987,"1987",0,10.6,15.5,20.4,8.7,1.68,12.36,62.6370501304283,-1.86708420536298,-1.08532490807676,-1.23216668551224
"1987-05","1987-05",1987-05-01,1987,"1987",0.8,12.8,16.3,19.7,11.7,1.63,7.18,74.7727852534725,-2.40236050071922,0.00556336809314878,-1.06538857319213
"1987-06","1987-06",1987-06-01,1987,"1987",0.03,13.4,16.6,19.9,12.4,1.08,6.72,76.7007334426878,-2.60476194030563,0.376500004830536,0.120189423271716
"1987-07","1987-07",1987-07-01,1987,"1987",0.25,12.9,17,21.1,13,1.02,7.81,81.2465056086851,-2.57130408021143,1.31944052014886,1.26597063969036
"1987-08","1987-08",1987-08-01,1987,"1987",0,14.3,18.3,22.2,14,1.38,8.99,86.414165928633,-2.40927718687213,0.508488059109357,0.23038473095197
"1987-09","1987-09",1987-09-01,1987,"1987",0,14.3,18.7,23,14.5,1.13,8.22,79.7128375224483,-2.34420210372938,0,-0.505743493815087
"1987-10","1987-10",1987-10-01,1987,"1988",36.8,15.2,18.8,22.5,14.2,1.48,9.56,75.6351759955047,-1.51168165029649,1.21609614439911,0.952426793747114
"1987-11","1987-11",1987-11-01,1987,"1988",34.77,10.3,15.4,20.6,8.6,1.87,12.37,49.4783853385965,-1.30130527521979,0.51197811707607,0.467355503715231
"1987-12","1987-12",1987-12-01,1987,"1988",77.22,6.1,11.1,16,5,1.35,8.42,29.5149967324087,-0.786613150469874,0.645493200930971,0.751140545410047
"1988-01","1988-01",1988-01-01,1988,"1988",49.77,7.3,12.7,18.1,4.8,1.92,11.96,37.1408114377407,-0.956370731702133,0.103820990037576,0.111127054758464
