PRISM Time Series Data
Location:  Lat: 33.2315   Lon: -117.4078   Elev: 20m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.62,8.1,14.2,20.4,2.9,2.55,15.24
1984-02,2.89,7.0,13.4,19.9,2.6,2.06,14.77
1984-03,0.00,8.9,14.5,20.0,6.3,1.45,12.69
1984-04,19.19,11.0,15.3,19.6,6.7,2.19,11.81
1984-05,0.00,13.3,17.5,21.7,10.9,1.83,10.63
1984-06,1.49,16.0,19.1,22.2,11.8,2.99,10.56
1984-07,0.00,19.5,22.9,26.3,15.3,3.38,14.65
1984-08,0.00,19.5,22.9,26.2,16.2,2.83,12.53
1984-09,2.48,19.7,23.8,27.9,16.2,3.11,17.51
1984-10,7.57,13.1,17.9,22.8,8.5,2.95,15.17
1984-11,34.99,9.0,14.0,18.9,6.2,1.90,10.85
1984-12,113.76,7.5,12.2,16.9,4.3,1.76,9.55
1985-01,18.19,6.2,11.8,17.4,2.8,1.77,11.33
1985-02,27.20,7.8,12.5,17.3,3.0,2.24,10.99
1985-03,11.53,6.3,11.3,16.3,4.7,1.51,8.27
1985-04,3.86,10.6,14.6,18.6,7.3,1.57,9.74
1985-05,0.00,12.8,15.4,18.0,9.0,2.24,7.16
1985-06,0.00,14.3,17.2,20.2,11.4,1.71,7.63
1985-07,0.00,18.3,21.3,24.3,14.1,3.22,12.88
1985-08,0.00,16.7,20.0,23.2,13.2,2.80,11.76
1985-09,4.37,14.9,18.9,23.0,12.0,2.16,12.57
1985-10,5.68,13.4,18.2,23.0,10.0,2.25,14.70
1985-11,97.76,9.0,13.7,18.4,6.3,1.38,10.47
1985-12,30.63,7.1,13.0,19.0,3.8,1.58,13.39
1986-01,19.57,9.3,14.5,19.8,5.3,1.86,13.44
1986-02,81.94,8.2,13.0,17.8,7.2,0.73,8.74
1986-03,76.08,9.9,13.8,17.8,8.4,0.94,7.58
1986-04,18.47,9.9,14.5,19.2,8.1,1.67,10.61
1986-05,0.00,12.1,15.7,19.4,10.3,2.35,7.72
1986-06,0.00,15.3,17.9,20.4,12.8,2.88,6.43
1986-07,0.24,15.6,18.7,21.7,13.6,2.73,7.07
1986-08,0.00,16.4,19.5,22.5,14.3,2.73,7.58
1986-09,29.19,13.3,17.0,20.7,11.7,2.42,7.28
1986-10,1.32,11.3,16.3,21.2,10.0,2.00,10.10
1986-11,28.14,9.0,16.1,23.2,5.5,1.91,18.10
1986-12,36.87,3.7,12.0,20.4,3.8,1.23,14.91
1987-01,47.67,5.4,11.4,17.3,2.0,1.55,11.80
1987-02,41.08,6.0,12.2,18.5,4.7,1.42,11.86
1987-03,23.70,7.8,12.7,17.7,7.5,1.13,8.70
1987-04,11.41,10.4,15.2,20.0,8.2,1.93,11.53
1987-05,0.00,13.8,16.5,19.1,11.1,2.22,5.77
1987-06,0.00,14.7,17.2,19.7,12.0,2.44,5.80
1987-07,0.06,14.9,17.8,20.7,12.2,2.85,7.27
1987-08,0.35,15.5,18.8,22.2,13.4,2.89,8.58
1987-09,0.00,15.6,19.2,22.8,12.9,3.58,11.11
1987-10,52.66,15.3,19.0,22.6,12.0,2.51,11.34
1987-11,34.39,9.5,16.1,22.7,7.0,2.43,16.61
1987-12,73.83,4.5,10.5,16.5,3.6,1.18,10.09
1988-01,31.78,5.2,11.7,18.2,3.9,1.36,13.06
1988-02,28.16,6.3,13.2,20.1,4.3,1.61,15.44
1988-03,7.37,7.7,13.9,20.2,6.2,1.48,14.86
1988-04,84.66,9.4,14.3,19.1,9.1,1.00,10.47
1988-05,0.54,11.9,15.5,19.1,10.5,1.52,8.31
1988-06,0.00,12.3,15.7,19.1,11.6,2.00,6.36
