"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.62,8.1,14.2,20.4,2.9,2.55,15.24,42.7849442031405,-0.778563784248575,-1.22153089641344,-1.61035030053682
"1984-02","1984-02",1984-02-01,1984,"1984",2.89,7,13.4,19.9,2.6,2.06,14.77,37.5167406761271,-1.46936750806143,-1.92839762745888,-1.44778249270475
"1984-03","1984-03",1984-03-01,1984,"1984",0,8.9,14.5,20,6.3,1.45,12.69,51.4104771774994,-1.99139811467022,-1.59321881802305,-1.76663469831686
"1984-04","1984-04",1984-04-01,1984,"1984",19.19,11,15.3,19.6,6.7,2.19,11.81,59.127878250143,-2.0512503598924,0.339072938664133,0.0769746691647401
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.3,17.5,21.7,10.9,1.83,10.63,80.9389253170775,-2.30286356046365,-0.355490417839531,-1.22882165507498
"1984-06","1984-06",1984-06-01,1984,"1984",1.49,16,19.1,22.2,11.8,2.99,10.56,92.8872631721163,-2.40961533644331,0.737780223287526,-1.51500812183538
"1984-07","1984-07",1984-07-01,1984,"1984",0,19.5,22.9,26.3,15.3,3.38,14.65,127.244088334565,-2.44790841852603,0.0696849203184557,-2.08152489110212
"1984-08","1984-08",1984-08-01,1984,"1984",0,19.5,22.9,26.2,16.2,2.83,12.53,120.891755954211,-2.36263709573579,0.508488059109357,-2.05826122668976
"1984-09","1984-09",1984-09-01,1984,"1984",2.48,19.7,23.8,27.9,16.2,3.11,17.51,115.103116741922,-2.34034463451364,0.548150071493128,-2.60094048063416
"1984-10","1984-10",1984-10-01,1984,"1985",7.57,13.1,17.9,22.8,8.5,2.95,15.17,68.535298723084,-2.35241257455609,0.369028871032601,0.067179081318898
"1984-11","1984-11",1984-11-01,1984,"1985",34.99,9,14,18.9,6.2,1.9,10.85,41.226267989447,-1.94240138094241,0.726374196802151,0.928757094746755
"1984-12","1984-12",1984-12-01,1984,"1985",113.76,7.5,12.2,16.9,4.3,1.76,9.55,32.8235050085472,-0.847514541496513,1.39216143628631,1.51243021850261
"1985-01","1985-01",1985-01-01,1985,"1985",18.19,6.2,11.8,17.4,2.8,1.77,11.33,31.703267801631,-1.29873974284133,-0.481534829449787,-0.505994821160496
"1985-02","1985-02",1985-02-01,1985,"1985",27.2,7.8,12.5,17.3,3,2.24,10.99,33.5224949254915,-1.64105005464578,-0.469746359882041,-0.569923790389117
"1985-03","1985-03",1985-03-01,1985,"1985",11.53,6.3,11.3,16.3,4.7,1.51,8.27,34.3335419787386,-1.76318928407184,-0.535196941233797,-0.0748386840859796
"1985-04","1985-04",1985-04-01,1985,"1985",3.86,10.6,14.6,18.6,7.3,1.57,9.74,54.8102578316841,-1.89987421780186,-0.678568333269565,-0.569812312365215
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.8,15.4,18,9,2.24,7.16,65.8064722563512,-1.9662303351962,-0.355490417839531,-0.00240501618295621
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.3,17.2,20.2,11.4,1.71,7.63,78.3932305213556,-1.975887995851,0.0696849203184557,0.433793454376178
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.3,21.3,24.3,14.1,3.22,12.88,113.163662283007,-1.95616863314531,0.0696849203184557,-1.2843059470556
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.7,20,23.2,13.2,2.8,11.76,97.0921149580162,-1.88827334784932,0.508488059109357,0.322683558705638
"1985-09","1985-09",1985-09-01,1985,"1985",4.37,14.9,18.9,23,12,2.16,12.57,79.2481885936464,-1.7520337908291,0.728769868057285,0.598536278394464
