PRISM Time Series Data
Location:  Lat: 32.6354   Lon: -117.1066   Elev: 10m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,8.46,9.2,15.2,21.1,5.1,2.23,15.37
1984-02,0.18,8.5,14.5,20.6,4.6,2.06,14.87
1984-03,0.31,10.8,16.1,21.5,7.5,1.82,14.09
1984-04,17.00,12.8,16.7,20.6,8.3,2.50,12.49
1984-05,0.00,14.7,18.8,22.8,11.8,2.13,11.97
1984-06,0.10,16.1,19.4,22.6,12.5,2.51,10.57
1984-07,2.45,20.2,23.7,27.2,16.6,2.91,15.11
1984-08,0.00,20.4,23.5,26.7,16.4,3.44,13.24
1984-09,0.00,20.8,24.7,28.7,17.6,2.82,17.43
1984-10,4.86,15.4,19.6,23.7,10.5,3.66,15.17
1984-11,48.98,10.6,15.3,20.1,6.9,2.28,11.73
1984-12,129.82,8.1,12.6,17.2,5.4,1.57,9.41
1985-01,12.12,7.6,13.0,18.4,4.0,2.04,12.15
1985-02,23.31,7.5,13.2,18.9,4.2,1.66,12.97
1985-03,10.62,8.8,13.3,17.8,6.4,1.60,9.44
1985-04,2.58,12.2,16.5,20.8,8.5,1.87,12.36
1985-05,0.72,14.8,17.7,20.5,9.4,3.45,10.59
1985-06,0.00,15.7,19.3,22.8,11.9,2.44,11.83
1985-07,0.00,19.2,23.0,26.9,14.7,3.49,17.13
1985-08,0.00,18.2,22.0,25.7,14.1,3.26,15.51
1985-09,2.53,16.9,21.0,25.2,12.6,3.10,16.03
1985-10,7.78,15.2,19.7,24.3,10.7,2.86,16.29
1985-11,154.54,10.6,15.2,19.7,6.4,2.22,12.49
1985-12,39.44,7.9,14.1,20.4,3.9,1.97,15.59
1986-01,14.41,9.9,16.0,22.0,5.7,2.04,16.33
1986-02,70.67,10.2,15.1,19.9,8.0,1.09,11.41
1986-03,62.33,11.5,15.9,20.4,8.8,1.31,11.31
1986-04,17.26,12.2,16.8,21.5,9.2,2.10,13.67
1986-05,0.00,14.1,17.7,21.3,11.2,2.43,10.84
1986-06,0.00,16.5,19.4,22.3,13.3,2.83,10.12
1986-07,0.01,17.6,20.7,23.8,14.5,2.84,11.38
1986-08,0.00,18.4,22.0,25.6,15.5,2.77,14.06
1986-09,21.46,15.9,19.1,22.3,12.3,3.11,11.10
1986-10,25.24,14.2,18.6,23.0,11.9,1.77,13.19
1986-11,17.60,11.3,17.3,23.2,7.6,2.47,17.59
1986-12,27.84,7.9,14.1,20.3,6.2,1.52,14.11
1987-01,32.06,6.9,12.9,18.9,4.4,1.65,12.82
1987-02,37.48,8.8,14.4,19.9,5.8,2.20,13.83
1987-03,23.35,9.9,14.7,19.5,7.2,2.06,12.31
1987-04,15.62,12.3,17.3,22.4,8.4,2.45,15.95
1987-05,1.36,15.1,18.2,21.3,10.8,2.96,10.72
1987-06,0.00,16.1,18.7,21.4,11.8,3.43,9.59
1987-07,0.11,16.5,19.4,22.3,12.1,3.71,11.01
1987-08,0.52,17.7,20.8,23.9,14.4,3.25,11.80
1987-09,14.52,17.2,21.0,24.7,15.1,2.36,12.57
1987-10,51.00,17.1,21.2,25.3,14.6,2.10,15.12
1987-11,38.24,11.0,16.6,22.2,9.7,1.69,14.37
1987-12,62.46,6.5,11.9,17.3,4.8,1.44,10.46
1988-01,26.21,7.7,13.6,19.6,4.6,1.98,14.65
1988-02,36.13,8.9,15.4,21.9,5.7,2.11,17.32
1988-03,18.67,10.4,16.3,22.1,7.2,2.31,17.14
1988-04,63.21,12.2,16.7,21.2,10.0,1.80,12.96
1988-05,1.87,13.7,17.6,21.6,10.7,2.50,12.37
1988-06,0.00,14.6,18.0,21.4,11.7,2.83,10.94
1988-07,0.00,18.4,21.2,24.0,15.5,3.35,10.76
1988-08,0.00,18.5,21.6,24.6,15.5,3.42,11.68
1988-09,0.00,17.3,21.1,24.9,14.6,2.88,15.26
1988-10,0.00,15.9,19.3,22.6,13.7,2.39,11.31
1988-11,27.73,10.7,15.5,20.3,9.4,1.65,11.49
1988-12,52.36,7.9,13.7,19.4,4.1,2.40,15.10
1989-01,8.95,6.3,12.6,19.0,2.4,2.13,14.99
1989-02,17.85,8.6,13.7,18.8,5.2,2.11,13.08
1989-03,17.51,10.5,15.1,19.8,8.9,1.17,10.87
1989-04,0.69,14.0,18.4,22.8,10.0,3.11,16.36
1989-05,1.49,14.1,17.2,20.4,11.3,1.95,9.29
1989-06,0.00,15.7,18.5,21.4,12.6,2.30,9.71
1989-07,0.00,17.8,21.0,24.2,14.8,2.96,10.70
1989-08,0.00,19.0,21.7,24.5,15.6,4.09,12.39
1989-09,4.68,16.3,21.0,25.7,14.5,2.19,16.66
1989-10,8.34,14.6,18.6,22.7,11.7,2.49,13.41
1989-11,2.09,10.8,17.0,23.2,6.0,2.73,18.78
1989-12,5.22,7.6,14.4,21.1,3.3,2.73,17.90
1990-01,51.62,7.1,13.3,19.6,4.5,1.82,14.24
1990-02,32.75,7.1,12.4,17.8,4.1,1.88,12.38
1990-03,8.46,10.5,14.8,19.1,7.8,2.02,11.41
1990-04,15.54,13.6,16.9,20.2,11.0,2.45,9.98
1990-05,6.35,14.3,17.8,21.2,10.4,3.48,12.94
1990-06,11.88,16.6,20.2,23.8,13.1,3.40,14.20
1990-07,0.00,18.8,22.0,25.2,15.7,3.52,13.99
1990-08,0.00,18.9,21.8,24.7,15.4,4.17,12.66
1990-09,0.00,18.1,22.0,25.8,15.4,3.45,15.09
1990-10,0.24,15.1,20.3,25.6,11.3,3.48,19.04
1990-11,15.65,10.5,16.8,23.1,6.6,3.50,19.07
1990-12,15.13,7.1,13.3,19.6,1.6,3.07,16.08
1991-01,21.89,8.5,13.9,19.3,5.4,2.13,12.62
1991-02,19.89,9.7,15.4,21.2,7.6,1.64,14.49
1991-03,168.58,9.5,13.7,17.9,6.1,2.03,10.62
1991-04,0.13,12.0,16.0,20.1,8.1,2.44,12.24
1991-05,0.00,13.1,16.5,19.9,8.6,3.20,11.22
1991-06,0.00,15.1,17.7,20.3,10.3,3.97,10.01
1991-07,0.00,16.9,19.4,21.9,12.9,3.76,9.76
1991-08,5.68,17.7,20.8,23.8,14.2,3.31,11.88
1991-09,1.31,17.3,20.7,24.0,14.8,2.47,11.67
1991-10,8.18,15.7,20.1,24.6,12.9,2.27,15.52
1991-11,0.04,10.9,17.1,23.4,6.5,2.55,18.89
1991-12,46.51,8.6,14.0,19.4,5.8,2.15,13.04
1992-01,46.31,7.6,14.4,21.2,4.5,2.12,16.68
1992-02,112.87,10.7,16.1,21.5,7.3,2.62,15.41
1992-03,102.69,12.2,15.8,19.4,9.3,2.48,9.94
1992-04,1.03,15.0,19.0,23.0,12.2,2.91,12.99
1992-05,2.22,17.4,20.2,23.1,13.0,4.16,11.97
1992-06,0.00,17.0,19.6,22.2,12.3,4.46,11.11
1992-07,0.00,19.0,22.1,25.2,15.1,4.33,13.80
1992-08,0.01,20.5,23.8,27.0,17.3,4.02,14.44
1992-09,0.00,18.1,22.2,26.3,15.9,2.76,15.16
1992-10,5.57,15.8,19.8,23.8,14.0,2.68,12.26
1992-11,0.04,10.4,17.0,23.6,5.2,3.28,19.27
1992-12,60.96,7.5,12.7,17.9,4.0,2.24,11.83
1993-01,204.09,9.3,14.0,18.7,7.8,1.38,9.78
1993-02,84.86,9.8,14.4,18.9,7.6,2.43,11.67
1993-03,34.28,11.8,16.4,21.0,9.3,2.11,12.22
1993-04,0.00,13.0,17.3,21.7,10.3,2.60,12.54
1993-05,0.01,15.3,18.6,21.9,12.1,3.20,10.95
1993-06,10.92,16.8,20.0,23.1,13.9,2.97,10.73
1993-07,0.00,18.5,20.8,23.1,14.3,3.98,10.39
1993-08,0.00,18.4,21.2,24.1,15.1,3.22,10.75
1993-09,0.00,17.1,20.6,24.2,14.1,2.58,13.34
1993-10,3.40,15.2,19.8,24.3,12.3,2.45,15.63
1993-11,18.06,10.6,16.5,22.3,6.7,2.13,17.21
1993-12,20.26,7.7,14.0,20.4,4.7,1.67,15.10
1994-01,15.19,8.0,14.9,21.7,5.4,1.46,16.90
1994-02,79.16,8.1,13.4,18.8,5.0,1.50,12.34
1994-03,70.93,11.2,15.8,20.4,8.8,1.43,12.16
1994-04,26.44,12.5,15.9,19.4,9.3,2.17,9.97
1994-05,0.00,13.4,16.3,19.2,10.2,2.31,8.72
1994-06,0.45,16.4,19.5,22.6,13.6,2.33,11.02
1994-07,0.13,18.1,20.5,23.0,14.3,3.61,10.21
1994-08,0.27,19.3,22.9,26.5,16.4,2.90,15.46
1994-09,0.00,18.2,22.0,25.9,15.2,2.86,15.36
1994-10,0.48,14.8,19.0,23.3,11.0,3.12,15.35
1994-11,10.41,7.9,13.7,19.5,4.2,2.11,14.35
1994-12,23.98,7.5,13.1,18.7,5.6,1.32,11.91
1995-01,160.18,9.5,13.6,17.8,8.4,1.02,8.96
1995-02,47.11,12.1,16.8,21.6,9.4,2.02,13.59
1995-03,87.03,11.8,16.0,20.3,9.3,1.67,11.21
1995-04,30.58,11.7,16.2,20.7,7.9,2.43,13.78
1995-05,9.78,13.5,16.5,19.4,10.1,2.53,9.69
1995-06,7.81,15.0,18.0,21.0,12.2,2.14,9.53
1995-07,0.20,17.1,20.6,24.0,14.5,2.94,11.90
1995-08,0.00,18.3,22.1,26.0,15.9,2.55,14.94
1995-09,0.00,18.5,22.1,25.7,15.8,2.93,14.37
1995-10,0.00,15.4,19.4,23.4,13.3,1.88,12.69
1995-11,3.07,12.2,17.2,22.1,11.6,0.93,11.58
1995-12,8.88,9.1,14.4,19.7,8.2,0.92,11.03
1996-01,10.88,8.7,14.6,20.6,6.9,1.41,14.06
1996-02,52.70,11.0,15.3,19.6,9.6,1.23,10.19
1996-03,24.93,10.9,15.5,20.1,8.2,1.91,12.11
1996-04,7.49,13.0,17.6,22.2,9.9,2.24,14.55
1996-05,0.00,15.6,19.3,23.0,12.7,2.56,12.66
1996-06,0.00,16.8,19.7,22.5,13.0,3.25,11.07
1996-07,0.19,18.4,21.3,24.3,15.4,3.13,11.94
1996-08,0.00,19.2,22.4,25.7,16.5,3.32,12.96
1996-09,0.03,18.2,20.9,23.7,15.6,2.96,10.55
