"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",8.46,9.2,15.2,21.1,5.1,2.23,15.37,43.4840149431217,-0.378779794049077,-0.757652084251642,-1.02876260786006
"1984-02","1984-02",1984-02-01,1984,"1984",0.18,8.5,14.5,20.6,4.6,2.06,14.87,38.4206956639927,-1.04596576883363,-3.09903280128972,-1.44063975368291
"1984-03","1984-03",1984-03-01,1984,"1984",0.31,10.8,16.1,21.5,7.5,1.82,14.09,55.7946497494545,-1.55719195462421,-2.41968462240176,-1.66628068355814
"1984-04","1984-04",1984-04-01,1984,"1984",17,12.8,16.7,20.6,8.3,2.5,12.49,62.7004941006944,-1.61447740784151,0.461938259989961,0.189523419791666
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.7,18.8,22.8,11.8,2.13,11.97,85.2884927631607,-1.85884989666686,-0.430727299295457,-1.09485637452762
"1984-06","1984-06",1984-06-01,1984,"1984",0.1,16.1,19.4,22.6,12.5,2.51,10.57,89.824219460538,-1.97390943126267,0.667991116903392,-0.74767380266281
"1984-07","1984-07",1984-07-01,1984,"1984",2.45,20.2,23.7,27.2,16.6,2.91,15.11,131.399683675304,-1.92254512698735,1.46187687202252,-1.91057047812269
"1984-08","1984-08",1984-08-01,1984,"1984",0,20.4,23.5,26.7,16.4,3.44,13.24,123.085860070443,-1.87608039425623,0.430727299295457,-1.68961843575179
"1984-09","1984-09",1984-09-01,1984,"1984",0,20.8,24.7,28.7,17.6,2.82,17.43,120.593965499041,-1.97058863785201,-0.139710298881862,-2.65038765189073
"1984-10","1984-10",1984-10-01,1984,"1985",4.86,15.4,19.6,23.7,10.5,3.66,15.17,75.3626845401496,-2.08850320225516,0.222539828821512,-0.149609887185228
"1984-11","1984-11",1984-11-01,1984,"1985",48.98,10.6,15.3,20.1,6.9,2.28,11.73,43.3586895695574,0.71949581297569,1.08328367943418,1.33496023379963
"1984-12","1984-12",1984-12-01,1984,"1985",129.82,8.1,12.6,17.2,5.4,1.57,9.41,30.4804539599111,2.40642990058537,1.86788383811963,2.05612189183701
"1985-01","1985-01",1985-01-01,1985,"1985",12.12,7.6,13,18.4,4,2.04,12.15,32.8473498029903,-0.27747037397451,-0.562681334958004,-0.450815766698413
