PRISM Time Series Data
Location:  Lat: 33.6408   Lon: -117.9694   Elev: 3m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,7.56,9.1,15.0,20.8,3.8,2.80,15.32
1984-02,0.07,8.8,14.5,20.2,3.9,2.37,14.57
1984-03,3.48,11.2,16.1,21.1,6.8,2.53,14.11
1984-04,17.89,11.4,15.8,20.1,6.6,2.65,12.86
1984-05,0.00,14.4,18.5,22.7,11.1,2.64,12.65
1984-06,0.05,16.5,19.7,22.8,12.1,3.47,11.75
1984-07,0.00,19.0,22.5,26.0,15.0,3.26,14.99
1984-08,2.35,19.9,23.2,26.5,16.4,3.02,13.04
1984-09,2.84,20.5,24.4,28.3,16.4,3.92,18.68
1984-10,6.14,14.2,18.7,23.2,9.0,3.58,15.72
1984-11,45.35,9.9,14.8,19.6,7.3,2.00,11.14
1984-12,125.43,8.1,12.6,17.0,5.1,1.79,9.16
1985-01,21.04,7.6,12.7,17.8,3.5,2.25,11.43
1985-02,35.46,7.8,12.9,18.0,4.2,1.87,11.36
1985-03,15.00,8.2,12.8,17.3,5.7,1.49,9.10
1985-04,0.25,11.5,15.7,19.9,7.7,1.86,11.49
1985-05,1.68,13.2,16.1,19.0,9.7,2.08,8.05
1985-06,0.00,15.4,18.6,21.8,11.9,2.27,10.51
1985-07,0.00,18.2,21.8,25.4,13.7,3.16,16.57
1985-08,0.00,16.7,20.1,23.5,13.0,2.95,13.48
1985-09,6.02,16.5,20.2,24.0,13.2,2.56,13.83
1985-10,3.12,14.8,19.2,23.5,10.9,2.60,14.91
1985-11,86.50,10.5,14.7,19.0,8.2,1.30,9.61
1985-12,15.20,8.3,13.9,19.5,4.9,1.68,13.14
1986-01,27.16,10.5,15.5,20.4,7.0,1.83,13.00
1986-02,122.13,10.0,14.3,18.7,8.2,0.96,9.03
1986-03,72.15,11.2,15.0,18.9,9.3,1.05,8.49
1986-04,15.04,11.8,15.9,19.9,9.1,2.03,11.07
1986-05,0.00,13.5,16.9,20.3,10.9,2.58,9.61
1986-06,0.00,15.6,18.4,21.2,13.4,2.77,8.64
1986-07,3.03,16.5,19.6,22.8,14.1,2.72,9.83
1986-08,0.00,16.9,20.5,24.2,15.3,1.77,10.84
1986-09,30.33,15.1,18.4,21.7,13.1,1.98,9.56
1986-10,6.91,13.5,17.8,22.0,11.5,1.54,12.10
1986-11,19.90,11.8,17.4,22.9,8.2,2.41,16.52
1986-12,15.61,8.6,13.9,19.3,7.3,1.37,11.42
1987-01,49.90,7.2,12.4,17.7,4.1,1.95,11.13
1987-02,38.71,9.1,14.1,19.2,5.4,2.71,12.89
1987-03,21.22,9.8,14.2,18.6,7.5,2.49,10.43
1987-04,2.53,12.2,16.5,20.8,8.8,2.97,14.35
1987-05,1.25,14.3,17.0,19.7,11.0,2.39,8.03
1987-06,0.19,15.2,17.8,20.4,12.3,2.50,7.85
1987-07,1.73,15.7,18.4,21.1,12.5,2.94,8.97
1987-08,2.56,16.5,19.7,22.8,14.1,2.57,10.70
1987-09,1.07,16.3,20.2,24.1,14.7,2.26,12.01
