"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",7.56,9.1,15,20.8,3.8,2.8,15.32,43.5625084720439,-0.918034680502217,-0.857364165928907,-1.26397913026602
"1984-02","1984-02",1984-02-01,1984,"1984",0.07,8.8,14.5,20.2,3.9,2.37,14.57,39.6069538049933,-1.72976576404868,-2.98221228316852,-1.4115125443664
"1984-03","1984-03",1984-03-01,1984,"1984",3.48,11.2,16.1,21.1,6.8,2.53,14.11,57.3727593896952,-2.18836131098323,-1.08913020441187,-1.36498829813214
"1984-04","1984-04",1984-04-01,1984,"1984",17.89,11.4,15.8,20.1,6.6,2.65,12.86,58.6226841075874,-2.13600910764848,0.657650597123549,0.544908993631832
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.4,18.5,22.7,11.1,2.64,12.65,84.9905425461285,-2.35729751896558,-0.355490417839531,-1.40725354835672
"1984-06","1984-06",1984-06-01,1984,"1984",0.05,16.5,19.7,22.8,12.1,3.47,11.75,94.4584169235149,-2.45859006702757,0.568489616970724,-1.36513295709278
"1984-07","1984-07",1984-07-01,1984,"1984",0,19,22.5,26,15,3.26,14.99,121.480738674461,-2.4493111408583,0.355490417839531,-1.60678132711941
"1984-08","1984-08",1984-08-01,1984,"1984",2.35,19.9,23.2,26.5,16.4,3.02,13.04,121.633856882755,0.115188353327278,2.03978715763197,-1.57249533880954
"1984-09","1984-09",1984-09-01,1984,"1984",2.84,20.5,24.4,28.3,16.4,3.92,18.68,118.623207816259,-0.0857815313003048,0.685602210469672,-2.46156223151306
"1984-10","1984-10",1984-10-01,1984,"1985",6.14,14.2,18.7,23.2,9,3.58,15.72,70.4673272421133,-0.205559848202506,0.232754258937496,0.103148059602383
"1984-11","1984-11",1984-11-01,1984,"1985",45.35,9.9,14.8,19.6,7.3,2,11.14,41.9760550670977,0.370354042675124,1.09680825721723,1.34077320899393
"1984-12","1984-12",1984-12-01,1984,"1985",125.43,8.1,12.6,17,5.1,1.79,9.16,31.5546664671637,1.16829996882757,1.56607206907386,1.68417508143238
"1985-01","1985-01",1985-01-01,1985,"1985",21.04,7.6,12.7,17.8,3.5,2.25,11.43,32.6252734862157,-0.701480395926114,-0.341471411779,-0.316703982604869
"1985-02","1985-02",1985-02-01,1985,"1985",35.46,7.8,12.9,18,4.2,1.87,11.36,32.3275561424315,-1.17820979614774,-0.222237188725613,-0.26202000004732
"1985-03","1985-03",1985-03-01,1985,"1985",15,8.2,12.8,17.3,5.7,1.49,9.1,38.5193928759598,-1.25361192670541,-0.317089299501246,0.0161123438078022
