PRISM Time Series Data
Location:  Lat: 32.5555   Lon: -117.1198   Elev: 13m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,8.50,8.9,14.9,20.9,5.3,1.93,15.04
1984-02,0.00,8.1,14.2,20.3,4.6,1.89,14.55
1984-03,0.38,10.2,15.7,21.2,7.3,1.63,13.89
1984-04,16.99,12.3,16.3,20.3,8.1,2.28,12.06
1984-05,0.00,14.3,18.4,22.6,11.5,2.00,11.80
1984-06,0.03,15.7,18.9,22.1,12.3,2.32,9.95
1984-07,2.40,19.8,23.4,27.0,16.3,2.77,14.95
1984-08,0.00,20.0,23.2,26.4,16.4,3.06,12.63
1984-09,0.00,20.2,24.2,28.2,17.4,2.52,16.63
1984-10,4.96,14.9,19.2,23.6,10.3,3.35,15.11
1984-11,49.00,10.1,15.0,19.9,7.1,2.08,11.40
1984-12,124.38,7.7,12.4,17.0,5.6,1.28,8.97
1985-01,12.96,7.3,12.8,18.2,4.1,1.83,11.89
1985-02,23.50,7.1,12.8,18.6,4.2,1.51,12.52
1985-03,8.72,8.3,13.0,17.7,6.3,1.41,9.29
1985-04,2.74,11.8,16.0,20.3,8.4,1.69,11.67
1985-05,0.68,14.4,17.3,20.2,9.3,3.25,10.25
1985-06,0.00,15.4,18.7,21.9,11.7,2.34,10.45
1985-07,0.00,18.9,22.6,26.4,14.5,3.32,16.36
1985-08,0.00,17.9,21.5,25.1,14.0,3.06,14.44
1985-09,0.83,16.5,20.5,24.6,12.4,2.95,14.99
1985-10,7.34,14.9,19.4,23.9,10.7,2.72,15.56
1985-11,137.26,10.4,15.0,19.6,6.5,2.09,12.17
1985-12,35.64,7.8,14.0,20.1,4.1,1.84,15.06
1986-01,14.99,10.0,16.0,21.9,5.9,2.02,16.11
1986-02,70.33,10.1,14.8,19.6,8.0,1.04,10.92
1986-03,53.88,11.3,15.7,20.1,8.7,1.27,10.94
1986-04,17.79,11.9,16.5,21.0,9.1,2.03,13.03
1986-05,0.00,13.8,17.4,21.1,11.0,2.36,10.68
1986-06,0.00,16.2,18.9,21.6,13.2,2.73,9.09
1986-07,0.00,17.1,20.2,23.4,14.3,2.63,10.83
1986-08,0.00,18.1,21.5,25.0,15.4,2.53,12.92
1986-09,20.67,15.4,18.6,21.9,12.3,2.75,10.26
1986-10,25.26,13.7,18.1,22.6,11.8,1.67,12.64
1986-11,18.68,11.0,17.1,23.1,7.5,2.37,17.46
1986-12,25.41,7.8,13.9,20.0,6.3,1.44,13.73
1987-01,36.53,6.9,12.8,18.7,4.6,1.56,12.52
1987-02,35.47,8.7,14.1,19.6,5.8,2.16,13.39
1987-03,20.68,9.7,14.5,19.3,7.1,2.02,12.08
1987-04,14.98,12.2,17.0,21.9,8.4,2.46,15.14
1987-05,1.62,14.9,17.9,21.0,10.7,2.86,10.41
1987-06,0.00,15.8,18.2,20.7,11.8,3.24,8.60
1987-07,0.11,16.0,19.0,21.9,12.1,3.42,10.41
1987-08,0.06,17.4,20.4,23.4,14.4,3.04,11.06
1987-09,13.63,16.9,20.4,24.0,15.0,2.27,11.44
1987-10,49.13,16.8,20.8,24.8,14.5,2.00,14.47
1987-11,40.51,10.9,16.4,21.9,9.7,1.67,14.00
1987-12,64.18,6.4,11.7,17.0,5.0,1.35,10.00
1988-01,27.85,7.5,13.5,19.5,4.8,1.88,14.43
1988-02,35.64,8.8,15.2,21.6,5.8,2.08,16.99
1988-03,19.21,10.2,16.1,22.0,7.1,2.26,16.97
1988-04,65.14,11.9,16.3,20.8,9.9,1.73,12.44
1988-05,1.83,13.5,17.4,21.3,10.5,2.45,12.12
1988-06,0.00,14.4,17.5,20.7,11.7,2.71,9.97
1988-07,0.00,18.0,20.8,23.6,15.4,3.04,10.04
1988-08,0.00,18.2,21.2,24.2,15.5,3.17,11.02
1988-09,0.00,16.8,20.6,24.4,14.5,2.64,14.28
1988-10,0.00,15.6,18.9,22.2,13.6,2.22,10.77
1988-11,28.14,10.6,15.4,20.2,9.5,1.56,11.25
1988-12,53.47,7.8,13.4,19.0,4.2,2.31,14.51
1989-01,8.24,6.1,12.5,18.8,2.6,1.98,14.66
1989-02,16.98,8.5,13.5,18.5,5.3,2.02,12.61
1989-03,16.94,10.2,14.9,19.6,8.9,1.09,10.67
1989-04,0.58,13.7,18.0,22.3,9.9,3.01,15.71
1989-05,1.35,13.8,17.0,20.3,11.2,1.91,9.30
1989-06,0.00,15.4,18.1,20.7,12.4,2.33,8.88
1989-07,0.00,17.3,20.5,23.8,14.7,2.76,10.05
1989-08,0.00,18.5,21.3,24.0,15.5,3.73,11.65
1989-09,4.39,15.9,20.4,24.8,14.4,1.94,15.00
1989-10,7.44,14.1,18.1,22.0,11.7,2.42,12.36
1989-11,2.44,10.5,16.8,23.1,6.0,2.67,18.62
1989-12,4.64,7.4,14.0,20.6,3.4,2.63,17.05
1990-01,52.93,7.0,13.3,19.5,4.7,1.78,13.98
1990-02,31.00,6.8,12.2,17.5,4.3,1.79,11.87
1990-03,4.44,10.3,14.6,19.0,7.8,1.92,11.27
1990-04,16.89,13.5,16.7,19.9,11.0,2.34,9.61
1990-05,7.18,14.0,17.5,21.0,10.4,3.32,12.54
1990-06,10.03,16.4,19.7,23.1,13.0,3.30,12.97
1990-07,0.00,18.4,21.6,24.9,15.6,3.26,13.39
1990-08,0.00,18.6,21.4,24.3,15.4,3.79,11.84
1990-09,0.00,17.7,21.4,25.1,15.3,3.17,13.73
1990-10,0.50,14.7,20.0,25.2,11.1,3.32,18.53
1990-11,15.94,10.4,16.7,23.0,6.7,3.52,18.77
1990-12,13.12,6.8,13.0,19.2,1.6,2.96,15.44
1991-01,23.23,8.5,13.8,19.2,5.8,1.92,12.30
1991-02,21.81,9.6,15.2,20.9,7.7,1.54,13.99
1991-03,161.17,9.2,13.3,17.5,6.3,1.78,10.06
1991-04,0.85,11.7,15.7,19.7,8.1,2.34,11.79
1991-05,0.00,12.8,16.3,19.7,8.5,3.12,10.97
1991-06,0.00,14.8,17.2,19.6,10.3,3.72,9.09
1991-07,0.00,16.6,19.1,21.5,12.9,3.54,9.22
1991-08,6.86,17.4,20.3,23.2,14.3,2.93,10.78
1991-09,1.86,17.1,20.2,23.4,14.8,2.29,10.62
1991-10,13.65,15.5,19.8,24.1,12.9,2.04,14.55
1991-11,0.29,10.6,17.0,23.4,6.5,2.47,18.82
1991-12,45.08,8.4,13.7,19.0,5.9,2.12,12.37
1992-01,44.94,7.7,14.3,20.9,4.8,2.09,15.84
1992-02,107.16,10.8,16.1,21.3,7.5,2.59,14.92
1992-03,98.55,11.9,15.6,19.2,9.4,2.29,9.60
1992-04,1.64,14.8,18.7,22.7,12.1,2.85,12.61
1992-05,1.71,17.2,20.0,22.8,12.9,4.01,11.58
1992-06,0.00,16.6,19.2,21.8,12.2,4.25,10.64
1992-07,0.00,18.6,21.7,24.8,15.1,4.08,13.07
1992-08,0.00,20.2,23.4,26.5,17.3,3.65,13.58
1992-09,0.00,17.6,21.5,25.4,15.8,2.64,13.61
1992-10,5.85,15.5,19.4,23.4,14.0,2.61,11.69
1992-11,0.09,10.2,16.8,23.3,5.3,3.22,18.71
1992-12,56.19,7.2,12.4,17.6,4.2,2.13,11.40
1993-01,209.52,9.3,13.8,18.2,8.1,1.23,9.34
1993-02,89.08,9.7,14.1,18.5,7.7,2.17,10.83
1993-03,34.30,11.5,16.1,20.8,9.5,1.79,11.80
1993-04,0.00,12.7,16.9,21.2,10.5,2.27,11.74
1993-05,0.00,15.0,18.4,21.8,12.1,2.96,10.72
1993-06,9.72,16.5,19.5,22.5,13.8,2.74,9.77
1993-07,0.00,18.1,20.4,22.7,14.2,3.67,9.85
1993-08,0.00,18.0,20.8,23.5,15.1,2.92,9.88
1993-09,0.00,16.7,20.1,23.5,14.2,2.24,11.83
