"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",8.5,8.9,14.9,20.9,5.3,1.93,15.04,43.2235988558033,-0.479494747523309,-0.769069511739275,-1.0368834966382
"1984-02","1984-02",1984-02-01,1984,"1984",0,8.1,14.2,20.3,4.6,1.89,14.55,38.2070733282519,-1.22917785320943,-1.91450582505556,-1.46284164675282
"1984-03","1984-03",1984-03-01,1984,"1984",0.38,10.2,15.7,21.2,7.3,1.63,13.89,54.7675976544926,-1.75146615586554,-2.31440054098191,-1.69215561205191
"1984-04","1984-04",1984-04-01,1984,"1984",16.99,12.3,16.3,20.3,8.1,2.28,12.06,61.5135847316026,-1.78211760273262,0.446309327898486,0.177656152699397
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.3,18.4,22.6,11.5,2,11.8,83.5565452582437,-2.01774265083503,-0.430727299295457,-1.02800472859605
"1984-06","1984-06",1984-06-01,1984,"1984",0.03,15.7,18.9,22.1,12.3,2.32,9.95,87.1502630756954,-2.10958387880693,0.489064007392102,-0.662455650985315
"1984-07","1984-07",1984-07-01,1984,"1984",2.4,19.8,23.4,27,16.3,2.77,14.95,129.188309724918,-2.03918462491574,1.33826965584133,-1.8960880761919
"1984-08","1984-08",1984-08-01,1984,"1984",0,20,23.2,26.4,16.4,3.06,12.63,121.062367317806,-1.97491795698883,0.508488059109357,-1.75272160328878
"1984-09","1984-09",1984-09-01,1984,"1984",0,20.2,24.2,28.2,17.4,2.52,16.63,116.78483477301,-2.06578468395655,-0.139710298881862,-2.81974781117774
"1984-10","1984-10",1984-10-01,1984,"1985",4.96,14.9,19.2,23.6,10.3,3.35,15.11,73.8404154811196,-2.18239202688047,0.20091761333121,-0.183288783088227
"1984-11","1984-11",1984-11-01,1984,"1985",49,10.1,15,19.9,7.1,2.08,11.4,43.0913819015171,0.46309717676695,1.09371633883017,1.33115135231337
"1984-12","1984-12",1984-12-01,1984,"1985",124.38,7.7,12.4,17,5.6,1.28,8.97,30.7992067729524,1.62126731439676,1.92818755516767,2.13703695144373
"1985-01","1985-01",1985-01-01,1985,"1985",12.96,7.3,12.8,18.2,4.1,1.83,11.89,33.1645490209296,-0.362285570433712,-0.540677904928792,-0.448865803836793
"1985-02","1985-02",1985-02-01,1985,"1985",23.5,7.1,12.8,18.6,4.2,1.51,12.52,31.8814383820774,-0.74429274021162,-0.511495892236819,-0.45031260204802
"1985-03","1985-03",1985-03-01,1985,"1985",8.72,8.3,13,17.7,6.3,1.41,9.29,39.4104666134589,-0.900173319414669,-0.723514006582857,-0.227098773479849
"1985-04","1985-04",1985-04-01,1985,"1985",2.74,11.8,16,20.3,8.4,1.69,11.67,59.5529172613809,-0.969312522275701,-0.846539269793867,-0.681976603495665
"1985-05","1985-05",1985-05-01,1985,"1985",0.68,14.4,17.3,20.2,9.3,3.25,10.25,75.0407251459524,-1.01982676174605,-0.0816444348986399,-0.311681958823751
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.4,18.7,21.9,11.7,2.34,10.45,85.5484581864311,-1.03927526569311,0.210428394247925,-0.440135719744802
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.9,22.6,26.4,14.5,3.32,16.36,121.584861668504,-1.10823864096063,0.210428394247925,-1.63673826108195
"1985-08","1985-08",1985-08-01,1985,"1985",0,17.9,21.5,25.1,14,3.06,14.44,106.017784367494,-1.08694113930125,0.508488059109357,-0.168597753234341
"1985-09","1985-09",1985-09-01,1985,"1985",0.83,16.5,20.5,24.6,12.4,2.95,14.99,87.4436915890562,-1.13616951228059,0.310078355507457,0.0033462186500979
"1985-10","1985-10",1985-10-01,1985,"1986",7.34,14.9,19.4,23.9,10.7,2.72,15.56,75.1868561199941,-1.24134514094396,0.344490647121892,-0.100576122655175
"1985-11","1985-11",1985-11-01,1985,"1986",137.26,10.4,15,19.6,6.5,2.09,12.17,43.0913819015171,1.9598074726854,2.46038824940185,2.2916660731932
"1985-12","1985-12",1985-12-01,1985,"1986",35.64,7.8,14,20.1,4.1,1.84,15.06,38.0580695152421,2.01636372699954,0.164388538531156,-0.108382406855414
"1986-01","1986-01",1986-01-01,1986,"1986",14.99,10,16,21.9,5.9,2.02,16.11,48.9397668749503,1.57169096023843,-0.454808972282598,-1.0018204547635
"1986-02","1986-02",1986-02-01,1986,"1986",70.33,10.1,14.8,19.6,8,1.04,10.92,41.0662471522864,1.60269779090362,0.579353258281318,0.521149327031602
"1986-03","1986-03",1986-03-01,1986,"1986",53.88,11.3,15.7,20.1,8.7,1.27,10.94,54.7675976544926,1.94520021241229,0.927525444007162,0.874628313001354
"1986-04","1986-04",1986-04-01,1986,"1986",17.79,11.9,16.5,21,9.1,2.03,13.03,62.83571796911,2.22652201471381,0.493562080599045,0.144848661248388
