PRISM Time Series Data
Location:  Lat: 34.4088   Lon: -119.8473   Elev: 4m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.70,6.2,12.5,18.9,3.5,1.56,12.61
1984-02,2.86,5.9,12.2,18.6,2.7,1.79,12.58
1984-03,15.88,8.2,14.1,20.1,5.9,1.19,13.49
1984-04,3.14,8.7,14.5,20.3,3.5,2.74,15.09
1984-05,0.00,11.7,16.9,22.2,8.4,2.43,13.51
1984-06,0.00,13.0,16.8,20.6,10.2,1.91,9.96
1984-07,0.00,15.4,18.9,22.5,12.9,1.55,10.12
1984-08,4.27,16.6,20.2,23.7,14.3,2.07,11.48
1984-09,9.36,17.3,22.3,27.4,14.1,2.95,17.84
1984-10,10.29,11.1,16.4,21.7,6.0,3.23,15.27
1984-11,55.02,7.6,12.8,17.9,4.8,1.85,10.27
1984-12,116.57,5.7,10.6,15.6,2.5,1.74,8.74
1985-01,20.74,5.0,10.4,15.9,1.4,1.76,9.97
1985-02,64.00,5.6,11.0,16.4,1.8,1.84,9.92
1985-03,42.90,6.3,11.2,16.2,2.9,1.74,9.52
1985-04,0.89,9.2,13.8,18.4,5.2,2.12,11.34
1985-05,0.00,9.5,13.7,18.0,5.4,2.55,9.80
1985-06,0.00,12.3,16.5,20.7,9.6,1.58,9.72
1985-07,0.00,14.9,19.6,24.3,11.5,2.39,16.11
1985-08,0.00,13.5,18.1,22.6,11.2,2.22,12.55
1985-09,1.92,12.8,17.7,22.7,9.6,2.79,13.80
1985-10,9.89,10.3,16.1,21.9,7.3,2.36,14.72
1985-11,92.16,6.9,12.4,18.0,4.4,1.44,10.85
1985-12,28.81,5.4,12.0,18.5,2.6,1.29,12.90
1986-01,47.37,7.4,13.2,19.1,5.3,1.04,11.68
1986-02,194.64,8.7,13.0,17.3,5.7,1.14,9.02
1986-03,155.36,9.2,13.5,17.7,7.4,1.02,8.22
1986-04,12.99,9.1,14.0,18.9,6.8,1.66,11.43
1986-05,0.00,9.7,14.4,19.1,8.9,1.13,9.04
1986-06,0.00,11.7,16.3,20.9,11.7,0.66,9.61
1986-07,0.00,13.1,17.5,22.0,12.8,0.85,10.12
1986-08,0.00,13.3,17.8,22.3,12.5,0.75,11.39
1986-09,41.37,11.3,16.3,21.4,10.9,1.22,10.82
1986-10,0.00,11.0,16.6,22.2,10.3,1.09,13.95
1986-11,18.44,8.1,15.1,22.1,6.4,1.43,17.01
1986-12,11.32,5.4,12.4,19.3,5.0,0.80,12.74
1987-01,30.22,3.7,10.3,17.0,2.6,0.81,11.01
1987-02,62.92,6.3,12.3,18.4,3.9,1.50,12.88
1987-03,109.66,7.2,12.6,17.9,5.7,1.39,10.44
1987-04,0.00,9.4,15.0,20.6,7.9,1.20,13.48
1987-05,2.30,11.9,16.2,20.6,10.0,1.48,10.02
1987-06,0.00,12.1,16.1,20.1,11.3,0.84,8.95
1987-07,0.37,12.2,16.9,21.5,11.8,1.07,10.66
1987-08,0.00,13.2,17.8,22.4,12.8,1.22,11.12
1987-09,0.00,13.3,17.9,22.5,13.7,0.78,10.43
1987-10,48.40,13.5,18.2,22.8,13.1,0.99,11.77
1987-11,27.56,8.3,14.2,20.1,8.1,1.18,12.24
1987-12,81.76,4.6,10.3,16.1,4.0,1.06,9.11
1988-01,61.25,4.5,10.9,17.4,5.1,0.80,10.83
1988-02,37.46,5.1,12.3,19.5,5.8,0.79,13.15
1988-03,31.81,8.0,14.8,21.7,5.7,1.56,17.09
1988-04,87.97,8.9,14.3,19.6,9.4,0.95,10.36
1988-05,0.06,10.0,15.2,20.4,9.0,1.56,12.60
1988-06,0.32,11.3,15.7,20.2,11.0,1.26,10.07
1988-07,0.00,14.8,18.2,21.7,14.9,1.03,6.98
1988-08,0.00,13.9,18.0,22.1,14.1,1.13,9.27
1988-09,0.00,12.2,16.8,21.4,13.2,0.92,10.30
1988-10,0.00,12.0,16.2,20.3,12.5,1.12,8.85
1988-11,26.90,7.9,13.4,19.0,7.5,1.35,10.87
1988-12,99.11,5.9,11.5,17.2,3.3,1.83,12.73
1989-01,13.44,3.6,10.0,16.4,2.3,1.14,11.88
1989-02,63.62,5.0,10.2,15.5,3.9,0.97,9.18
1989-03,18.49,8.5,13.6,18.7,7.2,1.19,11.08
1989-04,5.45,11.3,16.2,21.1,8.1,2.26,15.17
1989-05,5.96,10.3,15.3,20.2,8.6,1.86,11.67
1989-06,0.00,12.3,16.5,20.7,11.3,1.29,9.92
1989-07,0.00,13.7,18.0,22.2,13.6,1.14,10.76
1989-08,0.00,13.6,17.4,21.1,12.8,1.60,9.26
1989-09,1.83,12.2,16.9,21.5,13.5,0.56,10.03
1989-10,14.44,10.5,16.1,21.7,10.6,1.01,12.09
1989-11,8.13,7.2,14.7,22.1,5.7,1.18,17.46
1989-12,0.00,4.6,12.7,20.9,2.9,1.37,17.33
1990-01,52.54,4.7,11.3,17.9,4.6,0.83,11.67
1990-02,55.16,5.0,10.9,16.9,2.7,1.33,11.94
1990-03,1.03,7.9,12.6,17.3,8.1,0.92,8.97
1990-04,5.58,10.1,14.8,19.5,10.6,0.71,9.28
1990-05,20.10,10.0,15.0,19.9,10.2,1.03,10.31
1990-06,0.00,12.4,17.8,23.2,12.1,0.95,15.04
1990-07,0.00,14.6,19.0,23.4,14.6,1.15,11.87
1990-08,0.00,14.9,19.0,23.2,14.8,1.13,11.02
