PRISM Time Series Data
Location:  Lat: 33.6377   Lon: -117.8859   Elev: 32m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,5.79,8.7,15.1,21.5,3.5,2.76,16.35
1984-02,0.00,8.2,14.8,21.4,3.7,2.24,16.17
1984-03,3.72,10.6,16.4,22.2,6.6,2.41,15.82
1984-04,16.36,11.1,16.2,21.3,6.5,2.55,14.63
1984-05,0.00,14.1,19.2,24.3,11.0,2.57,15.12
1984-06,0.08,16.4,20.1,23.9,12.0,3.41,13.22
1984-07,0.00,18.9,23.3,27.6,15.1,3.20,17.68
1984-08,3.82,19.7,23.8,27.8,16.2,2.95,15.95
1984-09,3.73,20.2,25.1,30.0,16.3,3.70,22.18
1984-10,5.12,13.8,18.9,24.1,8.8,3.41,16.94
1984-11,45.52,9.6,14.9,20.2,7.1,2.08,12.12
1984-12,128.08,7.8,12.6,17.5,4.8,1.81,9.92
1985-01,16.03,7.3,12.9,18.4,3.0,2.32,12.42
1985-02,31.66,7.3,13.3,19.3,4.1,1.74,13.01
1985-03,12.93,7.7,13.0,18.2,5.5,1.39,10.41
1985-04,0.41,11.2,16.4,21.6,7.5,1.81,13.79
1985-05,1.51,13.0,16.8,20.7,9.5,2.08,10.53
1985-06,0.00,15.1,19.4,23.7,11.4,2.39,13.68
1985-07,0.00,18.1,22.9,27.7,13.4,3.39,20.61
1985-08,0.00,16.5,21.2,25.9,12.8,2.88,17.25
1985-09,7.88,16.1,20.8,25.5,13.2,2.44,16.05
1985-10,3.23,14.4,19.6,24.8,10.7,2.48,17.07
1985-11,87.48,10.0,15.0,19.9,7.9,1.29,11.42
1985-12,13.15,7.9,14.4,21.0,4.6,1.64,15.20
1986-01,23.21,10.0,16.1,22.2,6.7,1.73,15.65
1986-02,111.76,9.5,14.7,19.8,7.9,0.95,10.76
1986-03,74.48,10.8,15.5,20.2,9.1,1.04,10.51
1986-04,19.24,11.1,16.3,21.4,8.9,1.92,13.47
1986-05,0.00,13.2,17.6,22.0,10.8,2.65,12.23
1986-06,0.00,15.3,19.3,23.2,13.3,2.83,11.62
1986-07,2.48,16.2,20.5,24.8,14.1,2.74,13.54
1986-08,0.00,16.7,21.6,26.4,15.2,1.70,15.33
1986-09,27.90,14.7,18.9,23.1,13.0,1.95,12.04
1986-10,6.46,13.0,18.3,23.7,11.1,1.47,14.85
1986-11,17.87,11.0,17.5,24.0,8.0,2.24,18.26
1986-12,17.62,8.0,14.3,20.5,6.9,1.37,13.34
1987-01,45.53,6.7,12.7,18.7,3.6,2.06,12.89
1987-02,44.69,8.5,14.2,20.0,5.1,2.82,14.59
1987-03,20.87,9.3,14.4,19.6,7.4,2.54,12.46
1987-04,2.28,11.8,17.3,22.8,8.3,3.21,17.29
1987-05,2.51,14.1,17.7,21.4,10.9,2.33,10.82
1987-06,0.00,14.9,18.6,22.3,12.2,2.46,10.73
1987-07,2.01,15.4,19.2,22.9,12.4,2.78,11.83
1987-08,3.20,16.2,20.5,24.8,14.1,2.31,14.17
1987-09,2.41,15.7,21.0,26.3,14.6,1.86,16.01
1987-10,27.66,15.6,20.4,25.2,13.9,1.74,15.88
1987-11,43.90,10.6,16.2,21.9,9.2,1.55,14.35
1987-12,53.83,6.4,11.7,16.9,4.1,1.47,10.18
1988-01,36.73,7.1,13.2,19.3,4.0,1.81,14.25
1988-02,20.63,8.5,15.3,22.0,4.5,2.49,17.87
1988-03,6.81,9.6,15.9,22.2,6.2,2.27,17.77
1988-04,48.12,11.2,16.0,20.8,9.3,1.75,12.68
1988-05,0.08,12.6,17.1,21.6,10.3,2.05,12.39
1988-06,0.00,13.5,17.5,21.6,11.8,2.21,10.64
1988-07,0.00,17.9,21.3,24.7,16.2,2.37,10.49
1988-08,0.14,16.8,20.8,24.8,15.7,2.04,11.50
1988-09,1.90,15.5,20.1,24.6,14.6,2.17,14.07
1988-10,0.00,15.0,18.9,22.8,13.6,2.25,11.51
1988-11,25.03,10.0,15.2,20.5,9.3,1.69,11.63
1988-12,75.98,7.4,13.2,19.0,4.1,2.12,13.94
1989-01,13.22,5.9,12.2,18.5,2.1,2.00,14.34
1989-02,23.40,7.3,12.7,18.0,5.6,1.47,11.36
1989-03,16.98,9.9,15.0,20.0,8.6,1.09,10.96
1989-04,0.01,13.0,17.9,22.8,9.4,2.98,17.19
1989-05,0.00,13.0,17.0,20.9,10.7,2.26,10.68
1989-06,0.74,14.8,18.5,22.1,12.5,2.51,10.77
1989-07,0.00,16.9,21.4,25.9,15.2,2.09,13.96
1989-08,0.00,16.9,20.8,24.6,15.0,3.07,13.48
1989-09,12.60,15.5,20.5,25.6,14.3,2.20,16.57
1989-10,9.80,13.5,18.2,22.8,11.7,2.38,13.91
1989-11,4.79,11.3,18.2,25.2,6.1,2.95,22.02
1989-12,0.00,7.9,15.0,22.1,4.8,2.08,19.23
1990-01,47.88,7.5,13.7,19.9,4.8,1.78,14.36
1990-02,58.29,7.2,12.6,17.9,4.6,1.63,12.32
1990-03,3.08,9.7,14.9,20.1,7.9,1.51,13.29
1990-04,14.47,12.7,16.7,20.7,11.1,1.58,10.87
1990-05,16.64,13.3,17.4,21.5,10.8,2.26,12.59
1990-06,0.21,15.7,20.2,24.6,13.4,2.38,15.87
1990-07,0.00,18.4,22.2,26.1,16.0,2.80,15.37
1990-08,0.00,17.9,21.4,24.9,15.5,2.78,13.04
