"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",5.79,8.7,15.1,21.5,3.5,2.76,16.35,42.2138514543253,-0.881047378040164,-0.938886672754913,-1.16478455426345
"1984-02","1984-02",1984-02-01,1984,"1984",0,8.2,14.8,21.4,3.7,2.24,16.17,39.2536304672296,-1.6815769099883,-1.91450582505556,-1.35652453547459
"1984-03","1984-03",1984-03-01,1984,"1984",3.72,10.6,16.4,22.2,6.6,2.41,15.82,57.1072297666031,-2.11011849419327,-1.01071390236665,-1.23960874440655
"1984-04","1984-04",1984-04-01,1984,"1984",16.36,11.1,16.2,21.3,6.5,2.55,14.63,58.9620719893758,-2.07875163734231,0.533409889111319,0.421911807370647
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.1,19.2,24.3,11,2.57,15.12,88.442887980155,-2.28955667721729,-0.430727299295457,-1.36109922147946
"1984-06","1984-06",1984-06-01,1984,"1984",0.08,16.4,20.1,23.9,12,3.41,13.22,95.7629219332211,-2.37604101333416,0.571090669754192,-0.998066368078733
"1984-07","1984-07",1984-07-01,1984,"1984",0,18.9,23.3,27.6,15.1,3.2,17.68,127.806818391305,-2.34456833171989,0.282216147062508,-1.58049646184288
"1984-08","1984-08",1984-08-01,1984,"1984",3.82,19.7,23.8,27.8,16.2,2.95,15.95,126.099393821662,0.189179546407295,2.12746473455933,-1.37397603176833
"1984-09","1984-09",1984-09-01,1984,"1984",3.73,20.2,25.1,30,16.3,3.7,22.18,124.071079419595,0.150328188620771,0.722916878956941,-2.31937144025875
"1984-10","1984-10",1984-10-01,1984,"1985",5.12,13.8,18.9,24.1,8.8,3.41,16.94,69.9483730103276,0.0564185735690287,0.158030174568136,0.197753918139217
"1984-11","1984-11",1984-11-01,1984,"1985",45.52,9.6,14.9,20.2,7.1,2.08,12.12,40.6413398474928,0.426542158444522,1.10902802305096,1.3784465679188
"1984-12","1984-12",1984-12-01,1984,"1985",128.08,7.8,12.6,17.5,4.8,1.81,9.92,29.8122536213827,1.15238782466539,1.47870909446173,1.61711283345398
"1985-01","1985-01",1985-01-01,1985,"1985",16.03,7.3,12.9,18.4,3,2.32,12.42,31.728600608492,-0.713818269633325,-0.44043311438397,-0.384974212190111
"1985-02","1985-02",1985-02-01,1985,"1985",31.66,7.3,13.3,19.3,4.1,1.74,13.01,32.3389675104156,-1.20496297515861,-0.26641137432003,-0.284935025944099
"1985-03","1985-03",1985-03-01,1985,"1985",12.93,7.7,13,18.2,5.5,1.39,10.41,37.4741627310738,-1.28085962487456,-0.36486346644714,0.0403478585745121
"1985-04","1985-04",1985-04-01,1985,"1985",0.41,11.2,16.4,21.6,7.5,1.81,13.79,60.2886160172656,-1.22244278365485,-1.29051430665483,-0.719891686910961
"1985-05","1985-05",1985-05-01,1985,"1985",1.51,13,16.8,20.7,9.5,2.08,10.53,69.4237793626174,-1.1708952128344,0.066431981297155,0.283102999131382
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.1,19.4,23.7,11.4,2.39,13.68,89.8014649497517,-1.12242169963033,0,-0.16882344268796
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.1,22.9,27.7,13.4,3.39,20.61,123.856125179257,-1.13724775160738,0.282216147062508,-1.3450281584673
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.5,21.2,25.9,12.8,2.88,17.25,102.238076130144,-0.0201757437710647,0.861634120174172,0.666455896127935
"1985-09","1985-09",1985-09-01,1985,"1985",7.88,16.1,20.8,25.5,13.2,2.44,16.05,88.2448665482125,0.122945078785787,1.0362938663308,0.885527770868891
