"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"AguaHedionda",1984,4,"None",0.0224476229048306,0.291838492,0.344065015,0.31269693225,51634.8447553656,493485.3628,615171.6871,563747.91045,38.8341115926406,70613.1170908778,805236.0133,977619.3716,887934.35375,61.1658884073594,0.770046852598566,0.770046852598566,NA,NA,NA,NA,NA,NA,NA,8.93,2,12.575,17.15,21.725,9.575,1.995,12.135,-2.27154315351335,-0.469290432803888,-1.05011852741324,-0.465,0.6825,-0.3625
"AguaHedionda",1985,3,"None",0.0146207343289555,0.320804681,0.346192173,0.329309764333333,50928.1998757868,487088.6286,584039.2834,526548.7064,36.6953014208148,35204.0680246,870718.6406,940464.5921,908372.621433333,63.3046985791852,0.755798148148148,0.755798148148148,NA,NA,NA,NA,NA,NA,NA,97.32,15.14,11.3333333333333,15.7666666666667,20.1666666666667,8.53333333333333,1.62333333333333,11.15,-0.897751013025208,0.678039618723569,0.673841817650937,-0.483333333333333,-0.346666666666667,-0.4
"AguaHedionda",1986,7,"None",0.0189003100001392,0.313574294,0.366464576,0.33418010425,70263.4234345125,369601.8016,578567.9708,493591.264191667,35.0677785111098,161404.134537444,710415.4346,1105819.222,913943.758408333,64.9322214888902,0.768896756592422,0.768896756592422,NA,NA,NA,NA,NA,NA,NA,224.85,271.91,11.1666666666667,15.8666666666667,20.5666666666667,9.58333333333333,1.64833333333333,10.08,0.704422138648456,0.885946142961415,1.23768840539174,0.371666666666667,1.14166666666667,0.4
"AguaHedionda",1987,6,"None",0.025481564826604,0.307667278,0.372839753,0.331521787833333,26859.9560532232,505106.1725,571609.5402,539721.863466667,37.8768437931161,73292.2447964194,776611.4563,998572.0025,885216.98945,62.1231562068839,0.767889508661888,0.767889508661888,NA,NA,NA,NA,NA,NA,NA,44.87,86.92,12.95,16.8333333333333,20.7,11.05,2.18666666666667,9.255,-0.424036565236564,0.374250767113884,0.473273312558272,1.30666666666667,1.35166666666667,1.61166666666667
"AguaHedionda",1988,6,"None",0.0352583256334418,0.27730601,0.353534565,0.329699515625,12937.4137433631,514989.1167,546573.6743,529949.116775,38.7789021713387,119081.024851481,685174.6259,942806.404,836642.21795,61.2210978286613,0.748567887544803,0.748567887544803,NA,NA,NA,NA,NA,NA,NA,83.4,83.4,13.575,17.4,21.2,12.925,1.51,8.5475,0.381662325242777,0.320606829555681,0.382509457141481,-0.92,-0.105,-0.9775
"AguaHedionda",1989,6,"None",0.0154816740108384,0.311193819,0.349231127,0.3258873917,45917.6878202187,480727.1515,584035.6971,546036.05195,36.2945430786495,54646.0552701327,892953.5149,1036904.7095,958421.65886,63.7054569213505,0.759827240143369,0.759827240143369,NA,NA,NA,NA,NA,NA,NA,27.3,23.76,11.74,16.5,21.24,9.92,2.322,12.672,-1.97855921791165,-0.222412646463654,-0.482772034238215,-0.542,-0.556,-0.85
"AguaHedionda",1990,2,"None",0.0093035729185921,0.340274489,0.353431728,0.3468531085,2247.84812179693,525836.3934,529015.3307,527425.86205,36.5208073328039,1443.60678918552,915732.4412,917774.0095,916753.22535,63.4791926671961,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,NA,NA,2.17,5.71,17,20.3,23.65,15.3,3.015,9.76,-2.07184494234009,0.365280006380615,-0.216626784609607,0.385,-0.345,0.135
"AguaHedionda",1991,1,"None",NA,0.270047921,0.270047921,0.270047921,NA,587228.7789,587228.7789,587228.7789,39.0401666570161,NA,916936.8771,916936.8771,916936.8771,60.9598333429839,0.679084677419355,0.679084677419355,NA,NA,NA,NA,NA,NA,NA,0,0,11.6,14.8,18,9,2.47,6.84,1.20418452806477,-0.764709673786387,0.390997275072772,0.45,-1.65,0.35
"AguaHedionda",1992,10,"None",0.0229694156004384,0.2877276785,0.347408906,0.315532435125,65315.8702656962,366355.7121,586819.1063,513996.112625,36.6601325333417,129972.689320777,701676.7368,1147272.387,888061.31899375,63.3398674666583,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,NA,NA,167.03,79.22,12.3875,16.8625,21.325,9.4125,3.2125,12.09125,1.64911370272073,0.214839842740771,-0.593545780283122,0.5275,0.86,1.16875
"AguaHedionda",1993,8,"None",0.0249850897478382,0.273746052,0.342077945,0.31324817,74591.3276692688,485495.6419,698798.9994,562403.0213375,39.4759579830452,128575.11167307,683839.517,1070006.343,862269.235075,60.5240420169548,0.784301360887097,0.784301360887097,NA,NA,NA,NA,NA,NA,NA,339.59,391.55,11.4875,15.8375,20.2,9.675,1.9875,10.65625,2.61073739209451,0.271484878060791,0.0295547122911857,0.36875,1.01,0.93
"AguaHedionda",1994,9,"None",0.0370335596814036,0.283147163,0.387899058,0.34405469425,43587.0224723381,479605.7723,600375.2884,522163.1406125,37.8881042918918,67625.4858019446,773672.8369,965299.1915,856008.5847125,62.1118957081082,0.762472553043395,0.762472553043395,NA,NA,NA,NA,NA,NA,NA,165.41,199.79,13.45,17.25,21.0625,11.625,1.77125,10.38,2.35055208317021,0.315545528444447,0.0934735754332609,0.40375,-0.38875,0.515
"AguaHedionda",1995,2,"None",0.0239462489266283,0.366382229,0.400247339,0.383314784,115139.920824095,509351.8059,672184.2435,590768.0247,40.5346710671691,24266.9260238265,849511.4701,883830.086,866670.77805,59.4653289328309,0.754571527777777,0.754571527777777,NA,NA,NA,NA,NA,NA,NA,44.05,45.52,12.95,17,21.1,10.75,2.065,11.7,3.89491314566626,0.515718365323907,0.371178109055834,-0.255,0.855,-0.34
