"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"AlisoCanyonCreek",1984,6,"None",0.0239978406128229,0.27659069,0.342250704,0.3078340466,9348.50177140521,24752.88353,48174.16517,36115.260426,99.5424410207364,371.205625388944,0,830.041012,166.0082024,0.457558979263623,0.790103611111111,0.790103611111111,NA,NA,NA,NA,NA,NA,NA,8.19,1.78,14.14,18.54,22.96,10.56,2.454,13.096,-2.24708174198272,-0.299150482471388,-1.21644366115497,-0.404,0.548,-0.32
"AlisoCanyonCreek",1985,6,"None",0.0465093043909845,0.245193984,0.371777685,0.3148721524,6848.9996524834,30308.85971,46957.36061,35173.605746,100,0,0,0,0,0,0.770912222222222,0.770912222222222,NA,NA,NA,NA,NA,NA,NA,106.92,15.11,13.88,18.02,22.14,10.44,2.256,12.64,-1.2678285615582,0.429976705907939,0.264198908264522,-0.48,-0.066,-0.318
"AlisoCanyonCreek",1986,7,"None",0.0242260929918518,0.280571494,0.347109608,0.303322666833333,8502.71791750741,29687.2116,49004.20618,41762.8352358333,99.856429048528,147.080855497132,0,360.2730469,60.0455078166667,0.14357095147202,0.796132419674859,0.796132419674859,NA,NA,NA,NA,NA,NA,NA,177.29,207.56,10.4333333333333,15.8666666666667,21.25,8.53333333333333,1.84666666666667,11.88,0.327158614089104,0.65440433822559,0.904892304255311,0.626666666666667,1.14666666666667,0.641666666666667
"AlisoCanyonCreek",1987,7,"None",0.0337407669705059,0.283167702,0.372497328,0.333410274714286,9448.97052634828,25731.27195,49004.20618,36273.5485471429,100,0,0,0,0,0,0.767044886072708,0.767044886072708,NA,NA,NA,NA,NA,NA,NA,88.08,156.03,11.9142857142857,16.2571428571429,20.6,9.37142857142857,2.44714285714286,10.6742857142857,-1.04109089302507,0.219583867092511,0.457275160741387,1.29571428571429,1.36857142857143,1.52142857142857
"AlisoCanyonCreek",1988,7,"None",0.0363196789289279,0.296069193,0.371440481,0.325638900125,7568.07605422177,26838.58206,44742.740895,34962.3867175,97.6845741843969,1030.66153166474,0,2126.3176315,828.71644225,2.31542581560313,0.771276892921147,0.771276892921147,NA,NA,NA,NA,NA,NA,NA,8.61,8.61,15.3,19.025,22.75,13.6,2.4275,9.9725,0.670703771983064,0.405641804223878,0.17307250620307,-1.12,-0.41,-1.4225
"AlisoCanyonCreek",1989,7,"None",0.0274611325349505,0.2825560525,0.348416078,0.31808285425,7906.80603209136,28507.49418,49004.20618,38146.8593358333,99.6080270649058,367.702138722418,0,900.6826172,150.113769533333,0.391972935094177,0.768056750298686,0.768056750298686,NA,NA,NA,NA,NA,NA,NA,30,28.84,12.5,17.35,22.2166666666667,10.1333333333333,2.94,13.9016666666667,-1.67151457208517,-0.325868626778698,-0.371518661161388,-0.503333333333333,-0.37,-0.895
"AlisoCanyonCreek",1990,4,"None",0.0397127572134938,0.2572431915,0.326828334,0.303089873166667,6720.5790818435,27603.27929,41018.153255,34553.2530883333,100,0,0,0,0,0,0.874344026284349,0.874344026284349,NA,NA,NA,NA,NA,NA,NA,1.39,2.55,15.6,20,24.4,13.1333333333333,3.35333333333333,13.9466666666667,-1.8685646479174,0.0560928361927022,-0.52368070196545,0.373333333333333,-0.616666666666667,0.07
"AlisoCanyonCreek",1991,3,"None",0.0118090933677484,0.265326787,0.282027367,0.273677077,13505.5774305756,29904.43541,49004.20618,39454.320795,100,0,0,0,0,0,0.769576366487456,0.769576366487456,NA,NA,NA,NA,NA,NA,NA,0,0,13.85,17.15,20.55,11.45,2.425,9.13,1.17949970492513,-0.259885438765662,0.260870922949941,0.535,-0.64,0.485
"AlisoCanyonCreek",1992,9,"None",0.0581236292160783,0.214570232,0.371505833,0.2909306076875,7219.60100673988,31206.01024,49004.20618,40396.50564125,99.7220739235106,318.439393159484,0,900.6826172,112.58532715,0.27792607648941,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,NA,NA,160.74,78.84,12.5125,17.2,21.9125,8.95,3.64125,13.5075,1.35828167465372,0.158524888657339,-0.615380273224557,0.5275,0.86,1.16875
"AlisoCanyonCreek",1993,9,"None",0.042774143991781,0.247379899,0.367663765,0.316478676777778,9102.99526718971,29408.17704,49004.20618,41438.8642455556,100,0,0,0,0,0,0.80120993130227,0.80120993130227,NA,NA,NA,NA,NA,NA,NA,385.72,429.09,12.2888888888889,16.6444444444444,21.0333333333333,10.3777777777778,1.91222222222222,11.1644444444444,2.56586288584922,0.229117872332495,0.220273774544774,0.288888888888889,1.06222222222222,0.836666666666667
