"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"BuenaVistaLagoon",1984,4,"None",0.0364416770739671,0.306640012,0.392861859,0.343038922,25383.8815064524,335016.8233,386402.4682,356235.30255,38.3373642481405,29153.3628040238,546708.7901,600701.1585,572976.47175,61.6626357518595,0.770046852598566,0.770046852598566,NA,NA,NA,NA,NA,NA,NA,9.46,1.69,12.675,17.225,21.725,9.55,2.1,12.1925,-2.31640217675809,-0.351711252712144,-1.08165789841278,-0.465,0.6825,-0.3625
"BuenaVistaLagoon",1985,3,"None",0.0300394292528932,0.344577653,0.404563445,0.373605579333333,142086.325064231,328471.7481,594922.5587,433180.9875,47.1134723441996,127514.319902542,339078.8032,563454.7063,486260.874766667,52.8865276558004,0.755798148148148,0.755798148148148,NA,NA,NA,NA,NA,NA,NA,104.66,17.44,11.4,15.7666666666667,20.1333333333333,8.53333333333333,1.64333333333333,11.0633333333333,-0.98701388600233,0.752937546785147,0.756878134330836,-0.483333333333333,-0.346666666666667,-0.4
"BuenaVistaLagoon",1986,6,"None",0.0223821065689375,0.338787184,0.399402794,0.3652505004,97433.3159435057,360483.5935,592898.6299,467010.228,50.6713282404291,94946.5879815314,342254.2097,578328.5426,454635.68936,49.3286717595708,0.791735516513057,0.791735516513057,NA,NA,NA,NA,NA,NA,NA,148.53,204.93,11.4,16.22,21.04,9.76,1.878,10.348,0.486517386628811,0.835768922841033,1.17657273891606,0.508,1.034,0.558
"BuenaVistaLagoon",1987,7,"None",0.0472546339595658,0.275817904,0.417002635,0.349858663285714,44297.1255051226,303411.2275,428911.8629,378720.5717,43.8686109714905,44605.4993644722,418968.8204,536688.1056,484585.932228571,56.1313890285095,0.774110746287762,0.774110746287762,NA,NA,NA,NA,NA,NA,NA,93.75,80.41,13.2428571428571,17.1142857142857,20.9428571428571,11.3285714285714,2.14714285714286,9.22,-0.470969104739129,0.484368508330819,0.612065169085391,1.33142857142857,1.25571428571429,1.54285714285714
"BuenaVistaLagoon",1988,7,"None",0.0617097648661221,0.279678146,0.416161812,0.33602330225,75175.5335707639,304640.3237,469065.2315,401678.5359,46.2581576959131,44588.010346826,405172.172,510732.1292,466662.435525,53.7418423040869,0.748567887544803,0.748567887544803,NA,NA,NA,NA,NA,NA,NA,86.24,138.17,13.525,17.375,21.225,12.925,1.47,8.3725,0.435586837301912,0.361153951869786,0.389443620755232,-0.92,-0.105,-0.9775
"BuenaVistaLagoon",1989,8,"None",0.0316188216693583,0.32727524,0.409638641,0.367689735571429,93641.1900856864,413652.9808,683681.7906,483031.596285714,52.999346711144,97967.9146864376,233213.3976,511510.9483,428360.008064286,47.000653288856,0.771549219150026,0.771549219150026,NA,NA,NA,NA,NA,NA,NA,36.33,25.39,12.5571428571429,17.0428571428571,21.5428571428571,10.7714285714286,2.55857142857143,12.0928571428571,-1.83095890585033,-0.140000891709755,-0.276494645485976,-0.462857142857143,-0.39,-0.847142857142857
"BuenaVistaLagoon",1990,3,"None",0.0351723137879262,0.372932404,0.434499558,0.413538795333333,30297.5523951204,518628.2838,578692.4092,546349.726733333,59.0411452810584,40342.2206402518,339382.5132,420031.9704,379021.4261,40.9588547189416,0.874344026284349,0.874344026284349,NA,NA,NA,NA,NA,NA,NA,2.06,13,15.4666666666667,19.5333333333333,23.6,13.6,3.09333333333333,11.5533333333333,-1.93235069863462,-0.0189433127739536,-0.38560433187349,0.373333333333333,-0.616666666666667,0.07
"BuenaVistaLagoon",1991,2,"None",0.036229267886545,0.29455716,0.345793082,0.320175121,75792.2773842854,476850.0904,584036.557,530443.3237,61.9748905257029,193047.207058233,188952.0674,461962.0458,325457.0566,38.0251094742971,0.769576366487456,0.769576366487456,NA,NA,NA,NA,NA,NA,NA,1.29,1.29,13.8,16.85,19.9,11.85,1.97,7.49,1.29745785865609,-0.0774796026350945,0.393205737494675,0.535,-0.64,0.485
"BuenaVistaLagoon",1992,8,"None",0.0273703511574263,0.326478589,0.393481105,0.360202874142857,104830.159439185,402102.8167,687976.8567,531573.064321429,59.069359285735,79120.935138222,247232.4971,448585.7779,368340.309971429,40.930640714265,0.813132430875576,0.813132430875576,NA,NA,NA,NA,NA,NA,NA,167.22,80.57,12.9285714285714,17.0142857142857,21.1285714285714,10.1571428571429,3.29285714285714,11.1728571428571,1.50538808752757,0.429526958201604,-0.486043377030146,0.642857142857143,0.795714285714286,1.23142857142857
"BuenaVistaLagoon",1993,8,"None",0.0423002191698131,0.302931997,0.417561982,0.374546100875,102207.573554283,414878.6212,712670.059,548987.92595,61.0802788159218,106695.7159244,186119.3564,523933.5149,349809.421725,38.9197211840782,0.796454922715054,0.796454922715054,NA,NA,NA,NA,NA,NA,NA,356.62,404.68,11.3875,15.9125,20.425,9.7375,1.88,11.06625,2.4676364664005,0.356015775637081,0.13239302033293,0.29375,0.95,0.86375
