"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"Carpinteria",1984,7,"Pre",0.0508652398126908,0.274797632,0.39605494,0.3650301069,33766.1735931985,819463.142,887422.4651,861681.20272,98.610435380092,25089.7255155843,0,56969.02962,12142.34282938,1.38956461990802,NA,0.77213896953405,NA,NA,NA,NA,NA,2.132821376,0.151778048,144.96,2.81,10.64,15.94,21.26,6.16,2.662,14.632,-2.54624421911056,-0.101503419425455,-0.601517819748169,-0.618,0.53,-0.312
"Carpinteria",1985,6,"Pre",0.0233618665498745,0.392743844,0.446994662,0.4207732342,36879.6673267806,795478.308,882819.0701,860396.17984,98.5646359285888,19134.5790045224,899.5143433,46375.94245,12529.66393156,1.4353640714112,NA,0.762087338709677,NA,NA,NA,NA,NA,0.22795024,2.172748064,80.3,211.12,10.36,15.72,21.08,6.38,2.348,14.172,-2.09349342852954,-0.0196903387535732,-0.268955771152476,-0.638,0.168,-0.38
"Carpinteria",1986,11,"Pre",0.0245034175442742,0.36587683,0.448864362,0.407044295277778,108076.005789438,563809.6886,884914.4139,809685.95285,95.3859800092914,101430.236459298,0,308832.5462,39166.2084122,4.61401999070861,NA,0.764659263448705,NA,NA,NA,NA,NA,16.566177504,16.547771584,322.65,296.8,10.7777777777778,16.0777777777778,21.3333333333333,8.02222222222222,1.84333333333333,13.5444444444444,0.290996564353695,0.242761898147215,0.209003658549079,0.236666666666667,1.09,0.25
"Carpinteria",1987,6,"Pre",0.0301060200997437,0.340961541,0.422663693,0.3818593679,10996.1287301589,857936.1487,887422.4651,872707.49075,99.2155443464986,12680.8123541003,0,29486.31643,6900.13172312,0.784455653501441,NA,0.763665294098822,NA,NA,NA,NA,NA,2.99591744,3.018004544,238.61,234.65,9.48,14.8,20.18,6.04,2.118,13.744,-1.44634440839072,-0.012528736940476,-0.126034518597153,1.182,1.268,1.264
"Carpinteria",1988,4,"Pre",0.0289252176439284,0.3838234115,0.438441659,0.4166364725,43341.5307441333,804341.1339,886974.4723,853216.928566667,96.9189116550747,46302.1376141849,335.1123681,80589.147855,27124.0843444,3.08108834492528,NA,0.703149219683393,NA,NA,NA,NA,NA,0.823169376,0.733688288,237.32,179.31,8.8,14.5666666666667,20.3666666666667,5.36666666666667,2.25666666666667,15.2133333333333,-0.458402518897674,0.60260598890631,0.501574956291139,-0.673333333333333,0.23,-0.436666666666667
"Carpinteria",1989,9,"Pre",0.0202400393573362,0.361816404,0.427637721,0.398511874888889,147485.511488277,422363.6526,887422.4651,808928.937144444,93.1544408084891,152633.306607805,0,465058.8125,59445.0556826667,6.84555919151092,NA,0.730525032002048,NA,NA,NA,NA,NA,0.997034528,1.119079936,148.29,221.92,9.73333333333333,15.4666666666667,21.2111111111111,6.68888888888889,2.28222222222222,15.0133333333333,-1.70237085834587,-0.370914954848348,-0.575526406700993,-0.657777777777778,-0.524444444444444,-0.826666666666667
"Carpinteria",1990,4,"Pre",0.00828163742603478,0.362499667,0.380274413,0.3739800795,70218.7044477744,728508.3473,887422.4651,831163.213475,99.0419420306815,15019.0012052213,0,30551.67392,8040.053780725,0.958057969318535,NA,0.759153124737538,NA,NA,NA,NA,NA,0.194819584,0.194819584,157.17,182.19,8.75,14.525,20.275,6.15,1.9725,14.3125,-3.07886673149716,0.0991836670578284,0.0202180835357688,0.2475,-0.795,0.13
"Carpinteria",1991,3,"Pre",0.021373645659487,0.36640769,0.407178655,0.390501938333333,8851.66997060145,867245.1976,884889.7195,876483.700866667,99.5266768011835,5183.41328319025,0,9972.245504,4168.33036466667,0.473323198816504,0.806607093787336,0.806607093787336,NA,NA,NA,NA,NA,0.020671264,0.020671264,21.88,22.38,11.5,16.1666666666667,20.8,10.2,1.44666666666667,10.2766666666667,1.63954770104316,0.369960397521324,1.16904661091925,0.576666666666667,-1.49333333333333,0.553333333333333
"Carpinteria",1992,8,"Pre",0.0161655292898065,0.363587822,0.409385619,0.377761578583333,53053.596636847,752279.9652,887422.4651,837728.1689,97.9804809512381,15984.2219228601,0,41663.19991,17266.78597975,2.01951904876193,0.893598864994026,0.893598864994026,NA,NA,NA,NA,NA,4.047037056,2.79203648,185.49,1.41,12.1333333333333,17.25,22.3166666666667,9.63333333333333,1.90333333333333,13.845,1.00453888551232,-0.00874291842796279,-0.525405074202384,0.0983333333333333,0.795,0.813333333333333
"Carpinteria",1993,9,"Pre",0.0456357810665222,0.326298964,0.450195967,0.39914290725,15769.9342699347,842277.5498,887422.4651,870861.71820625,99.3492825240426,8509.52467749445,0,25486.16884,5703.966096,0.650717475957364,0.85729247311828,0.85729247311828,NA,NA,NA,NA,NA,43.317058464,43.805806432,243.68,346.31,11.1,16.025,20.9875,9,1.955,12.36625,-0.284183526894777,0.14382330385804,0.106271675178565,0.34875,1.1675,0.91125
"Carpinteria",1994,7,"Pre",0.0299041387142676,0.385006787,0.455608181,0.4118280923,22793.0998304375,826262.7362,887422.4651,854054.82245,98.0499260361857,14851.0053466805,0,31742.15943,16985.9391053,1.95007396381433,0.848305083205325,0.848305083205325,NA,NA,NA,NA,NA,4.782141184,5.548393792,238.16,293.5,11.92,16.38,20.82,8.7,2.556,12.678,-0.844790264713173,0.26233684674514,-0.0395021099269282,0.364,-0.248,0.436
