"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"KendallFrost",1984,3,"None",0.00314025620414976,0.340132522,0.346367649,0.343032518,9463.42186329387,240330.6895,258525.0333,250933.165,99.5739053243339,1853.74115774443,0,3214.300237,1073.788209936,0.426094675666141,0.755379226403823,0.755379226403823,NA,NA,NA,NA,NA,NA,NA,2.12,2.12,14.8333333333333,18.4666666666667,22.0666666666667,10.6333333333333,2.76333333333333,11.6866666666667,-2.01432538485449,-0.740337315429199,-1.53549589982256,-0.433333333333333,0.766666666666667,-0.433333333333333
"KendallFrost",1985,6,"None",0.0433286290647202,0.2936258055,0.403214304,0.3669380063,7768.81389691459,183974.4731,204500.0713,196633.16198,84.1858180497426,28907.8589902745,8848.155104,77028.397435,36937.2499198,15.8141819502574,0.770912222222222,0.770912222222222,NA,NA,NA,NA,NA,NA,NA,129.27,11.12,16.1,19.62,23.16,11.36,3.238,13.456,-0.329118812639034,0.42580764361599,-0.0138195236698448,-0.48,-0.066,-0.318
"KendallFrost",1986,5,"None",0.037425961607236,0.329880943,0.411624552,0.3688625835,86631.3835499005,61414.30203,251538.3456,180625.51252,68.8767752954834,87158.9780330259,6993.752058,200501.6418,81618.9258195,31.1232247045166,0.786153770641321,0.786153770641321,NA,NA,NA,NA,NA,NA,NA,134.38,203.33,13.7,17.75,21.875,10.525,2.1925,12.295,1.22255549385269,0.76726707128645,0.577423586689653,0.4575,1.3,0.37
"KendallFrost",1987,7,"None",0.01086368006156,0.383039418,0.411237436,0.394857507083333,34937.5995807356,163425.922085,242824.4142,201176.571664167,83.260562661263,33475.83636097,9925.476071,100838.9338545,40446.3110475833,16.739437338737,0.758537441329578,0.758537441329578,NA,NA,NA,NA,NA,NA,NA,124.74,173.94,12.65,16.5833333333333,20.5833333333333,8.51666666666667,2.96333333333333,12.2016666666667,-0.43391460806704,0.322342350819388,0.300785697703654,1.27333333333333,1.46333333333333,1.43166666666667
"KendallFrost",1988,4,"None",0.0205280436658942,0.36612938,0.406933216,0.387843080333333,7402.55690071212,209107.82465,223891.834,216727.94885,90.4233688951155,18936.1440183366,1105.577817,34640.26368,22953.398459,9.57663110488452,0.763465516726404,0.763465516726404,NA,NA,NA,NA,NA,NA,NA,1.71,1.71,16.6333333333333,19.8,23,13.9666666666667,2.70666666666667,11.2966666666667,-0.145060020972439,-0.21824301036082,-0.29699033273017,-1.12333333333333,-0.253333333333333,-1.3
"KendallFrost",1989,7,"None",0.016700887962519,0.335306518,0.383092231,0.368895892857143,30619.9925496227,182314.343,261997.1846,219049.193157143,88.3156521912913,29129.5334436088,2267.671325,81950.51291,28980.6721295714,11.6843478087087,0.771549219150026,0.771549219150026,NA,NA,NA,NA,NA,NA,NA,40.65,29.07,14.4571428571429,18.2142857142857,22.0142857142857,11.3714285714286,2.43714285714286,12.3157142857143,-1.89143903951115,-0.196981738664926,-0.206458662558369,-0.462857142857143,-0.39,-0.847142857142857
"KendallFrost",1990,2,"None",0.00409065939821174,0.39978905,0.405574116,0.402681583,2020.59170978741,214079.3884,216936.9366,215508.1625,84.4691615165835,1668.42465153613,38444.43986,40803.94863,39624.194245,15.5308384834165,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,NA,NA,0.52,12.1,18.75,21.7,24.65,15.7,3.67,12.235,-2.66750272790158,0.107984685866276,-0.392604335288478,0.385,-0.345,0.135
"KendallFrost",1992,10,"None",0.0436790048316764,0.254138869,0.393384472,0.3310556945,59863.4906339422,57218.05305,241524.56785,202102.15230625,79.7256741026103,65891.2331210936,0,207046.8029,51394.797805625,20.2743258973897,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,NA,NA,150.78,71.22,14.3375,18.1875,22.075,10.3375,3.31,12.50375,0.396203935807702,0.0280473683398619,-0.768334686639294,0.5275,0.86,1.16875
"KendallFrost",1993,9,"None",0.0288032747417454,0.313996033,0.392809347,0.355423762375,44786.8995435519,144975.4888,264264.8559,225629.01763125,87.4718727159798,39974.8625474288,0,119289.3672,32315.6343186,12.5281272840202,0.789763536066308,0.789763536066308,NA,NA,NA,NA,NA,NA,NA,323.61,356.78,12.9625,16.8875,20.85,9.7125,2.5125,11.705,0.887547217296677,-0.0155680564712691,0.0316210194504986,0.30125,0.9775,0.825
"KendallFrost",1994,10,"None",0.0342353660393543,0.340175315,0.421586946,0.3847446715625,39694.1798897499,147439.194795,264264.8559,206321.804386875,81.368708635975,35033.9359860483,0,98555.372395,47242.25954575,18.631291364025,0.769774882392473,0.769774882392473,NA,NA,NA,NA,NA,NA,NA,109.47,155,15.1125,18.5875,22.1,12.0125,2.475,11.8025,0.229594821766176,0.106758669968473,-0.11714521801332,0.4025,-0.32375,0.53875
