"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"LasFloresCreek",1984,6,"None",0.0685552154981319,0.324025357,0.504658826,0.3952342042,6075.45630755751,18084.2269,32975.45238,23856.696128,95.5292496066031,1023.44137914741,0,2011.5164745,1116.4887617,4.47075039339691,0.76673479390681,0.76673479390681,NA,NA,NA,NA,NA,NA,NA,115.03,2.18,11.68,16.48,21.32,8,2.304,12.938,-1.90731066692931,-0.0479116745365564,-0.484182078589035,-0.6,0.642,-0.352
"LasFloresCreek",1985,4,"None",0.032754645097283,0.410638603,0.485010298,0.4424059795,1281.84950003541,17886.43059,20694.42992,18850.6870125,97.8637575834295,822.9734515,0,1645.946903,411.48672575,2.1362424165705,0.764625828853047,0.764625828853047,NA,NA,NA,NA,NA,NA,NA,107.69,122.12,12.6,17.175,21.725,9.45,1.905,12.8075,-1.12297582007289,0.621359025297812,0.718217150043659,-0.4775,-0.2125,-0.3925
"LasFloresCreek",1986,8,"None",0.0584728523357683,0.245702612,0.424297086,0.355816314142857,6873.22112540188,18204.3172,33876.1314,26638.1541314286,94.0606860866022,1687.02682654729,0,4349.749735,1682.02429774286,5.93931391339779,0.760562696126838,0.760562696126838,NA,NA,NA,NA,NA,NA,NA,223.9,283.74,11.6714285714286,16.4142857142857,21.1285714285714,9.75714285714286,1.85714285714286,10.7657142857143,0.752203513454267,0.758116543970335,0.999094219349231,0.312857142857143,1.06714285714286,0.36
"LasFloresCreek",1987,5,"None",0.0120152819637597,0.381401706,0.411488805,0.398622989,7002.20566215351,17780.46842,34745.02168,23154.872962,100,0,0,0,0,0,0.783723055555555,0.783723055555555,NA,NA,NA,NA,NA,NA,NA,64.48,103.06,12.1,16.88,21.6,9.38,2.62,12.248,-0.161741603373739,0.482812493117922,0.770584601018359,1.408,1.482,1.454
"LasFloresCreek",1988,4,"None",0.0564287655155061,0.4052539495,0.485056275,0.44515511225,4207.12922241821,18545.162615,24494.94182,21520.0522175,96.0168634017824,1262.51342336439,0,1785.463606,892.731803,3.98313659821759,0.750569242831542,0.750569242831542,NA,NA,NA,NA,NA,NA,NA,1.51,1.51,13.3,17.5,21.75,12.2,1.99,11.195,0.632253779478443,-0.0111356789592175,0.222979499747185,-1.035,-0.305,-1.065
"LasFloresCreek",1989,5,"None",0.042238333867273,0.33503739,0.442260061,0.3925374388,7159.29276426992,17815.78917,32975.45238,26475.729214,94.9027661251173,1491.95050715169,0,3570.927273,1422.0131754,5.09723387488267,0.781906657706093,0.781906657706093,NA,NA,NA,NA,NA,NA,NA,36.05,26.11,11.76,17.08,22.42,9.84,2.566,14.45,-1.70748704093997,0.119690619226311,-0.000840544533942814,-0.42,-0.594,-0.744
"LasFloresCreek",1990,2,"None",0.0185578223107693,0.438943081,0.465187805,0.452065443,5092.51246884875,19599.48683,26801.38703,23200.43693,100,0,0,0,0,0,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,NA,NA,1.35,11.29,16.8,20.65,24.5,14.75,3.31,12.335,-1.82849491280054,0.402076863578704,-0.291528840776316,0.385,-0.345,0.135
"LasFloresCreek",1991,1,"None",NA,0.307762648,0.307762648,0.307762648,NA,32975.45238,32975.45238,32975.45238,94.9069846086274,NA,1769.569302,1769.569302,1769.569302,5.09301539137258,0.679084677419355,0.679084677419355,NA,NA,NA,NA,NA,NA,NA,0,0,11.4,15.1,18.9,8.7,2.49,8.74,1.17461762663754,-0.674489750196082,0.395073742445192,0.45,-1.65,0.35
"LasFloresCreek",1992,6,"None",0.05322199603531,0.285052924,0.405270341,0.3383132601,6988.12022704783,17815.78917,32975.45238,26251.089184,92.4540990283993,2581.61495425681,0,6272.964261,2142.5563762,7.54590097160073,0.835466164874552,0.835466164874552,NA,NA,NA,NA,NA,NA,NA,152.27,77.09,11.34,16.7,22,7.1,3.566,15.2,1.41441024848207,0.392553950447671,-0.403464233406854,0.49,0.766,0.996
"LasFloresCreek",1993,8,"None",0.0538738320639131,0.255808589,0.409431704,0.34557171475,6172.40928965371,18084.2269,34745.02168,29612.03468,97.8210143653482,1221.48764686687,0,2670.248318,659.614895625,2.1789856346518,0.783450664042499,0.783450664042499,NA,NA,NA,NA,NA,NA,NA,475.03,512.13,10.275,15.3,20.35,8.4,1.7425,12.22125,2.7191366048856,0.0625781753245896,0.000863241978707077,0.3075,0.735,0.86375
