"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"LasPulgasCanyon",1984,7,"None",0.0445209852397168,0.355635909,0.480134818,0.428889326333333,13650.5353140548,30167.4394,59942.81258,42980.0334308333,100,0,0,0,0,0,0.78400076911589,0.78400076911589,NA,NA,NA,NA,NA,NA,NA,115.98,2.46,12.9166666666667,17.55,22.2333333333333,9.33333333333333,2.325,13.085,-2.04197809571436,0.024520891889864,-0.723289204748017,-0.526666666666667,0.536666666666667,-0.318333333333333
"LasPulgasCanyon",1985,3,"None",0.048165203042831,0.391631238,0.486343274,0.444063158,2740.74279706789,36472.18928,41219.29533,38054.5581466667,100,0,0,0,0,0,0.755798148148148,0.755798148148148,NA,NA,NA,NA,NA,NA,NA,107.98,122.87,11.4,16.2,20.9333333333333,8.26666666666667,1.76,12.6533333333333,-0.91603134115765,0.751981720504368,0.793467976067769,-0.483333333333333,-0.346666666666667,-0.4
"LasPulgasCanyon",1986,7,"None",0.0574410258450488,0.286656014,0.458901603,0.374412900083333,10684.9431711692,33770.15388,59942.81258,55580.7027966667,100,0,0,0,0,0,0.774136586341526,0.774136586341526,NA,NA,NA,NA,NA,NA,NA,148.93,203.26,11.2333333333333,16.1833333333333,21.1333333333333,9.71666666666667,1.88333333333333,10.6216666666667,0.788076432234214,0.589649716831743,0.884450104659934,0.43,0.97,0.553333333333333
"LasPulgasCanyon",1987,6,"None",0.0734286031942765,0.316703187,0.51506383,0.407594117166667,11370.936022873,31333.02382,59942.81258,41768.53274,100,0,0,0,0,0,0.768421766726403,0.768421766726403,NA,NA,NA,NA,NA,NA,NA,91.01,135.31,11.4,16.2666666666667,21.15,9.01666666666667,2.39833333333333,12.0066666666667,-0.199981312739148,0.418927184328903,0.678117232191429,1.35,1.46,1.45666666666667
"LasPulgasCanyon",1988,6,"None",0.0166345130649397,0.390639946,0.430294372,0.412407407375,8157.23590296202,31968.79682,48790.2932,36587.865,100,0,0,0,0,0,0.771276892921147,0.771276892921147,NA,NA,NA,NA,NA,NA,NA,10.11,10.11,15.1,18.975,22.9,13.4,2.4475,10.6625,0.651842775403379,0.415394369570454,0.350197842055273,-1.12,-0.41,-1.4225
"LasPulgasCanyon",1989,6,"None",0.042099304737805,0.309078223,0.432882272,0.3704605945,10595.7790763502,33770.15406,59942.81258,45016.273585,100,0,0,0,0,0,0.765273372162485,0.765273372162485,NA,NA,NA,NA,NA,NA,NA,37.1,27.17,11.8333333333333,17.05,22.3166666666667,9.66666666666667,2.63666666666667,14.745,-1.75049032350648,-0.129255865882047,-0.263121275719413,-0.488333333333333,-0.548333333333333,-0.801666666666667
"LasPulgasCanyon",1990,2,"None",0.0141918890710688,0.426942529,0.447012891,0.43697771,349.657550426991,37863.82638,38358.31683,38111.071605,100,0,0,0,0,0,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,NA,NA,1.35,11.28,16.85,20.65,24.55,14.75,3.315,12.445,-1.91321961236158,0.401986567122431,-0.278907213473166,0.385,-0.345,0.135
"LasPulgasCanyon",1991,1,"None",NA,0.330935734,0.330935734,0.330935734,NA,58272.14255,58272.14255,58272.14255,100,NA,0,0,0,0,0.679084677419355,0.679084677419355,NA,NA,NA,NA,NA,NA,NA,0,0,11.4,15.1,18.9,8.7,2.49,8.8,1.21711118372195,-0.674489750196082,0.397838025404802,0.45,-1.65,0.35
"LasPulgasCanyon",1992,8,"None",0.0690032869941521,0.272002184,0.424463939,0.336043361785714,14154.3063179329,30432.34523,59942.81258,44934.0266357143,100,0,0,0,0,0,0.831290764208909,0.831290764208909,NA,NA,NA,NA,NA,NA,NA,163.71,82.24,12.0142857142857,17.1714285714286,22.3285714285714,8.44285714285714,3.49571428571429,14.7528571428571,1.4707432644391,0.214821314077256,-0.56465733504361,0.498571428571429,0.808571428571429,1.11
"LasPulgasCanyon",1993,7,"None",0.0575774033850528,0.293747609,0.450493527,0.388147390857143,9756.55207002173,33770.15412,59942.81258,55495.9332071429,100,0,0,0,0,0,0.782694041218638,0.782694041218638,NA,NA,NA,NA,NA,NA,NA,379.78,423.02,10.5571428571429,15.6428571428571,20.7285714285714,8.54285714285714,1.74714285714286,12.5528571428571,2.70655611667249,-0.0524259482275488,-0.142685235684485,0.308571428571429,0.837142857142857,0.854285714285714
"LasPulgasCanyon",1994,7,"None",0.0699564840982906,0.321285813,0.495090756,0.4015937475,12650.1887643185,31068.11799,59942.81258,46987.7587075,100,0,0,0,0,0,0.76571990047363,0.76571990047363,NA,NA,NA,NA,NA,NA,NA,96.78,134.79,12.2333333333333,17.0333333333333,21.8166666666667,10,1.89666666666667,12.5983333333333,2.04669254091543,0.0371917527373783,-0.0412635702402189,0.378333333333333,-0.366666666666667,0.585
"LasPulgasCanyon",1995,3,"None",0.0325478284019205,0.455258292,0.519578295,0.484526037333333,15682.1046355608,30393.49208,59942.81258,42132.9247,100,0,0,0,0,0,0.750253240740741,0.750253240740741,NA,NA,NA,NA,NA,NA,NA,58.41,58.63,13.0666666666667,17.2,21.3,11.1333333333333,2.03333333333333,11.1666666666667,3.8436932887654,1.01996627715749,0.967283051596856,-0.18,0.913333333333333,-0.226666666666667
"LasPulgasCanyon",1996,7,"None",0.0457019880397549,0.3630837915,0.471713091,0.4440814321,10136.5940149674,33628.87145,59942.81258,42619.762358,100,0,0,0,0,0,0.735900215053763,0.735900215053763,NA,NA,NA,NA,NA,NA,NA,58.04,11.39,12.62,17.38,22.18,10.6,2.06,12.866,2.54160737781271,0.0544356932823842,-0.503203791981971,-0.352,1.028,-0.726
"LasPulgasCanyon",1997,12,"None",0.0354410931418809,0.38326356,0.474853201,0.4228752851875,13209.6237625123,30432.34492,59942.81258,45162.854461875,100,0,0,0,0,0,0.817762705613159,0.817762705613159,NA,NA,NA,NA,NA,NA,NA,189.91,190.94,11.9375,17.0625,22.2,9.9875,2.1275,13.58375,1.9754481145431,-0.438284489734512,-0.57286319131963,0.74625,1.085,0.69375
"LasPulgasCanyon",1998,12,"None",0.0643779260237533,0.323971434,0.494796654,0.400986546111111,12248.2568472468,32645.188955,59942.81258,45790.582385,100,0,0,0,0,0,0.785262845220162,0.785262845220162,NA,NA,NA,NA,NA,NA,NA,267.85,262.86,10.6111111111111,15.7666666666667,20.8777777777778,9.38888888888889,1.23222222222222,11.7844444444444,2.37489783146936,0.647963367638992,0.559534347859317,-0.0588888888888889,-0.488888888888889,0.464444444444444
"LasPulgasCanyon",1999,9,"None",0.0785720407425328,0.298723318,0.519417725,0.395720573,8735.60580437571,32233.70253,59942.81258,42262.013745,100,0,0,0,0,0,0.728868689196108,0.728868689196108,NA,NA,NA,NA,NA,NA,NA,60.42,109.06,10.5285714285714,16.1,21.6714285714286,8.17142857142857,1.45714285714286,13.3,-1.87128980990317,-0.586542728516248,-0.141479351227364,-1.32428571428571,-1.81142857142857,-1.24
"LasPulgasCanyon",2000,22,"None",0.05722792682087,0.321088595,0.4882146675,0.412691000242424,9730.43955987857,31333.02382,59942.81258,43458.4686484849,100,0,0,0,0,0,0.754502981427175,0.754502981427175,1.03576495465572,0.111295573032783,0.808206611325877,14.191798468526,7.9028041143643,NA,NA,107.39,68.94,12.1363636363636,16.8727272727273,21.5818181818182,11.1454545454545,0.985454545454545,10.6427272727273,-3.25153593658308,-0.0868337810981063,-0.293819278729567,-0.783636363636364,-1.11181818181818,-0.812727272727273
"LasPulgasCanyon",2001,15,"None",0.0647508323223247,0.336299268,0.512133983333333,0.4096516812,10579.7455079799,36062.46926,59942.81258,51172.7349931667,100,0,0,0,0,0,0.747845190412186,0.747845190412186,0.943707574339163,0.0953117931254436,0.812142657542992,13.9883459625099,8.26742610558707,NA,NA,265.8,245.03,11.04,15.65,20.27,10.73,0.88,9.376,-1.64959598373058,0.210071635431519,0.237591081293481,-0.322,-1.075,-0.441
"LasPulgasCanyon",2002,18,"None",0.0600836614106017,0.332195377,0.499244457,0.413523544727273,9552.67389832597,35161.79067,59942.81258,48452.5788334091,100,0,0,0,0,0,0.761417427442629,0.761417427442629,0.916711966989822,0.0835496415316852,0.744473690242074,13.707660098041,7.78671481942456,NA,NA,102.67,91.03,11.4545454545455,16.0909090909091,20.7090909090909,9.66363636363636,1.43,10.4436363636364,-2.91426437109666,-0.1568545440878,0.209858918248472,0.681818181818182,-0.363636363636364,0.399090909090909
"LasPulgasCanyon",2003,15,"None",0.0530894156781133,0.353353079,0.497322252,0.419455942041667,9754.1950397651,32862.41091,59942.81258,45626.4388977083,100,0,0,0,0,0,0.787957974510369,0.787957974510369,1.00357118158291,0.108168953246368,0.804278872618534,14.1320324943158,8.16664561146242,NA,NA,198.38,252.21,11.425,16.4875,21.55,10.7875,0.9425,10.8975,0.80373854083941,0.380099380779829,0.0686208724695292,0.27375,0.595,0.1675
"LasPulgasCanyon",2004,21,"None",0.0515127681391168,0.326008959,0.486228002,0.398218029007576,10942.9125788628,32233.70235,59942.81258,46380.1885614394,100,0,0,0,0,0,0.791141776637341,0.791141776637341,0.929430057262552,0.102830773534313,0.764948269033421,13.7160165306845,7.82124820087899,NA,NA,209.99,149.25,11.4818181818182,16.4636363636364,21.4454545454545,9.68181818181818,1.94818181818182,13.0654545454545,1.12292359557214,-0.00566367650209676,-0.261346613911369,0.426363636363636,-0.179090909090909,0.127272727272727
"LasPulgasCanyon",2005,18,"None",0.0523518502990984,0.357064050333333,0.53552672,0.474126238016667,9670.2226317237,32412.07155,59942.81258,43328.8842713333,100,0,0,0,0,0,0.792623569508448,0.792623569508448,0.93649342239544,0.0916444847257551,0.778011376831318,13.7861536017908,7.90275450100252,NA,NA,228.63,285.91,12.45,17.14,21.82,11.13,1.273,11.456,2.81698188011884,0.34937482928395,0.292603502784378,0.07,-0.201,0.04
"LasPulgasCanyon",2006,21,"None",0.0628042899508482,0.342251667666667,0.535233690666667,0.421584118757576,8630.42582107526,32452.69017,59942.81258,44979.7216765151,100,0,0,0,0,0,0.781869916038263,0.781869916038263,0.939254347691613,0.0822706431429152,0.803174246328639,13.7881146868304,7.86167418275271,NA,NA,189.44,178.56,11.4636363636364,16.8636363636364,22.2454545454545,9.34545454545455,1.48,13.6454545454545,-1.74079011181989,0.177846721734209,-0.436637373466999,0.114545454545455,-0.349090909090909,0.0554545454545455
"LasPulgasCanyon",2007,15,"None",0.0746296845059179,0.332598916,0.5290285,0.40738864295,9952.02215806671,31338.319735,59370.61679,43604.679773,100,0,0,0,0,0,0.73825854358679,0.73825854358679,0.989060431747801,0.111621589159062,0.791579476538978,13.4763435010638,7.80947022113851,NA,NA,157.25,116.08,10.8,15.92,21.01,8.07,1.632,12.821,-3.52519598935135,-0.180238978133493,-0.265601845382163,-0.47,-0.619,-0.509
"LasPulgasCanyon",2008,21,"None",0.0510836146617427,0.3041070455,0.481091695,0.404603721181818,9204.25568850972,34261.11196,59942.81258,45912.0817777273,100,0,0,0,0,0,0.76569659821238,0.76569659821238,0.96548113403942,0.0817512930573812,0.838089098634992,13.9349602889457,8.03985642841196,NA,NA,297.22,245.45,11.2272727272727,16.6909090909091,22.1636363636364,8.71818181818182,1.73,14.9027272727273,-2.12153804118522,0.0105888759306926,-0.322816437997327,-0.791818181818182,-1.63636363636364,-1.11181818181818
"LasPulgasCanyon",2009,22,"None",0.0354452582430972,0.3562585085,0.4597019965,0.404881813583333,6158.92412844493,37637.77412,54619.978425,43154.2822048333,99.6667669119229,456.269716342104,0,1442.851531,144.2851531,0.333233088077136,0.793361876920123,0.793361876920123,0.882497083519896,0.0792716888936631,0.784588623010379,13.6525165863764,7.83433455099272,NA,NA,138.02,192.74,11.32,16.55,21.79,7.82,3.526,16.949,-2.12051053126611,-0.315524948241805,-0.437861306412683,0.326,-1.033,0.036
"LasPulgasCanyon",2010,20,"None",0.0554523216243509,0.3316226695,0.501796954,0.415626495416667,9943.02468597886,31068.1183,59942.81258,46838.6460001667,100,0,0,0,0,0,0.772074025715423,0.763947228786508,1.12014048367498,0.134618890502498,0.889378774104039,13.5857266493172,8.08840746692459,NA,NA,452.3,315.64,10.83,15.35,19.86,8.65,2.783,12.664,1.0591234068179,0.502256840692333,0.936298128579371,-0.311,-1.034,-0.722
