"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"LosCerritosWetlands",1984,8,"None",0.0177625348435421,0.194059401,0.231859493,0.2127625227,90192.9604309814,802437.8728,1015202.4185,950752.081153333,98.253520253723,7143.94612550523,8134.4016185,25125.34625,16899.8449030333,1.74647974627696,0.793988073476703,0.793988073476703,NA,NA,NA,NA,NA,412.28411296,412.28411296,24.18,24.18,14.42,19.2,23.98,9.7,2.968,17.104,-2.32082626339679,0.00497003019946299,-1.00219164392847,-0.406,0.59,-0.304
"LosCerritosWetlands",1985,3,"None",0.0558198327399936,0.241365443,0.341218858,0.276879452333333,12209.2415582143,992225.8957,1013516.212,999419.1854,97.8355230924485,10948.427494113,9820.608208,30821.37176,22110.7802093333,2.16447690755155,0.777792891278375,0.777792891278375,NA,NA,NA,NA,NA,113.85618944,98.49432544,25.28,21.48,13.0666666666667,17.8666666666667,22.6333333333333,9.5,2.15666666666667,15.1333333333333,-0.51028878484232,0.226862457358342,0.0953260232360525,-0.506666666666667,-0.0233333333333333,-0.36
"LosCerritosWetlands",1986,10,"None",0.027975791676806,0.218563692,0.297356418,0.257014495928571,64188.9663477477,856036.8793,1011480.42,931893.186214286,97.5578777652147,18700.1940612404,2701.467346,47280.86779,23327.6606936429,2.44212223478529,0.788412455197133,0.788412455197133,NA,NA,NA,NA,NA,512.2792288,300.8518416,80.62,48.05,13.1,18.1142857142857,23.1571428571429,10.2285714285714,2.06285714285714,15.27,0.378201649268031,0.344351989611179,-0.20366099974755,0.327142857142857,1.01714285714286,0.365714285714286
"LosCerritosWetlands",1987,10,"None",0.0300623917466428,0.221406164,0.29128497,0.2466183592,28978.84915798,938063.01475,1012396.7885,961974.58657,98.6708995571054,11914.2212241403,467.900731105,29899.69903,12957.831080921,1.32910044289456,0.775785770609319,0.775785770609319,NA,NA,NA,NA,NA,394.515604128,621.304855328,25.88,62.25,13.66,17.96,22.26,10.56,2.348,13.818,-1.79668368215237,0.32852078530684,0.232330478690482,1.238,1.334,1.688
"LosCerritosWetlands",1988,17,"None",0.0197147186820188,0.20812960325,0.2556893595,0.230736623083333,62431.7717331056,804495.30265,983492.9317,923519.208972619,98.3075814802497,14576.1368993966,468.489031133333,42097.10572175,15898.8858140548,1.69241851975026,0.734654947516641,0.734654947516641,NA,NA,NA,NA,NA,458.910839008,436.65355104,48.79,48.79,13.9,18.4428571428571,22.9857142857143,11.1142857142857,2.40142857142857,14.8128571428571,-2.05110777843902,0.321516606507925,0.262393799471149,-0.875714285714286,-0.115714285714286,-0.924285714285714
"LosCerritosWetlands",1989,12,"None",0.0202164330855817,0.213715259,0.278175162,0.2323553090625,36827.5621099395,901541.302833333,1019872.589,983276.604129167,97.7611598774501,16545.1136905882,3464.231737,47927.11063,22518.1361969167,2.23884012254987,0.739099092741936,0.739099092741936,NA,NA,NA,NA,NA,921.545903552,818.786218528,34.39,30.41,13.2375,17.95,22.65,9.625,2.6275,15.49,-3.04817400472472,-0.158698588036738,-0.55972182367219,-0.665,-0.4275,-0.9525
"LosCerritosWetlands",1990,4,"None",0.0145036482724573,0.214856863,0.2430627015,0.230914561166667,25624.6771025824,939231.3768,990470.833,964560.35375,95.6325218510108,19065.4332382457,27222.95081,64757.37428,44050.875025,4.36747814898924,0.808872747055812,0.808872747055812,NA,NA,NA,NA,NA,620.87274096,601.352271712,56.21,60.19,13.5,18.4,23.3,10.8,2.11666666666667,16.1466666666667,-3.16873491010881,-0.08070251416212,-0.51770941686524,0.316666666666667,-0.9,0.193333333333333
"LosCerritosWetlands",1991,10,"None",0.0243022775058265,0.205851344,0.2738233785,0.22800642225,109663.585784702,752317.4806,1019577.726,862521.893025,95.2185753322793,65353.7443454893,474.9633782,169576.38305,43311.7534196167,4.78142466772068,0.779262671744325,0.779262671744325,NA,NA,NA,NA,NA,601.882645376,676.024239648,167.8,166.95,13.2,17.2833333333333,21.3833333333333,9.95,2.18166666666667,12.0116666666667,1.24896302136903,0.46660835281579,0.862929515422526,0.63,-0.776666666666667,0.61
"LosCerritosWetlands",1992,17,"None",0.0266143676683713,0.2082008842,0.2906423985,0.2359655691,63478.7858443082,807137.9429,992536.65455,942961.814005714,97.0860702058977,15614.4273431331,14073.54582,55913.5303886,28301.9440245619,2.9139297941023,0.855880529953917,0.855880529953917,NA,NA,NA,NA,NA,373.759956064,345.576528192,47.83,48.68,14.6714285714286,19.3,23.9428571428571,11.6571428571429,3.00571428571429,14.8428571428571,1.5761531292191,0.201071692431497,-0.623221862567585,0.54,0.851428571428571,1.04714285714286
"LosCerritosWetlands",1993,21,"None",0.0360237721539676,0.221056047,0.329115995,0.252308634333333,46460.102347047,848363.2884,999020.09825,940688.789813889,95.9794456825772,25792.9116930429,8595.240133,74571.26576,39405.2116923611,4.02055431742277,0.831202986857826,0.831202986857826,NA,NA,NA,NA,NA,1092.3771936,904.02233504,117.28,72.27,13.2555555555556,17.8333333333333,22.3666666666667,10.7888888888889,1.74555555555556,13.6277777777778,2.89424727255649,0.247432389114395,0.199282853612146,0.337777777777778,1.25555555555556,0.878888888888889
