"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"LosPenasquitos",1984,4,"None",0.00851671755557151,0.400572295,0.415431291,0.405597835333333,37406.4893015804,1535054.497,1605539.3,1563057.68633333,96.9717932518014,35168.7142020198,19001.39886,87598.24893,48810.7074733333,3.02820674819857,0.755379226403823,0.755379226403823,NA,NA,NA,NA,NA,1.479835968,1.479835968,2.62,2.62,13.8333333333333,17.8666666666667,21.9,10.1333333333333,2.45666666666667,11.7066666666667,-2.08539228001614,-0.676353025968871,-1.44382043555342,-0.433333333333333,0.766666666666667,-0.433333333333333
"LosPenasquitos",1985,4,"None",0.0421828298161176,0.372076891,0.463513899,0.4022345155,56906.4581638046,1482043.429,1607128.789,1566331.1435,98.0481359919849,57569.7268981412,900.7077026,117519.4179,31181.26981915,1.95186400801511,0.764625828853047,0.764625828853047,NA,NA,NA,NA,NA,26.753429472,2.356807264,110.79,12.45,14.25,18.2,22.1,10,2.88,12.895,-0.897417398054698,0.574249197992568,0.363275453683991,-0.4775,-0.2125,-0.3925
"LosPenasquitos",1986,9,"None",0.0370061397041839,0.323779533,0.433128245,0.4130906054375,346019.646547799,565585.0461,1623235.55,1325353.7502375,86.5157278712393,261941.24757121,11642.08761,700380.1885,206568.5751575,13.4842721287606,0.767421391369048,0.767421391369048,NA,NA,NA,NA,NA,94.59368624,103.454579296,270.41,302.92,11.9125,16.4875,21.0625,9,2.05,12.12,1.07929725901462,0.601643866104714,0.568073246215983,0.37,1.2,0.3875
"LosPenasquitos",1987,9,"None",0.0496867271613828,0.3008330485,0.435455456,0.3959671883125,65860.7072298997,1401682.4555,1613002.809,1543939.2584375,97.4644467341122,39091.352820095,6237.842247,117911.4844,40165.828260875,2.53555326588777,0.770158322932668,0.770158322932668,NA,NA,NA,NA,NA,24.412196448,39.9479256,127.55,193.38,12.775,16.825,20.9125,9.375,2.73375,11.7025,-0.544011210444841,0.378228219292118,0.209750156174352,1.2825,1.38,1.46625
"LosPenasquitos",1988,5,"None",0.0284324107993262,0.379910407,0.449431497,0.415777506125,87997.2834494543,1409615.789,1607312.453,1529410.028125,98.6337393138649,11947.3953324287,9314.376226,35067.54875,21185.172629,1.36626068613513,0.749695911738351,0.749695911738351,NA,NA,NA,NA,NA,7.395498656,7.395498656,16.81,16.81,14.6,18.525,22.475,12.075,2.595,12.235,-0.105924336015208,-0.294019379590966,-0.507205621221346,-0.8075,-0.0675,-0.9275
"LosPenasquitos",1989,7,"None",0.0203681971455648,0.388376778,0.446708856,0.422300116166667,151883.67308729,1218602.244,1610816.385,1526905.44458333,94.239925211327,155641.655005912,8039.257469,408744.7769,93326.5761439167,5.76007478867295,0.765273372162485,0.765273372162485,NA,NA,NA,NA,NA,11.709846304,8.700903136,40.77,28.9,13.2833333333333,17.5,21.75,10.6333333333333,2.26666666666667,12.8316666666667,-1.9986032071248,-0.165582247917049,-0.309048378592787,-0.488333333333333,-0.548333333333333,-0.801666666666667
"LosPenasquitos",1990,3,"None",0.00349405825414264,0.476566638,0.48355474,0.480056578333333,83613.6969034644,1438668.128,1588235.126,1535043.89866667,99.2140570742891,3036.46560050806,8692.710361,14344.20962,12160.1406936667,0.785942925710954,0.812891069295102,0.812891069295102,NA,NA,NA,NA,NA,3.527423776,6.536366944,12.51,24.38,16.8666666666667,20.1,23.3,14.1333333333333,3.34,11.8366666666667,-2.68056286685266,0.536277244218926,-0.306331528905086,0.353333333333333,-0.336666666666667,0.1
"LosPenasquitos",1991,2,"None",0.0125788201112633,0.389437632,0.40722677,0.398332201,114968.517716072,1359003.16,1521593.197,1440298.1785,99.1674112917324,9458.53572041411,5404.245544,18780.63504,12092.440292,0.832588708267592,0.769576366487456,0.769576366487456,NA,NA,NA,NA,NA,3.987854944,3.987854944,7.33,7.33,14.95,17.95,21,11.7,2.815,9.55,1.86275852507941,0.092650099298822,0.436188120953607,0.535,-0.64,0.485
"LosPenasquitos",1992,9,"None",0.0427981821758707,0.320799298,0.432388305,0.3877967210625,116426.475846791,1247633.316,1605783.019,1524758.1801875,95.3602159484215,130553.905282407,12509.2394945,394919.7636,74187.6328255625,4.63978405157851,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,53.174136544,35.054216224,154.58,76.57,13.7625,17.925,22.0625,10.1125,3.2075,12.465,0.214733656861156,0.120937239848621,-0.765371780766405,0.5275,0.86,1.16875
"LosPenasquitos",1993,9,"None",0.0605889517178733,0.306178698,0.480263532,0.3922378405625,140654.041736334,1195063.563,1620982.015,1518959.168625,94.0572215202339,146050.427925479,9840.672142,447489.5166,95971.76817525,5.94277847976608,0.785472563844086,0.785472563844086,NA,NA,NA,NA,NA,253.11254848,257.37705856,323.87,358.84,12.25,16.5125,20.825,9.325,2.31375,12.0375,0.562656598544602,0.24592496744246,-0.10604758739039,0.34125,0.98875,0.935
