"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"MuguLagoon",1984,6,"None",0.0237270373630095,0.3165877725,0.3742064155,0.345256218,747767.098167384,6426471.871,8004029.557,7526858.986375,89.4649719887808,672343.421082826,334236.1385,1865190.08,886332.0302375,10.5350280112192,NA,0.764749290621267,NA,NA,NA,NA,NA,NA,NA,102.07,5.23,9.65,14.95,20.225,6.35,2.1075,12.82,-1.02096642953068,0.176503039976455,0.02195301203093,-0.66,0.695,-0.21
"MuguLagoon",1985,8,"None",0.019039486144181,0.339501962,0.386427475,0.370532133916667,869718.366027064,5706538.808,7946654.9155,7038767.22758333,86.0770979119119,545401.688432811,547695.7392,2023594.004,1138514.99769167,13.9229020880881,0.828161727150537,0.784589150238948,NA,NA,NA,NA,NA,NA,NA,81.88,146.42,10.6166666666667,15.8333333333333,21.0833333333333,7.36666666666667,2.41833333333333,13.0666666666667,-1.22799084370484,0.0207957188493577,-0.23353428467965,-0.563333333333333,0.22,-0.34
"MuguLagoon",1986,12,"None",0.0394929506941007,0.302529388,0.432072675,0.377867003785714,597545.278037131,6510581.939,8053503.9915,7125519.17719048,88.4076361122839,403041.903207088,289169.88935,1347564.9551,934326.658004761,11.5923638877161,0.802695814132105,0.802695814132105,NA,NA,NA,NA,NA,NA,NA,126.39,123.56,11.3142857142857,16.5571428571429,21.8428571428571,9.58571428571429,1.69714285714286,13.0042857142857,0.312264349152781,0.0855680763264123,-0.0437606996576015,0.398571428571429,1.18714285714286,0.297142857142857
"MuguLagoon",1987,12,"None",0.0143469220317894,0.339631175,0.379609288,0.3658824136875,361292.893781692,7119418.711,8035728.4935,7609028.8978125,92.6731787956432,134484.121257615,418719.92215,871662.0684,601576.367591667,7.32682120435678,0.813345274497568,0.813345274497568,NA,NA,NA,NA,NA,NA,NA,160.33,162.39,11.3625,16.2875,21.225,9.65,1.78625,11.89875,-1.67965309814683,0.204457636054757,-0.223224005583722,1.255,1.2475,1.4225
"MuguLagoon",1988,7,"None",0.0156603510703566,0.355307278,0.398130423,0.3713461985,760295.635525344,6495948.265,8684646.918,7476793.2225,91.4433698074324,685678.070207565,133980.4309,2017319.292,699625.951733333,8.55663019256757,0.732343107825568,0.732343107825568,NA,NA,NA,NA,NA,NA,NA,147.91,95.74,10.8333333333333,15.8833333333333,20.95,9.85,1.49333333333333,11.9883333333333,-1.30091387888296,0.411948630699832,0.263261689469465,-0.898333333333333,0.0483333333333333,-0.771666666666667
"MuguLagoon",1989,13,"None",0.0264182484845001,0.3067140275,0.401796585,0.366207550203704,627410.224161697,6096632.2745,8394279.994,7628213.26646296,90.8643179230837,594351.071987279,97787.94497,2051448.1205,766955.971389259,9.13568207691633,0.738150493542698,0.738150493542698,NA,NA,NA,NA,NA,NA,NA,115.55,193.39,10.3333333333333,15.5888888888889,20.8666666666667,7.78888888888889,2.29333333333333,13.4833333333333,-2.0541396954064,-0.230947442917336,-0.635514436972521,-0.701111111111111,-0.683333333333333,-0.791111111111111
"MuguLagoon",1990,5,"None",0.0293872502858595,0.291990119,0.362114548,0.33230965175,903722.333248344,6230516.779,8155688.105,7002719.275125,89.4730549681631,441040.497186677,326559.6686,1366613.529,823904.36885,10.5269450318369,0.735535334261393,0.735535334261393,NA,NA,NA,NA,NA,NA,NA,76.65,84.05,9.625,15.05,20.5,7.6,2.295,12.82,-3.38598782141464,0.158720153082952,-0.112796604328025,0.2575,-0.57,0.1975
"MuguLagoon",1991,7,"None",0.0261919380789822,0.31400282,0.380590164,0.340673750166667,493641.281721801,6300933.445,7634243.545,7025951.35366667,88.7404286524731,432864.854629404,148807.6078,1357921.447,891467.415158333,11.2595713475269,0.774692323775388,0.774692323775388,NA,NA,NA,NA,NA,NA,NA,325.83,219.5,10.4166666666667,14.9,19.4,8.41666666666667,1.62666666666667,10.0683333333333,1.14742745768183,0.63451357491325,0.781392459284149,0.781666666666667,-0.873333333333333,0.721666666666667
"MuguLagoon",1992,10,"None",0.0146415314413141,0.324553975,0.360510026,0.34216871925,215706.882069582,6620669.365,7197798.482,6957379.93895833,86.7887112037279,385561.967838666,357647.6184,1445658.421,1059077.31966667,13.2112887962721,0.848119507168459,0.854869470579451,NA,NA,NA,NA,NA,NA,NA,128.4,217.75,13.2666666666667,17.4833333333333,21.7166666666667,11.3,1.58166666666667,10.5983333333333,1.46370483891621,0.321368984886478,-0.166192008964942,0.273333333333333,0.871666666666667,0.903333333333333
"MuguLagoon",1993,17,"None",0.0487231835523074,0.291585232,0.418457944666667,0.359961389148148,686447.587199256,5646156.069,7710955.731,7077488.5587963,87.6031222238382,635982.195117492,290335.197,2401179.851,1001548.3283963,12.3968777761618,0.800213937247539,0.800213937247539,NA,NA,NA,NA,NA,NA,NA,487.58,442.35,10.7444444444444,15.2777777777778,19.8555555555556,7.5,2.49777777777778,11.7111111111111,2.06423383222594,0.486119122372521,0.10181166595542,0.336666666666667,0.881111111111111,0.934444444444444
