"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"OrmondBeach",1984,6,"None",0.0110035895635807,0.146163053,0.170479735,0.160725271375,16079.4766544009,123829.2398,159229.2441,147618.9072125,99.6631926988374,997.742986,0,1995.485972,498.871493,0.336807301162609,NA,0.764749290621267,NA,NA,NA,NA,NA,NA,NA,112.02,5.53,10.025,14.875,19.725,6.8,2.095,11.695,-1.08200789600435,0.206547953656701,-0.037670856668403,-0.66,0.695,-0.21
"OrmondBeach",1985,5,"None",0.00542399324944524,0.1947193135,0.206706011,0.199183435375,15647.2718851344,122276.6496,157233.75835,145233.0740375,97.2378566764381,3702.62819994983,0,7307.937501,4125.49782075,2.76214332356186,NA,0.747822496639785,NA,NA,NA,NA,NA,NA,NA,76.99,156.7,9.3,14.3,19.25,5.775,2.42,11.385,-1.05023939966862,-0.246629189985767,-0.392544741764796,-0.6425,0.2475,-0.4075
"OrmondBeach",1986,14,"None",0.0300962193114194,0.182730461,0.284544839,0.237275749316667,14699.1569939465,115519.1602,158064.7712,144003.354428333,96.9801059102244,3161.88959120328,899.8209839,11242.468565,4484.16584890667,3.01989408977557,NA,0.776889250842314,NA,NA,NA,NA,NA,NA,NA,487.31,481.68,11.38,15.96,20.55,10.11,1.467,10.267,0.615117145256066,0.579839869126542,0.523915206894734,0.272,1.143,0.27
"OrmondBeach",1987,10,"None",0.0151948009041693,0.2222582665,0.261311206666667,0.238847874166667,7698.67442520564,135282.246166667,155629.9602,145560.09299,95.4858425442421,3664.98420763714,3599.283936,12437.516801,6881.451339,4.51415745575788,NA,0.763665294098822,NA,NA,NA,NA,NA,NA,NA,175.01,173.3,9.96,14.88,19.78,8.22,1.752,11.308,-1.03409452368891,0.120584270165603,-0.104576200580893,1.182,1.268,1.264
"OrmondBeach",1988,4,"None",0.015785022566279,0.2408631225,0.270885114,0.258692920833333,5830.99642799737,138332.2457,149991.0902,144083.44695,94.2849615398855,4006.04980059706,4499.104858,12463.39172,8733.55015833333,5.71503846011451,NA,0.690242969683393,NA,NA,NA,NA,NA,NA,NA,133.97,76.8,9.96666666666667,14.6333333333333,19.2,8.46666666666667,1.63,10.3266666666667,-1.13219779310106,0.567538165637365,0.473002807895581,-1.01333333333333,0.19,-0.62
"OrmondBeach",1989,12,"None",0.0249178374322231,0.203287102,0.277404105,0.2471855415625,6976.19145627223,131754.7374,149193.6006,141466.76103125,94.3895043931412,4692.49387942376,3189.94804,16717.240285,8408.759494875,5.6104956068588,NA,0.730650225014401,NA,NA,NA,NA,NA,NA,NA,110.46,192.08,10.2,15.1875,20.2125,7.9625,2.1875,12.1975,-2.04972230771445,-0.190956843044976,-0.518338832620216,-0.685,-0.72875,-0.75375
"OrmondBeach",1990,5,"None",0.00537684259892045,0.216346598,0.226828471,0.222281081166667,5766.14073224886,136636.69955,146652.93835,139994.857433333,94.1237618770179,7587.8689070574,0,13643.740145,8740.01529333333,5.87623812298213,NA,0.719038126440092,NA,NA,NA,NA,NA,NA,NA,83.62,93.29,8.3,13.4,18.5333333333333,6.36666666666667,1.85666666666667,11.0766666666667,-3.29473097138518,0.18166883225142,0.0679922605624003,0.213333333333333,-0.673333333333333,0.193333333333333
"OrmondBeach",1991,5,"None",0.0218267376198568,0.23513111,0.287649849,0.2493949002,14319.4017878386,118599.7222,153893.8493,140030.26652,95.7273528672001,2836.86169976128,2399.516483,9185.219351,6250.0413814,4.27264713279988,0.818497347670251,0.818497347670251,NA,NA,NA,NA,NA,NA,NA,338.31,236.41,9.46,13.78,18.1,7.04,1.796,9.718,1.08490163341148,0.522669896944383,0.864804747359394,0.81,-0.932,0.782
"OrmondBeach",1992,7,"None",0.0216855039618616,0.217515485,0.267979999,0.2485214943125,15091.1498958617,120664.0196,155880.4945,142068.27053125,93.2447477508318,5607.1680004534,2166.628204,15021.6872595,10292.343828375,6.75525224916816,0.893689236111111,0.893689236111111,NA,NA,NA,NA,NA,NA,NA,165.89,262.07,10.7,15.125,19.55,6.95,2.285,11.2775,1.16403248533918,0.186702359153356,0.0410084704952003,0.91,0.6825,1.4325
"OrmondBeach",1993,14,"None",0.0294896259000716,0.2234347335,0.3082706465,0.279241135277778,13175.6277204506,126874.554,159229.2441,139922.527716667,94.0788509423293,11446.8932984989,0,31075.529225,8806.4653728,5.92114905767065,0.858624073007339,0.858624073007339,NA,NA,NA,NA,NA,NA,NA,510.18,455.19,10.8222222222222,15.0333333333333,19.2444444444444,8.11111111111111,2.07444444444444,10.2588888888889,1.83000340120935,0.480858985392522,0.172984510949033,0.336666666666667,0.881111111111111,0.934444444444444
