"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"SanDieguito",1984,4,"Pre",0.0206674703996602,0.277886484,0.314879675,0.291059537833333,98106.0594252377,1900095.71,2071148.962,2013371.18066667,91.163876579758,26393.4409683804,164818.9058,212909.61105,195147.430216667,8.83612342024205,0.755379226403823,0.755379226403823,NA,NA,NA,NA,NA,NA,NA,2.54,2.54,13.4666666666667,17.5666666666667,21.6333333333333,10.0333333333333,2.25666666666667,11.36,-2.16650555518128,-0.713776997197418,-1.41065084968534,-0.433333333333333,0.766666666666667,-0.433333333333333
"SanDieguito",1985,5,"Pre",0.0665246793464985,0.2952595615,0.435744416,0.338077482875,97363.869865011,1968002.066,2183970.507,2055832.4965,91.8216621753219,69936.6591908709,114665.3869,261858.6692,183108.1279625,8.17833782467807,0.764625828853047,0.764625828853047,NA,NA,NA,NA,NA,NA,NA,119.77,18.94,13.8,17.825,21.8,9.875,2.645,12.4975,-0.257195877305493,0.737080811724595,0.580202690616851,-0.4775,-0.2125,-0.3925
"SanDieguito",1986,8,"Pre",0.115838382130444,0.290465622,0.555288382,0.382063713785714,67784.7838432967,1980177.422,2194803.71,2069920.42335714,91.6312471328111,71559.917936805,112475.4332,322280.2501,189047.437635714,8.36875286718885,0.760179170781216,0.760179170781216,NA,NA,NA,NA,NA,NA,NA,257.92,320.67,12.1285714285714,16.5857142857143,21.0571428571429,9.31428571428571,1.99,11.6342857142857,1.39415827810858,0.731666357010468,0.775088573421327,0.248571428571429,1.12714285714286,0.291428571428571
"SanDieguito",1987,8,"Pre",0.0290366495172644,0.257497645,0.353759323,0.319734102125,69892.2799199056,1926074.613,2151930.042,2093443.59775,93.4251233677801,57447.226453347,11709.18817,202648.651,147327.96592125,6.57487663221992,0.770158322932668,0.770158322932668,NA,NA,NA,NA,NA,NA,NA,121.59,159.67,12.4375,16.55,20.6375,9.25,2.60875,11.33,-0.622015826982342,0.287092575711804,0.186474918920637,1.2825,1.38,1.46625
"SanDieguito",1988,7,"Pre",0.0277509027138236,0.280366315,0.3575942015,0.318003996,126263.705078279,1846268.833,2138859.188,2031280.7647,93.9704873939705,47984.1539237131,79827.46564,192468.9062,130334.888291,6.02951260602953,0.740321729390681,0.740321729390681,NA,NA,NA,NA,NA,NA,NA,15.17,15.17,14.18,18.06,21.92,12.04,2.372,11.212,-0.183415916100244,-0.235438310505695,-0.198733682145444,-0.906,-0.012,-0.98
"SanDieguito",1989,8,"Pre",0.0303868531966226,0.26399213,0.350593047,0.306614620642857,75298.9351586114,1946512.246,2168393.517,2104418.82585714,92.8840278508369,53822.6212838016,77460.87689,243463.0737,161222.398527143,7.11597214916307,0.760787314388121,0.760787314388121,NA,NA,NA,NA,NA,NA,NA,47.17,33.91,13.0714285714286,17.1857142857143,21.2714285714286,10.7,2.14571428571429,11.8542857142857,-2.09491687376967,-0.0950155640578821,-0.248251773486152,-0.501428571428571,-0.482857142857143,-0.835714285714286
"SanDieguito",1990,3,"Pre",0.0203488644990312,0.332411555,0.372874308,0.353903578333333,163409.995556233,1913185.926,2238443.87,2085028.00666667,96.4342524795373,44188.6976280055,35124.06193,123209.7784,77095.8788366667,3.56574752046269,0.812891069295102,0.812891069295102,NA,NA,NA,NA,NA,NA,NA,13.52,26.78,16.5666666666667,19.8,23.0666666666667,14,3.20666666666667,11.3866666666667,-2.33531518451541,0.57423610379842,-0.183141077515952,0.353333333333333,-0.336666666666667,0.1
"SanDieguito",1992,10,"Pre",0.0504659866165709,0.2817856345,0.431820188,0.3367843431875,94164.6479587002,1940924.181,2240640.912,2159154.875,94.4093024441659,92690.5413246656,57018.325625,337556.9875,127860.089735,5.59069755583411,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,NA,NA,155.71,73.09,13.4875,17.6875,21.8875,9.975,3.20125,12.26375,1.56642832065771,0.147333644415274,-0.756348592772282,0.5275,0.86,1.16875
"SanDieguito",1993,8,"Pre",0.0676146357456984,0.30044691,0.478121175,0.368255649,129585.264358822,1892540.396,2259047.112,2091026.27875,92.410616433638,115581.644932076,62088.79899,411598.7538,171729.19183125,7.58938356636198,0.785472563844086,0.785472563844086,NA,NA,NA,NA,NA,NA,NA,307.64,350.04,12.0125,16.3,20.6375,9.2625,2.23,11.84625,2.17954622429553,0.200118149396293,-0.13022005349145,0.34125,0.98875,0.935
"SanDieguito",1994,12,"Pre",0.0436953457556548,0.2751926225,0.428536795,0.3616149864375,65229.4664323918,1946706.4795,2160552.109,2069682.165125,92.6957041069588,63061.6701974947,87283.89099,281711.3584,163088.1504625,7.30429589304117,0.762472553043395,0.762472553043395,NA,NA,NA,NA,NA,NA,NA,173.91,212.73,14.55,18.0625,21.625,11.7125,2.4,11.27,1.66043298002179,0.333891261628833,-0.0368433892658888,0.40375,-0.38875,0.515
