"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"SanElijo",1984,3,"Pre",0.0266204451509797,0.341120552,0.39292773,0.363481440666667,372989.751684541,1052015.704,1785783.995,1380095.30233333,76.1570321150524,372823.771839223,39620.50069,781541.061,432075.240563333,23.8429678849476,0.755379226403823,0.755379226403823,NA,NA,NA,NA,NA,NA,NA,2.44,2.44,13.1333333333333,17.3,21.4333333333333,9.93333333333333,2.08,11.1566666666667,-1.97757990302273,-0.713248073884104,-1.41482899963739,-0.433333333333333,0.766666666666667,-0.433333333333333
"SanElijo",1985,4,"Pre",0.00905458855575467,0.362831254,0.382352973,0.37595942,226843.566239143,1178934.171,1665453.208,1475941.135,81.0994325246128,233463.782979599,157612.9568,659627.6906,343974.355225,18.9005674753872,0.764625828853047,0.764625828853047,NA,NA,NA,NA,NA,NA,NA,115.66,16.08,13.35,17.425,21.525,9.725,2.3575,12.175,-0.667175918406623,0.735276902668812,0.63156080061058,-0.4775,-0.2125,-0.3925
"SanElijo",1986,8,"Pre",0.0503922153400665,0.295879362,0.450337385,0.389161999,225523.38675604,984708.0085,1668716.913,1404347.41164286,77.6304542329116,272900.293046375,66458.03538,887886.38975,404668.68329,22.3695457670884,0.760179170781216,0.760179170781216,NA,NA,NA,NA,NA,NA,NA,251.42,315.44,11.6571428571429,16.1857142857143,20.7857142857143,9.15714285714286,1.83428571428571,11.2628571428571,1.13747215887451,0.688104046865098,0.79746268275092,0.248571428571429,1.12714285714286,0.291428571428571
"SanElijo",1987,6,"Pre",0.0412730058311355,0.331020806,0.455969654,0.386643609666667,228363.671928159,1004740.83,1699065.471,1401506.83216667,78.1575782514449,263110.966907389,104481.902,867853.5685,391674.153633333,21.8424217485551,0.767889508661888,0.767889508661888,NA,NA,NA,NA,NA,NA,NA,45.83,81.39,13.75,17.5,21.1833333333333,10.9333333333333,2.59166666666667,10.6516666666667,-0.954974633019265,0.367590595679182,0.305324505463252,1.30666666666667,1.35166666666667,1.61166666666667
"SanElijo",1988,6,"Pre",0.037731618931773,0.331691431,0.4128777375,0.383989561125,261235.799745642,986861.0323,1575308.3175,1369848.448825,75.1685920713395,290286.03463201,178120.82457,862244.3806,452519.658755,24.8314079286605,0.749695911738351,0.749695911738351,NA,NA,NA,NA,NA,NA,NA,13.49,13.49,13.875,17.875,21.9,12.075,2.095,11.1275,0.193088580646096,-0.225736530896046,-0.440392239326371,-0.8075,-0.0675,-0.9275
"SanElijo",1989,7,"Pre",0.0112305597799656,0.363269103,0.392977114,0.37679514025,180309.899435942,935923.3126,1441223.356,1285167.35435,70.4404404234909,213013.38021006,299970.4552,912525.1158,539306.40905,29.5595595765091,0.765273372162485,0.765273372162485,NA,NA,NA,NA,NA,NA,NA,44.6,30.53,12.6,16.95,21.3,10.45,2.155,12.3416666666667,-2.12134173133614,-0.0889235562507694,-0.203440444662935,-0.488333333333333,-0.548333333333333,-0.801666666666667
"SanElijo",1990,2,"Pre",0.012174544537042,0.350805797,0.368023203,0.3594145,62825.3436142342,1617835.928,1706684.381,1662260.1545,94.5931086103136,23565.1337582124,78350.83364,111676.9654,95013.89952,5.40689138968637,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,NA,NA,2.31,16.38,17.65,20.9,24.2,15.4,3.2,11.425,-1.9214122797526,0.474430494886192,-0.394752640002883,0.385,-0.345,0.135
"SanElijo",1991,1,"Pre",NA,0.338297444,0.338297444,0.338297444,NA,1426045.532,1426045.532,1426045.532,76.1534656689708,NA,446548.866,446548.866,446548.866,23.8465343310292,0.679084677419355,0.679084677419355,NA,NA,NA,NA,NA,NA,NA,0,0,12.2,15.4,18.6,8.5,2.88,8.91,1.25679044949707,-0.764709673786387,0.238872133858132,0.45,-1.65,0.35
"SanElijo",1992,10,"Pre",0.0339566880699912,0.328463158,0.418549875,0.371908742,233393.306492048,1006906.034,1697933.4065,1453280.1448125,81.1097347649511,209158.805342163,86411.31064,748981.4285,338465.50572375,18.8902652350489,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,NA,NA,153.73,70.38,13.1,17.4125,21.7125,9.7,3.205,12.29375,1.65299555959817,0.166259965597875,-0.740363493284753,0.5275,0.86,1.16875
"SanElijo",1993,8,"Pre",0.0331853064775252,0.320359891,0.435345857,0.380808042,247123.534594514,902204.9104,1622466.589,1350220.11055,75.5190963438985,258015.158884529,125131.0377,970389.4877,437698.67545,24.4809036561015,0.789763536066308,0.789763536066308,NA,NA,NA,NA,NA,NA,NA,289.59,338.04,11.825,16.175,20.55,9.3875,2.065,11.56375,2.46492001936897,-0.0560535299657873,-0.13515229193212,0.30125,0.9775,0.825
"SanElijo",1994,11,"Pre",0.0432926075782487,0.302739469,0.424435935,0.3841614295,210955.720407867,1244784.286,1813667.048,1544993.2414375,86.4131571345796,221875.902204599,15301.4247,576651.6167,242921.114048125,13.5868428654204,0.762472553043395,0.762472553043395,NA,NA,NA,NA,NA,NA,NA,171.75,204.97,14.175,17.75,21.3625,11.6375,2.2225,10.98875,2.36202790753734,0.356255364440223,-0.00253189958460665,0.40375,-0.38875,0.515
"SanElijo",1995,2,"Pre",0.0685002198942587,0.362357689,0.459231629,0.410794659,164119.86575106,1395378.239,1627478.779,1511428.509,86.6400104430164,61566.7907709046,189529.7244,276598.3149,233064.01965,13.3599895569837,0.754571527777777,0.754571527777777,NA,NA,NA,NA,NA,NA,NA,43.46,45.14,13.9,17.75,21.65,10.85,2.82,12.28,4.34063234310955,0.506102695433562,0.227640624455207,-0.255,0.855,-0.34
"SanElijo",1996,6,"Pre",0.0136160259752932,0.375274439,0.410093087,0.3966264736,217350.704675579,1236833.602,1805451.115,1456071.5226,81.9216093549103,240260.388404526,67143.28321,635760.7964,321324.617522,18.0783906450896,0.746402634408602,0.746402634408602,NA,NA,NA,NA,NA,NA,NA,64.58,14.67,13.52,17.44,21.38,11.22,2.276,11.036,3.05687728975794,0.010938525662967,-0.559687962433565,-0.364,0.782,-0.694
"SanElijo",1997,11,"Pre",0.0137658108331912,0.374620135,0.420255308,0.3977402638125,209541.391030271,1187909.042,1743650.393,1431237.0705625,78.8017681645758,214171.69173375,68693.871935,684685.356,385012.873948125,21.1982318354242,0.835468367575525,0.835468367575525,NA,NA,NA,NA,NA,NA,NA,164.65,183.4,12.1875,16.65,21.0875,9.825,2.1775,12.4075,2.64742565814204,-0.271750211458579,-0.641139274811795,0.89625,1.24125,0.8775
