"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"SanOnofreCreek",1984,4,"None",0.0306854688476919,0.224612819,0.283056331,0.248428190666667,1865.12470617275,9536.359294,13116.026085,11629.0604196667,88.5755279052475,1872.8859096554,0,3599.09271,1499.9162793,11.4244720947525,0.734113172043011,0.734113172043011,NA,NA,NA,NA,NA,NA,NA,17.87,17.87,11.7,16.5,21.3333333333333,7.93333333333333,2.18666666666667,13.1366666666667,-2.34886085626946,-0.191502581346421,-0.904519432192351,-0.406666666666667,0.81,-0.246666666666667
"SanOnofreCreek",1985,2,"None",0.0713845247181746,0.296703552,0.397656515,0.3471800335,3094.39056973596,8759.322889,13135.452,10947.3874445,100,0,0,0,0,0,0.753713888888889,0.753713888888889,NA,NA,NA,NA,NA,NA,NA,9.85,9.85,12.6,17.3,22.05,9.5,1.765,13.28,-0.915386776965455,0.029404889759054,0.101035705881551,-0.59,-0.195,-0.6
"SanOnofreCreek",1986,6,"None",0.0326787547799528,0.311954173,0.396562325,0.3435922959,2661.54450575086,7184.05756,13135.452,11945.173112,100,0,0,0,0,0,0.800175570276498,0.800175570276498,NA,NA,NA,NA,NA,NA,NA,168.86,107.75,9.64,15.4,21.14,7.82,1.542,12.968,0.178350289825719,0.604914552646929,0.776009366269989,0.708,1.166,0.658
"SanOnofreCreek",1987,6,"None",0.0481489924160344,0.2940410125,0.401426539,0.3522554929,3013.32814115829,7374.784714,13135.452,10651.0538546,98.33692038069,402.785678951965,0,900.6561585,180.1312317,1.66307961931,0.750518431899641,0.750518431899641,NA,NA,NA,NA,NA,NA,NA,125.18,142.51,10.66,15.68,20.68,8.3,2.014,12.366,-0.681426115736524,0.467656818199128,0.594448004651601,1.246,1.252,1.432
"SanOnofreCreek",1988,4,"None",0.0225288183819543,0.324355106,0.3562156665,0.34028538625,1446.04700408076,10497.05935,12542.078635,11519.5689925,100,0,0,0,0,0,0.750569242831542,0.750569242831542,NA,NA,NA,NA,NA,NA,NA,1.61,45.39,13.2,17.4,21.55,12.35,1.755,10.63,0.20943786066056,-0.0632356019684252,0.296854055265927,-1.035,-0.305,-1.065
"SanOnofreCreek",1989,4,"None",0.0108517374839157,0.323689715,0.349233171,0.3345054495,649.88513,11835.68174,13135.452,12810.509435,100,0,0,0,0,0,0.744881238799283,0.744881238799283,NA,NA,NA,NA,NA,NA,NA,29.23,19.45,10.85,16.375,21.925,8.15,2.33,15.4375,-1.65060592630149,-0.522581900104348,-0.79275125712363,-0.5725,-0.7075,-0.795
"SanOnofreCreek",1990,3,"None",0.0222524856480606,0.383612228,0.415081995,0.3993471115,4.99498179620482,7374.784714,7381.848685,7378.3166995,100,0,0,0,0,0,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,NA,NA,1.22,11,17,20.85,24.7,14.85,3.055,13.085,-1.91662518850976,0.367764602744548,-0.390739366460179,0.385,-0.345,0.135
"SanOnofreCreek",1991,1,"None",NA,0.322511842,0.322511842,0.322511842,NA,10846.72575,10846.72575,10846.72575,100,NA,0,0,0,0,0.679084677419355,0.679084677419355,NA,NA,NA,NA,NA,NA,NA,0,0,11.6,15.3,19,8.7,2.34,9.31,1.2318239490234,-0.589455797849779,0.24851806282021,0.45,-1.65,0.35
"SanOnofreCreek",1992,8,"None",0.0295176847684212,0.297606655,0.387880658,0.342020495285714,2611.66848519944,7374.784714,13135.452,10581.3224247143,100,0,0,0,0,0,0.829081208397337,0.829081208397337,NA,NA,NA,NA,NA,NA,NA,167.52,67.85,11.6571428571429,16.8142857142857,21.9285714285714,8.42857142857143,2.9,14.1628571428571,1.53806263657049,-0.00794060287341486,-0.500386484720859,0.467142857142857,0.751428571428571,1.17
"SanOnofreCreek",1993,6,"None",0.0455702280210479,0.191990476,0.292981419,0.2425791393,2133.31366411529,7957.562059,13135.452,10386.8613443,79.0750203489591,2133.31366553417,0,5177.889945,2748.5906587,20.9249796510409,0.794108485663083,0.794108485663083,NA,NA,NA,NA,NA,NA,NA,371.33,450.58,10.74,15.66,20.6,8.38,1.818,12.694,2.93291156137681,0.148160509573035,0.108121778045121,0.28,0.68,0.848
"SanOnofreCreek",1994,4,"None",0.0382774330830705,0.295496136,0.385443721,0.3493002275,2873.23934972077,6205.697533,13135.452,9496.62460925,84.5718330841312,3464.8772355,0,6929.754471,1732.43861775,15.4281669158688,0.765162175979263,0.765162175979263,NA,NA,NA,NA,NA,NA,NA,91.07,107.35,12.8,17.3,21.725,10.275,1.93,12.535,2.07182560570897,0.130751377432917,-0.106961348450294,0.4425,-0.535,0.6525
"SanOnofreCreek",1995,3,"None",0.067507680810455,0.184806812,0.316404186,0.259319850333333,4142.80601077015,5230.869793,13135.452,9900.15384766667,89.182310293856,1039.98811589617,0,1801.312256,1200.87483733333,10.817689706144,0.76132859916368,0.76132859916368,NA,NA,NA,NA,NA,NA,NA,52.1,39.3,11.2333333333333,16.1333333333333,21.1,9.1,1.80333333333333,12.7,3.7298767175421,0.110830483673846,-0.12201130521495,-0.496666666666667,0.716666666666667,-0.5
"SanOnofreCreek",1996,13,"None",0.0393221673803629,0.2688353925,0.395646898,0.330828839203704,2637.49303144399,5015.418309,13135.452,9428.76465212963,88.7413512187031,1481.59685364491,0,4263.105753,1196.23093633333,11.2586487812969,0.759320748705695,0.759320748705695,NA,NA,NA,NA,NA,NA,NA,189.83,59.34,12.0888888888889,17.1111111111111,22.1,9.83333333333333,2.00444444444444,13.49,2.67654858654865,0.28496353391078,-0.137240094970679,-0.428888888888889,0.777777777777778,-0.592222222222222
