"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"SantaAnaWetlands",1984,7,"Pre",0.0220747404243357,0.2944483025,0.356863954,0.317710409083333,16633.3680114307,298081.0944,342112.60545,330772.760141667,97.7680941602908,4492.23114513458,2708.7087775,16015.63271,7551.06930658333,2.23190583970921,0.802022543309439,0.802022543309439,NA,NA,NA,NA,NA,375.934403136,0.048704896,152.54,21.33,13.45,17.5333333333333,21.6666666666667,9.11666666666667,2.89333333333333,12.9616666666667,-1.37374436010929,0.365947941866513,-0.325668648903601,-0.536666666666667,0.498333333333333,-0.251666666666667
"SantaAnaWetlands",1985,9,"Pre",0.0491998061314187,0.281901418,0.404049343,0.330197185944444,11181.0249126846,313325.6922,342289.1835,328697.200191667,97.7522644868175,4716.48937136718,731.0333582,11908.42667,7558.13048253333,2.24773551318253,0.76613476702509,0.76613476702509,NA,NA,NA,NA,NA,144.132228832,386.257575744,122.29,152.04,11.95,16.2666666666667,20.5666666666667,8.81666666666667,1.96666666666667,11.7116666666667,-0.633465924928058,0.168419406692951,0.359336858796611,-0.506666666666667,-0.143333333333333,-0.418333333333333
"SantaAnaWetlands",1986,12,"Pre",0.0490871654986469,0.267573318,0.425580002,0.3357437845,22401.0093926268,276792.9275,342833.0449,323714.170388889,97.8980780293522,3400.90799967134,1988.269338,11654.15022,6950.30934873333,2.1019219706478,0.794797009586391,0.794797009586391,NA,NA,NA,NA,NA,529.525292672,611.864317376,230.45,290.31,12.6555555555556,16.9,21.1444444444444,10.3888888888889,1.84222222222222,11.29,0.518430798823072,0.410250351563888,0.42400524044426,0.361111111111111,0.945555555555556,0.397777777777778
"SantaAnaWetlands",1987,12,"Restoration",0.0212167435906882,0.28439385,0.340949792,0.315595386619048,18175.1519315799,286864.9306,340643.47545,321782.26557381,97.9825248670586,4276.99785967663,4084.252831,16123.340955,6625.5459317619,2.01747513294138,0.790215360983103,0.790215360983103,NA,NA,NA,NA,NA,109.403655808,160.824982432,79.34,120.94,13.1428571428571,16.9285714285714,20.7,10.4,2.52285714285714,10.72,-0.693050529298195,0.174602572095144,0.381931281262509,1.29571428571429,1.36857142857143,1.52142857142857
"SantaAnaWetlands",1988,14,"Restoration",0.0344787430273328,0.276713837,0.376167898,0.3353605334375,18878.3725013934,283962.0009,342075.52365,323467.5977,97.8777365076612,5925.28839854689,335.4982419,18173.42087,7013.68358165417,2.12226349233884,0.744198751120072,0.744198751120072,NA,NA,NA,NA,NA,18.23885088,18.23885088,51.55,51.55,14.45,17.5875,20.7,12.3,2.29625,9.405,-1.24993449810385,0.120516068786476,0.532980732081466,-0.92875,-0.12,-1.03
"SantaAnaWetlands",1989,17,"Restoration",0.0170704565645463,0.28344163,0.328711541666667,0.305868447740741,12980.8433803116,301174.7723,340431.5823,323606.507551852,96.9328092942794,6296.74235802177,4389.731939,21491.9088596667,10239.6998446667,3.06719070572058,0.764649522102748,0.764649522102748,NA,NA,NA,NA,NA,NA,2.01332448,45.18,29.28,14.2333333333333,17.8222222222222,21.4,11.6444444444444,2.5,11.49,-2.15001771255687,0.043205458739883,0.118709730624827,-0.454444444444444,-0.362222222222222,-0.855555555555556
"SantaAnaWetlands",1990,6,"Restoration",0.00967370556547118,0.281951578,0.302901898,0.288610900916667,3321.34110850008,328244.1652,334943.535,331341.639166667,97.3006040494623,4389.04541988016,2828.779068,12625.33436,9192.361011,2.69939595053771,0.811924385560676,0.811924385560676,NA,NA,NA,NA,NA,NA,NA,58.4,74.3,14.65,18.025,21.375,12.1,2.5625,11.1075,-2.19648758734612,-0.0783658140654503,0.0278783620800477,0.3325,-0.7825,0.16
"SantaAnaWetlands",1991,8,"Post",0.0136806313454473,0.161878899,0.201174205,0.186105070285714,22726.8707185114,270877.551,336306.7311,307732.639342857,90.518536533881,21971.4785011514,8514.583126,69260.92464,32233.793088,9.48146346611904,0.765749353558628,0.765749353558628,NA,NA,NA,NA,NA,557.18117856,557.18117856,154.42,153.41,13.1,16.2571428571429,19.4714285714286,10.3714285714286,2.03857142857143,8.82571428571429,1.34914016339224,0.0375032229089751,0.819601116020462,0.577142857142857,-0.898571428571429,0.552857142857143
"SantaAnaWetlands",1992,12,"Post",0.0234172208012657,0.176538882,0.246643263,0.21710757925,46354.8354081218,185399.7194,325576.08225,279347.1094625,84.0047603562901,46269.9940462482,14657.7397395,159421.5948,53190.1280436875,15.9952396437099,0.861965188172043,0.861965188172043,NA,NA,NA,NA,NA,20.76046192,19.841298592,62.1,51.16,15.05,18.4375,21.8375,12.1125,2.93125,10.38125,1.81938944313995,0.0466547453482637,-0.27049525012558,0.44125,0.905,1.0175
"SantaAnaWetlands",1993,15,"Post",0.0405633601927536,0.170505843,0.312462067,0.252471105145833,37534.4624093301,192519.3664,283767.75755,238269.892260417,76.4151754192544,39013.9146126722,4686.377732,125819.981563333,73539.7593606666,23.5848245807456,0.830068305971582,0.830068305971582,NA,NA,NA,NA,NA,2757.146501216,2755.433901152,246.87,213.27,13.0375,16.725,20.3875,10.05,2.22875,10.94875,3.10720090347298,0.344044436671246,0.346009551810243,0.31125,1.0475,0.84
