"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"SantaClaraRiver",1984,8,"None",0.0450270100527832,0.333956691,0.444524997,0.3649654099,98150.5503021306,668716.99515,875950.3265,762354.43865,87.614984935819,101084.05170896,208.1786951,211333.3299,107764.34206822,12.385015064181,NA,0.77213896953405,NA,NA,NA,NA,NA,NA,NA,119.96,4.83,10.64,15.3,19.94,7.72,1.874,11.248,-1.45989815402456,0.154572507258627,-0.184471394058577,-0.618,0.53,-0.312
"SantaClaraRiver",1985,7,"None",0.047181488174233,0.365668541,0.481550138,0.4231494688,74465.4250971079,701510.4056,889891.2481,785609.1387,88.7757936170054,67207.9991358867,4498.77478,169990.4443,99327.06597,11.2242063829946,NA,0.762399126344086,NA,NA,NA,NA,NA,NA,NA,85.49,169.04,9.56,14.78,19.98,6.4,2.21,12.304,-0.811529343856668,-0.0866302353448494,-0.252610913128727,-0.584,0.226,-0.334
"SantaClaraRiver",1986,15,"None",0.0826700441326274,0.23800405,0.467488337,0.383427172833333,86885.6361329243,678582.4018,908496.7703,788376.71488125,92.1056333816017,55370.8709040597,2554.597096,170682.0242,67571.7064437917,7.89436661839834,NA,0.777105557168483,NA,NA,NA,NA,NA,NA,NA,458.07,461.07,11.175,15.8875,20.5875,9.8625,1.4275,10.63,0.615224272068528,0.81141788203647,0.792571770861392,0.1925,1.1375,0.19
"SantaClaraRiver",1987,13,"None",0.0288199993981631,0.344261563,0.416122811666667,0.377977377833334,56900.7600980719,727702.2585,896051.9167,804373.908888889,92.9937492371065,45134.029745306,14999.45071,125645.985683333,60602.4099365555,7.00625076289346,NA,0.765372792125363,NA,NA,NA,NA,NA,NA,NA,174.09,165.87,10.2,14.9,19.5666666666667,8.38333333333333,1.70666666666667,10.6133333333333,-1.59657396978447,0.0193495838806164,-0.252630057685318,1.14666666666667,1.19333333333333,1.37166666666667
"SantaClaraRiver",1988,7,"None",0.0181567287840707,0.3825615795,0.429028001,0.4054378445,102225.226023516,653858.6241,903853.3231,789719.73437,93.9794079014643,48331.1664979784,7198.044312,126080.609175,50591.7253468,6.02059209853574,NA,0.696015168010753,NA,NA,NA,NA,NA,NA,NA,163.45,124.12,10.02,14.86,19.74,8.38,1.656,11.372,-1.34067763249963,0.45185003995968,0.424192576757793,-0.84,0.254,-0.572
"SantaClaraRiver",1989,11,"None",0.0457460847417987,0.3287427015,0.454605433666667,0.409916751738095,88029.0073010174,643795.174,877340.5289,772308.879102381,89.4583302087254,58464.29373333,18196.24051,156794.1556,91008.0163733333,10.5416697912746,NA,0.745271706989247,NA,NA,NA,NA,NA,NA,NA,48.16,113.61,10.2285714285714,15.4571428571429,20.6857142857143,7.98571428571429,2.29857142857143,12.9871428571429,-2.34711262794133,-0.317958337617791,-0.541566682785613,-0.578571428571429,-0.625714285714286,-0.71
"SantaClaraRiver",1990,5,"None",0.0488981642442865,0.3615198865,0.453722386,0.398210057,38417.478576458,613987.1284,690564.9708,654089.0741,79.9337018198344,49968.8822068158,125066.2914,220486.3966,164200.407318333,20.0662981801656,NA,0.781508377786252,NA,NA,NA,NA,NA,NA,NA,71.17,81.85,8.6,14.3666666666667,20.1333333333333,5.83333333333333,2.19,14.1233333333333,-3.29962860783889,-0.285099933359926,-0.528679186543231,0.233333333333333,-0.953333333333333,0.163333333333333
"SantaClaraRiver",1991,8,"None",0.0684201738131386,0.313931372,0.5165720095,0.402763178083333,73184.7504236459,625616.81915,816102.51435,736842.356016667,87.0192996898144,95258.8252597287,12164.337726,212109.8458,109915.039921,12.9807003101856,0.828213515531661,0.828213515531661,NA,NA,NA,NA,NA,NA,NA,395.64,301.04,10.2666666666667,14.5333333333333,18.8166666666667,7.9,1.755,9.80666666666667,1.53641000475451,0.625710895202671,0.759521315370203,0.781666666666667,-0.873333333333333,0.721666666666667
"SantaClaraRiver",1992,13,"None",0.0724419904261665,0.26931796,0.473070258,0.387308905510417,66317.4809884937,635729.5138,863187.8232,726580.675120833,88.7243369114199,68927.7484099578,899.7602539,183271.7413,92338.5756888209,11.2756630885801,0.90063731113274,0.90063731113274,NA,NA,NA,NA,NA,NA,NA,320.72,391.19,12.6125,16.75,20.85,10.4875,1.685,10.4825,1.50176090517916,0.261256952224688,-0.201977682991287,0.57,0.74375,1.12375
"SantaClaraRiver",1993,25,"None",0.0639238736334459,0.238186178,0.452420642,0.376736147219697,54397.1059473405,678033.694733333,847018.76575,783873.485220455,91.8946970635177,57125.5489410512,758.6163242,201083.3259,69139.2677120031,8.10530293648231,0.867737865696132,0.867737865696132,NA,NA,NA,NA,NA,NA,NA,503.61,469.76,11.3636363636364,15.5727272727273,19.7636363636364,8.88181818181818,1.90454545454545,10.4254545454545,1.95835325868344,0.398401838236871,0.140263369532831,0.311818181818182,1.00363636363636,0.879090909090909
"SantaClaraRiver",1994,16,"None",0.0748444258289128,0.317014703,0.5020533,0.427670185407407,46708.7590811435,722818.7578,864754.4613,795777.642525926,92.6079717582746,43896.6892660149,10692.9722305,137846.2303,63519.4864545741,7.3920282417254,0.853748020139956,0.853748020139956,NA,NA,NA,NA,NA,NA,NA,259.74,240.99,10.7222222222222,15.2777777777778,19.8333333333333,8.18888888888889,1.75888888888889,11.1711111111111,1.12190592165178,0.284062041710094,-0.0569169416101741,0.503333333333333,-0.672222222222222,0.568888888888889
"SantaClaraRiver",1995,15,"None",0.0567240270096245,0.34231443,0.484692228,0.400886770333333,110988.194711307,581374.6604,900661.7815,742634.539657143,86.3047933342264,68689.8910512268,8590.067244,214096.353,117844.3641984,13.6952066657736,0.831165508192524,0.831165508192524,NA,NA,NA,NA,NA,NA,NA,291.18,314.83,11.2285714285714,15.2571428571429,19.3142857142857,9.74285714285714,1.56428571428571,9.30857142857143,3.39122150706462,0.294860059379852,0.272242360914477,-0.398571428571429,0.598571428571429,-0.36
"SantaClaraRiver",1996,20,"None",0.0629647312253417,0.350599256,0.537468916,0.429253641805556,88797.3017963817,601711.056,861449.5083,751955.392120833,89.9410597503121,63194.4242704673,0,211788.6924,84098.1236019722,10.0589402496879,0.815751005489639,0.815751005489639,NA,NA,NA,NA,NA,NA,NA,457.27,286.9,11.625,15.5583333333333,19.4916666666667,9.54166666666667,1.8375,9.67,2.73350377060056,0.575465046782296,0.430662200699584,-0.460833333333333,0.683333333333333,-0.615
"SantaClaraRiver",1997,19,"None",0.063805824458747,0.385984027,0.559333558,0.483091659681818,43050.8450268986,669920.1568,819512.64035,718694.690545455,84.7483663239433,52739.241014773,15796.8892695,183508.100166667,129338.990479506,15.2516336760567,0.88362276247498,0.88362276247498,NA,NA,NA,NA,NA,487.4453952,552.1634416,293.09,339.66,12.0909090909091,16.3272727272727,20.5727272727273,9.01818181818182,2.72727272727273,11.9736363636364,1.76309094767248,-0.0934306526186132,-0.719126754448165,1.05909090909091,1.30181818181818,1.08636363636364
"SantaClaraRiver",1998,20,"None",0.0487996275615776,0.2801131765,0.4223865905,0.366798894583333,89351.5575544712,628993.876433333,908285.05185,809117.06538,92.932062289804,72564.5859327487,0,212011.027366667,61537.30884104,7.06793771019602,0.98018623655914,0.82713905062724,NA,NA,NA,NA,NA,2796.6238016,2750.127616,737.81,872.28,10.4,14.67,18.93,8.7,1.549,9.581,4.31441631620758,0.737664703957855,0.605396730123166,0.022,-0.38,0.493
"SantaClaraRiver",1999,30,"None",0.0668413135247694,0.3525726255,0.53140035525,0.446342781802976,103250.394136349,595758.8303,887468.8149,724014.32630504,85.5604799474843,83611.8594546354,20143.236153,292844.6921,122187.479422825,14.4395200525157,NA,0.732165123975909,NA,NA,NA,NA,NA,556.02302144,601.73483168,221.32,239.01,10.7,14.8083333333333,18.8916666666667,7.91666666666667,2.03,10.2766666666667,3.76975497981161,0.158202459944321,0.283167783102967,-1.22583333333333,-1.84333333333333,-1.23666666666667
