"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"SantaMargaritaEstuary",1984,4,"None",0.0242549851890811,0.262808885,0.308971342,0.281586580166667,159525.159447875,1224173.471,1541794.812,1391691.369,91.8717962059266,57927.1491595401,65750.21368,181589.2871,123127.570515,8.12820379407336,0.776960767622461,0.776960767622461,NA,NA,NA,NA,NA,10.6188,10.6188,9.06,1.49,12.6666666666667,17.1666666666667,21.6666666666667,8.86666666666667,2.46333333333333,12.8066666666667,-2.25114200855654,-0.162136574567641,-1.07148791294445,-0.45,0.62,-0.326666666666667
"SantaMargaritaEstuary",1985,5,"None",0.0225394630838723,0.252316427,0.30102248,0.275416139125,84291.9190094929,1258494.8825,1450585.192,1331063.890875,89.0506190137693,68794.3114562211,79260.53119,223573.71065,163663.384035,10.9493809862307,0.765863060035842,0.765863060035842,NA,NA,NA,NA,NA,44.08076256,12.30081792,105.99,15.8,13.2,17.125,21.075,9.925,2.0825,11.415,-1.2039960627475,0.563956545166881,0.228102724729935,-0.485,-0.13,-0.305
"SantaMargaritaEstuary",1986,6,"None",0.0183913849460737,0.273346941,0.320780057,0.2945712614,88682.7853101841,1220362.282,1435153.361,1367446.3577,87.5243592164694,60796.4564917971,101428.0573,262188.51605,194914.53239,12.4756407835306,0.791735516513057,0.791735516513057,NA,NA,NA,NA,NA,99.99936336,111.58376624,140.83,209.13,11.48,16.22,20.92,9.6,1.958,10.258,0.396377082360722,0.766875492096035,1.0577971073582,0.508,1.034,0.558
"SantaMargaritaEstuary",1987,3,"None",0.040142318147957,0.28264365,0.362050924,0.318930323666667,47715.5492344778,1365221.198,1460358.543,1414949.73433333,94.3731318175887,94105.009248461,23417.88666,192747.2143,84364.4317666667,5.62686818241133,0.771173835125448,0.771173835125448,NA,NA,NA,NA,NA,3.37819424,23.573736,24.11,53.57,12.7333333333333,16.4333333333333,20.2,11.0333333333333,2.29,8.18333333333333,-1.23643694941314,0.470797960254281,1.2432737107734,1.42333333333333,1.49,1.62333333333333
"SantaMargaritaEstuary",1988,5,"None",0.0188260455761956,0.254716906,0.2909290255,0.2698457975,57690.4502900702,1321876.882,1435388.2475,1372660.9505,89.3721233172536,54862.1433932724,109883.9189,219492.3442,163232.904933333,10.6278766827464,0.736508527479092,0.736508527479092,NA,NA,NA,NA,NA,15.72148736,15.72148736,7.91,7.91,11.5666666666667,16.1,20.6666666666667,10.8,1.60666666666667,10.7266666666667,0.109471070231586,-0.311897325343782,-0.282281562610285,-0.643333333333333,-0.04,-0.646666666666667
"SantaMargaritaEstuary",1989,7,"None",0.0128578907208648,0.258929466,0.292076438,0.275433359142857,124397.114949801,1077304.84,1466016.94,1336116.57828571,88.0126889081399,43255.6722599755,133301.8135,239106.1514,181978.8178,11.9873110918601,0.771549219150026,0.771549219150026,NA,NA,NA,NA,NA,16.024760288,11.874083744,36.93,28.34,12.5285714285714,16.9857142857143,21.4714285714286,10.5285714285714,2.80714285714286,12.3242857142857,-1.65136925774173,-0.103131939956446,-0.231644671773165,-0.462857142857143,-0.39,-0.847142857142857
"SantaMargaritaEstuary",1990,2,"None",0.00164612832314634,0.261009601,0.263337578,0.2621735895,36179.9012266165,1322892.403,1374058.51,1348475.4565,95.1320881749616,3044.54951116081,66848.70823,71154.35144,69001.529835,4.86791182503844,0.860686066308244,0.860686066308244,NA,NA,NA,NA,NA,0,4.150676544,1.52,10.11,16.85,20.2,23.55,15.15,3.21,9.515,-1.80754703763045,0.504884717661685,-0.215365773200971,0.385,-0.345,0.135
"SantaMargaritaEstuary",1991,1,"None",NA,0.229609371,0.229609371,0.229609371,NA,1553281.234,1553281.234,1553281.234,97.0729786676819,NA,46835.76593,46835.76593,46835.76593,2.92702133231813,0.679084677419355,0.679084677419355,NA,NA,NA,NA,NA,10.93311648,10.93311648,0,0,11.5,14.7,17.9,9,2.5,6.28,1.16230765853617,-0.355490417839531,0.38693862621097,0.45,-1.65,0.35
"SantaMargaritaEstuary",1992,8,"None",0.0251559451287795,0.227405971,0.300691962,0.265603400875,97600.8581587173,1215735.131,1531307.997,1418155.507,92.7323849012704,76643.3173240368,23417.88086,226316.4146,111143.57067375,7.2676150987296,0.82109573812724,0.82109573812724,NA,NA,NA,NA,NA,182.105623968,134.75681952,156.76,75.61,12.3875,16.7875,21.1875,9.1125,3.5475,12.1725,1.24300089024399,0.194303189861385,-0.592231029136479,0.5275,0.86,1.16875
"SantaMargaritaEstuary",1993,7,"None",0.0170761241559774,0.245923966,0.289049583,0.268386689571429,203101.830104936,1001244.095,1562326.952,1273207.58057143,87.507206619738,123270.274780126,49689.72429,412158.421,181766.96353,12.492793380262,0.773159629873455,0.773159629873455,NA,NA,NA,NA,NA,3407.85325632,3437.436100448,451.42,496.96,9.62857142857143,14.4,19.2285714285714,8.24285714285714,1.68857142857143,10.9628571428571,2.38818942872455,0.161864650738612,0.0295988326556526,0.337142857142857,0.652857142857143,0.851428571428571
