"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"TalbertMarsh",1984,7,"Pre",0.024113310883416,0.260830583,0.316240357,0.290555721285714,18409.9156336044,469146.6406,514244.3148,497295.449028571,98.5470501681018,7067.78390397264,826.3800465,17516.43627,7331.98343164286,1.45294983189819,0.799518170762929,0.799518170762929,NA,NA,NA,NA,NA,NA,NA,152.99,21.42,13.5428571428571,17.7,21.8428571428571,9.38571428571429,2.84571428571429,13.0342857142857,-1.51811843212259,0.276548048241966,-0.487417713719208,-0.532857142857143,0.551428571428571,-0.282857142857143
"TalbertMarsh",1985,8,"Pre",0.0248555708218098,0.239710102,0.313541098,0.280248427916667,43236.4661493195,400967.0341,508720.98,473895.415466667,97.7909073658463,7027.67275297225,3930.607465,24152.19692,10705.2782295,2.20909263415375,0.76613476702509,0.76613476702509,NA,NA,NA,NA,NA,NA,NA,122.97,152.84,11.95,16.2333333333333,20.5333333333333,8.78333333333333,1.97333333333333,11.775,-0.604923360042656,0.275130624837864,0.364103903511985,-0.506666666666667,-0.143333333333333,-0.418333333333333
"TalbertMarsh",1986,13,"Pre",0.0279117210953219,0.2425730285,0.343158747,0.2927709743,31660.717643125,429886.6616,513636.88915,474960.37786,96.1891262084543,24946.5918742059,761.0466285,85184.03323,18817.24189995,3.81087379154568,0.788462873143881,0.788462873143881,NA,NA,NA,NA,NA,NA,NA,237.08,296.36,12.73,16.9,21.06,10.4,1.924,11.179,0.617484336092394,0.386410965914782,0.350910386912286,0.313,0.936,0.34
"TalbertMarsh",1987,9,"Pre",0.0421808511166449,0.194924768,0.294136315,0.269942566533333,25988.7693950865,444671.279,515042.4425,484241.429636667,97.314516437555,11126.4283381072,0,29082.19113,13363.0875140667,2.68548356244498,0.77747958781362,0.77747958781362,NA,NA,NA,NA,NA,NA,NA,96.8,118.63,12.36,16.5,20.66,9.72,2.368,11.782,-0.541047701261236,0.511660364272714,0.304803213921351,1.284,1.324,1.344
"TalbertMarsh",1988,13,"Pre",0.0158266898435806,0.260698707,0.3048491245,0.281632186904762,27083.3225700806,425189.7996,510474.3972,482872.93777381,98.8693610960006,2343.53429079398,1522.093257,9104.306072,5521.98297919048,1.1306389039994,0.746169924475166,0.746169924475166,NA,NA,NA,NA,NA,NA,NA,44.73,65.32,15.0428571428571,17.9285714285714,20.8285714285714,13.1,2.27714285714286,8.80285714285714,-1.25669686489315,0.449872794927538,0.727357218537206,-1.08142857142857,-0.207142857142857,-1.20428571428571
"TalbertMarsh",1989,16,"Restoration",0.00720923696439955,0.253470533,0.2729621735,0.265683327479167,12752.0457766907,441269.727966667,477848.2336,459168.810502083,93.8416962132815,15836.2167451221,9632.87197233333,57209.23786,30132.671707375,6.15830378671854,0.754624462365592,0.754624462365592,NA,NA,NA,NA,NA,NA,NA,33.87,17.64,14.05,17.6625,21.2375,11.275,2.54625,11.57875,-2.23172365368019,-0.00684011995481101,-0.0833175888184476,-0.48125,-0.33625,-0.88625
"TalbertMarsh",1990,6,"Post",0.015664277466315,0.256075007333333,0.290920647,0.269924077583333,24336.8016390041,409322.2403,464385.9588,435304.95185,90.4515381581327,17701.3724751978,30736.2011233333,71079.24248,45952.7035908333,9.54846184186733,0.811924385560676,0.811924385560676,NA,NA,NA,NA,NA,NA,NA,59.74,75.97,14.675,18.05,21.45,12.075,2.56,11.29,-2.26105402313802,0.211214876761788,1.36243338089981e-05,0.3325,-0.7825,0.16
"TalbertMarsh",1991,6,"Post",0.0214686590389646,0.204609952,0.263118548,0.2367593254,46700.8117423322,375730.5379,482525.7548,443976.93284,91.8115271392265,18235.4890147387,16923.15915,67109.61262,39597.348815,8.18847286077348,0.734003629032258,0.734003629032258,NA,NA,NA,NA,NA,NA,NA,157.07,156.2,11.64,15.16,18.68,8.52,2.082,9.458,1.29321246930108,-0.0489661112446289,0.615515903123078,0.556,-1.216,0.566
"TalbertMarsh",1992,15,"Post",0.0184274510787396,0.228123956,0.282613723,0.2602515513125,24828.5117218571,409578.42955,471989.3814,445940.04585625,90.7360595257973,22761.9408322517,11452.797279,84085.795945,45529.44068175,9.26394047420271,0.861965188172043,0.861965188172043,NA,NA,NA,NA,NA,NA,NA,62.52,51.23,15.025,18.4625,21.9125,12.1,2.92625,10.51125,1.78916365803866,0.150213027300923,-0.288776209093907,0.44125,0.905,1.0175
"TalbertMarsh",1993,15,"Post",0.0455950991230339,0.217150072,0.378984062,0.283712971375,53461.5020757884,316298.4772,473958.2141,421717.450247917,88.0147937946433,18047.1859708328,28481.9073,76477.32731,57426.3755410417,11.9852062053567,0.830068305971582,0.830068305971582,NA,NA,NA,NA,NA,NA,NA,249.07,215.86,13.0125,16.7125,20.425,10.0375,2.19375,11.06125,3.04639737337331,0.40386107596364,0.344571692153909,0.31125,1.0475,0.84
"TalbertMarsh",1994,12,"Post",0.0119088320244848,0.261867157,0.306744677,0.287135067333333,26554.969330044,392222.4242,479804.7134,440564.355288889,89.5564396987703,32691.6615799787,8118.995573,96916.04156,51376.097872,10.4435603012297,0.808055124950219,0.808055124950219,NA,NA,NA,NA,NA,NA,NA,159.2,180.94,13.2555555555556,16.6888888888889,20.1555555555556,9.84444444444444,2.46333333333333,10.9277777777778,2.01568636803249,0.307039537910709,0.173401774768027,0.444444444444444,-0.34,0.498888888888889
"TalbertMarsh",1995,6,"Post",0.0424842427456313,0.241397472,0.3585784,0.3095953861,21349.0578130437,374385.0225,429017.5604,409875.3631,85.4691158595583,52205.7285892398,10954.840369,140685.6724,69684.2520638,14.5308841404417,0.786722007168459,0.786722007168459,NA,NA,NA,NA,NA,NA,NA,218.63,208.77,12.88,16.38,19.8,10.52,1.912,9.438,3.8875504049325,0.99927377278742,0.949674358265348,-0.198,0.728,-0.272
"TalbertMarsh",1996,11,"Post",0.0285285814925075,0.248586904,0.330382579,0.300228928479167,25591.1872030238,395785.9374,467709.165166667,438623.214589583,88.3182582297898,36723.2988778249,8097.819151,116756.1722,58016.1252039583,11.6817417702102,0.774387884493573,0.774387884493573,NA,NA,NA,NA,NA,NA,NA,346.93,209.49,12.625,16.5625,20.475,10.15,2.13,10.805,3.21898813209975,0.753057444694943,0.497204054510219,-0.46375,0.68125,-0.57875
"TalbertMarsh",1997,15,"Post",0.0241359077024524,0.2838675555,0.3536024745,0.306048877388889,36965.1714168969,373106.51835,486278.013,426764.94365,86.6201656669388,38746.8015803108,28792.681845,134247.7927,65920.4955477778,13.3798343330612,0.864133383825454,0.864133383825454,NA,NA,NA,NA,NA,NA,NA,193.37,313.38,13.8222222222222,17.8333333333333,21.8222222222222,11.1444444444444,2.33555555555556,12.3744444444444,2.15442821528038,-0.107299349412081,-0.604734267632807,0.982222222222222,1.19666666666667,0.846666666666667
"TalbertMarsh",1998,10,"Post",0.019158773194727,0.288969632,0.352077513,0.325327518785714,75333.982720699,259038.0957,469771.5715,413190.133692857,83.1910568491823,83199.6023852594,21779.03043,255368.669,83486.0107657143,16.8089431508177,0.819129928315412,0.819129928315412,NA,NA,NA,NA,NA,NA,NA,118.94,140.17,13.9428571428571,18.1857142857143,22.4428571428571,12.1714285714286,1.60857142857143,12.2571428571429,1.94848347048299,0.626200423460484,-0.0269454041651803,-0.422857142857143,-0.747142857142857,-0.0528571428571429
"TalbertMarsh",1999,19,"Post",0.0227369450395201,0.249217666,0.321187992,0.286614010479167,29038.2591069672,368020.8819,480316.7744,441063.232164583,92.0562466950622,19652.3464815797,15658.86048,69487.54774,38060.39931,7.94375330493776,0.749371784594214,0.749371784594214,NA,NA,NA,NA,NA,NA,NA,123.8,151.45,12.4083333333333,16.9083333333333,21.4083333333333,9.89166666666667,1.52583333333333,11.9375,-1.51331207837622,0.0611814642413351,-0.0397488881025515,-1.22583333333333,-1.84333333333333,-1.23666666666667
"TalbertMarsh",2000,29,"Post",0.0221059102361714,0.2263142955,0.310493094,0.281063173415278,20267.9766568091,415816.6719,485096.7604,452635.855183056,92.1576051125609,23461.1289500969,14039.6492775,99254.02289,38518.2439606972,7.8423948874391,0.775290676930596,0.769771317255317,1.02945869362171,0.129017100984485,0.786324248347385,14.143912149369,7.99977403820582,NA,NA,201.56,166.55,13.4083333333333,17.0583333333333,20.7,11.3166666666667,1.44083333333333,9.57166666666667,-2.21040997540469,0.164273929344406,-0.11255879540142,-0.835833333333333,-1.12583333333333,-0.850833333333333
"TalbertMarsh",2001,19,"Post",0.0139413145548312,0.28712376475,0.323542273,0.308367520638889,41788.7677175864,354950.9568,498023.9353,433335.739026852,88.3321063738455,39851.6862870138,16651.22671,113341.01917,57239.8362830556,11.6678936261545,0.784459170364681,0.784459170364681,0.853944590329449,0.0446652941906233,0.795601479857886,13.5696177682399,8.01970419243616,NA,NA,327.6,308.42,12.4222222222222,15.7555555555556,19.0888888888889,10.8666666666667,1.28777777777778,8.45666666666667,0.378942705151987,0.435166266244131,0.337755786018046,-0.325555555555556,-0.982222222222222,-0.462222222222222
"TalbertMarsh",2002,24,"Post",0.0195065013496867,0.2666790495,0.330821956,0.28510871830303,19707.5245592368,394323.956266667,463657.311966667,448512.700335606,92.8188750370455,24898.3371692092,6899.755974,74198.88534,34700.1161918485,7.18112496295448,0.784385130975655,0.784385130975655,NA,NA,NA,NA,NA,NA,NA,143.86,91.7,12.3545454545455,15.8272727272727,19.2818181818182,10.3090909090909,1.47181818181818,9.07090909090909,-1.53675718873713,-0.0784551022994246,0.23915046875473,0.611818181818182,-0.489090909090909,0.292727272727273
"TalbertMarsh",2003,23,"Post",0.0191761618714535,0.291526883,0.351536845,0.316690080758333,29621.5081982045,387809.115825,485840.19875,436798.021004167,90.2211532328966,27964.5121640983,11954.27131,92361.4660033333,47343.4528657333,9.77884676710337,0.793124210509473,0.793124210509473,1.01551738396287,0.108833144030373,0.799154669474864,13.5596052790069,7.76131040871369,NA,NA,280.6,354.21,13.32,17.15,21.01,11.02,1.524,10.989,0.449265976237235,0.465311409080491,-0.00679698447734759,0.289,0.426,0.185
"TalbertMarsh",2004,19,"Post",0.0264831237729271,0.262893957,0.341667061,0.300772648122222,36773.9225597628,362183.3013,475362.02675,413454.808598148,87.7663417907469,40289.4603192893,10817.11387,126012.262145,57631.031556737,12.2336582092531,0.802116058995592,0.802116058995592,0.875859727727042,0.0866300305164708,0.74371243469223,12.9560352832824,7.31439185777245,NA,NA,290.3,168.55,12.2444444444444,16.0666666666667,19.9444444444444,9.65555555555556,1.91,11.35,-0.311789457352956,0.334904596226322,0.0376316936914955,0.415555555555556,-0.315555555555556,0.0888888888888889
"TalbertMarsh",2005,20,"Post",0.0172268679288431,0.284726787,0.346053036,0.323783444954545,40875.049132157,347540.0251,467310.0926,412177.579481818,86.2176440095459,48871.8086887455,10764.14194,140922.2451,65888.8119359091,13.7823559904541,0.812213816447889,0.812213816447889,0.862019980032411,0.073305946824456,0.760051340375318,13.4314966864335,7.68027020111872,NA,NA,414.25,555.19,13.6090909090909,17.0363636363636,20.4545454545455,10.4727272727273,2.15454545454545,10.7990909090909,2.36343804058712,0.518953197275677,0.399932901216798,0.1,-0.0336363636363636,0.0454545454545455
"TalbertMarsh",2006,19,"Post",0.0128941774250722,0.277804902,0.315585374,0.2963879569,24854.9911909124,408661.8531,482237.9271,437001.07759,90.5414546733698,26737.7630262834,12240.32341,100264.003,45651.9559475,9.45854532663018,0.806607881784434,0.806607881784434,0.872741798799899,0.0699191249813169,0.771021104137131,13.1298450986899,7.54213651064495,NA,NA,202.69,199.88,13.2,17.21,21.21,9.47,2.466,12.776,-0.560389924925845,0.42212066985591,-0.278269316881001,0.036,-0.303,-0.029
"TalbertMarsh",2007,14,"Post",0.014523291597476,0.2458868695,0.297384557,0.266890635716667,21695.8303198423,395994.2438,469930.4958,434258.762523333,90.7221477075339,24586.7293452864,14715.91585,85173.7400666667,44410.1992425167,9.27785229246611,0.775139871671787,0.775139871671787,0.965517695173621,0.0888414677228083,0.752883506519432,12.832432092569,7.21240702435179,NA,NA,51.4,63.79,13.95,17.62,21.29,8.95,3.345,13.236,-2.76484619227328,-0.0542553158405036,-0.427958548419712,-0.381,-0.61,-0.481
"TalbertMarsh",2008,18,"Post",0.0115997961244584,0.2533218815,0.292501225,0.277999737592593,23372.1962120105,404858.5585,485532.8638,434315.874811111,88.694464953744,31590.9238270171,13377.4791526667,110212.1364,55360.5385227037,11.305535046256,0.801461074547852,0.801461074547852,0.903736974062618,0.0526385177694469,0.8180867511197,13.6675285968026,7.82311931515482,NA,NA,190.85,164.18,13.2777777777778,17.2888888888889,21.2888888888889,8.76666666666667,2.62333333333333,13.6111111111111,-2.44491860357457,0.00550612327428246,-0.29079480477595,-0.826666666666667,-1.64888888888889,-1.14666666666667
"TalbertMarsh",2009,20,"Restoration",0.0183508009227561,0.215715456,0.280258385,0.24641661865,91184.3523831274,136560.691,433785.195,343492.579670833,72.4648061695165,78314.7535642696,44116.0126933333,288028.4911,130520.389973083,27.5351938304835,0.830678509344598,0.830678509344598,0.831503185356657,0.0805766294455664,0.740461268958345,13.0253287538363,7.63748090615978,NA,NA,161.46,116.24,12.87,16.69,20.55,8.76,2.714,13.129,-2.20785603654844,-0.119699867445339,-0.204613060115178,0.326,-1.033,0.036
"TalbertMarsh",2010,16,"Restoration",0.0308690081949011,0.249239731,0.3345354,0.2963749085625,76304.9228561397,231809.8835,455846.7731,347064.512776042,68.9461412482309,66587.6874772893,59223.92177,261043.88175,156320.457713437,31.0538587517691,0.801377777777778,0.801377777777778,1.00348846957915,0.0983689243714093,0.823500036085804,12.8566598784718,7.66619106833805,NA,NA,353.13,187.47,12.825,16.2125,19.6,8.8625,2.86,11.5625,1.08128125361482,0.645823969406441,0.766331199238,-0.5575,-1.05,-0.8325
"TalbertMarsh",2011,19,"Post",0.0214765360595118,0.262672697,0.333920934,0.303966061886364,69001.3416062476,216497.0751,466632.0808,378550.299356061,83.4158100040276,53262.6809216204,27824.98632,176806.1557,75260.9138153788,16.5841899959724,0.789632548992226,0.789632548992226,0.939628343244073,0.11152122387455,0.766830900645642,13.3949563768915,7.6501671080734,NA,NA,179.83,365.61,12.3636363636364,15.8181818181818,19.3090909090909,8.55454545454545,2.21090909090909,10.6736363636364,1.6463191151871,0.321666922556866,0.455247032916832,-0.864545454545455,-1.76727272727273,-1.38363636363636
"TalbertMarsh",2012,4,"Post",0.0188570483041324,0.293734262,0.337676084,0.3122623745,63695.3093500519,258808.5116,399214.9741,342103.946175,83.8385326694454,51999.77025864,25709.58323,135632.1896,65947.0242825,16.1614673305546,0.841828914457422,0.841828914457422,0.808161609170252,0.0683180388799347,0.75117874569172,12.586983550358,7.25086560240133,NA,NA,69.34,72.26,13.775,17.3,20.85,10.1,2.5275,12.3875,-1.33722723147801,0.00181767862171251,-0.531769962274443,-0.0775,-1.7175,-0.32
"TalbertMarsh",2013,14,"Post",0.0330401808693032,0.184293159666667,0.2789249905,0.242220683194445,84694.6020092801,230267.771166667,466298.3161,386879.05565,80.7864955295882,92507.5615548324,18939.65693,262003.278533333,92011.6959711111,19.2135044704118,0.83535307646356,0.83535307646356,0.831251574510501,0.11440338482596,0.688826456158316,12.7503160772774,7.29323067890398,NA,NA,33.16,64.25,13.7333333333333,17.1833333333333,20.65,8.75,3.14666666666667,14.16,-2.7340087715817,-0.239291034394918,-0.423948211681958,-0.261666666666667,-0.981666666666667,-0.358333333333333
"TalbertMarsh",2014,34,"Post",0.0197896468677057,0.215894349,0.284176479,0.238739553771212,49976.1451659701,325152.6976,480454.4936,416508.473760758,85.8264061932136,45981.0270470352,13893.08847,166787.313556,68783.2822788788,14.1735938067864,0.88238270609319,0.88238270609319,0.877949182809361,0.0669942369112733,0.771149169383435,12.6434738881192,7.39335967097886,NA,NA,149.24,84.17,15.7181818181818,18.9454545454545,22.1454545454545,10.9363636363636,3.51818181818182,13.81,-3.92706905716108,0.113309551118584,-1.01607472010675,0.173636363636364,0.654545454545455,0.02
"TalbertMarsh",2015,35,"Post",0.0407219238437301,0.136533312,0.2801622425,0.238953163790909,96034.2944788626,161125.05213,464583.80815,369210.411709242,76.6385972849223,100496.026543331,27595.435785,353945.642733333,112544.767520636,23.3614027150777,0.920123168900991,0.920123168900991,0.917034423579612,0.0969645469328539,0.752000752143587,13.355623892201,7.75714343610281,NA,NA,183.97,234.37,14.7727272727273,18.4818181818182,22.1909090909091,10.0909090909091,3.11818181818182,13.9118181818182,-2.81139814215295,0.439244117231173,-0.442338548602037,1.50545454545455,0.923636363636364,1.22454545454545
"TalbertMarsh",2016,32,"Post",0.020524189316876,0.201190391,0.259761055,0.224722045045455,52945.4496927551,287484.50335,451594.783275,383301.204729091,79.8899317240443,70247.238223323,13522.246825,209145.349185,96485.4172611364,20.1100682759557,0.850219664666689,0.850219664666689,0.968005441790146,0.0935770289998503,0.794643816589652,13.5225366253972,7.99770252709793,NA,NA,204.04,102.52,14.9,18.2545454545455,21.6272727272727,10.7181818181818,2.78636363636364,12.2918181818182,-1.74301508539013,0.422687023683308,-0.252142255431959,0.167272727272727,0.663636363636364,0.317272727272727
