"Site","Year","scene_count","restStage","NDVI_sd","NDVI_min","NDVI_max","NDVI_mean","landArea_sd","landArea_min","landArea_max","landArea_mean","percLandArea","waterArea_sd","waterArea_min","waterArea_max","waterArea_mean","percWaterArea","SeaLevel_mean","SeaLevel_mean_filled","waveHs_max","waveHs_sd","waveHs_mean","waveTp_mean","waveTa_mean","Discharge_mean_cms_sum","Discharge_mean_cms_sum_WaterYr","ppt_sum","ppt_sum_WaterYr","tmindegreesC_mean","tmeandegreesC_mean","tmaxdegreesC_mean","tdmeandegreesC_mean","vpdminhPa_mean","vpdmaxhPa_mean","PDSI_mean","SPI_mean","SPEI_mean","ONI_mean","PDO_mean","MEI_mean"
"UpperNewportBay",1984,8,"Pre",0.0294154607147719,0.31918622,0.404971717,0.358716491071429,394342.932187265,1617436.906,2726396.1,2424897.44135714,79.3889377885347,324480.981256609,262750.7433,1293324.522,629555.117028571,20.6110622114652,0.799518170762929,0.799518170762929,NA,NA,NA,NA,NA,NA,NA,153.36,20.16,13.2428571428571,18.1,22.9857142857143,9.25714285714286,2.76571428571429,14.7614285714286,-1.4271756793675,0.226002110470825,-0.420356033834826,-0.532857142857143,0.551428571428571,-0.282857142857143
"UpperNewportBay",1985,8,"Pre",0.0200329645225662,0.353169871,0.410233383,0.37935609825,555871.365918303,1255699.001,2730072.336,1945279.78825,66.242128375734,429491.36121104,559500.5195,1542634.599,991340.510566667,33.757871624266,0.76613476702509,0.76613476702509,NA,NA,NA,NA,NA,NA,NA,121.85,154.42,11.5666666666667,16.8,22.0166666666667,8.58333333333333,1.90833333333333,14.02,-0.358636100201911,0.270176825073382,0.357628197856544,-0.506666666666667,-0.143333333333333,-0.418333333333333
"UpperNewportBay",1986,10,"Pre",0.0203669057696423,0.3549410715,0.410659073,0.380855045714286,518734.095792326,954146.5678,2542932.504,1786118.75187143,58.1393544966151,376363.703924254,732781.5058,1727428.397,1286015.03312857,41.8606455033849,0.777756101419062,0.777756101419062,NA,NA,NA,NA,NA,NA,NA,199.98,282.74,12.6142857142857,17.7714285714286,22.8714285714286,10.4285714285714,1.90285714285714,13.8757142857143,0.730731246297057,0.614902529111474,0.533701897169759,0.155714285714286,0.828571428571429,0.278571428571429
"UpperNewportBay",1987,6,"Pre",0.0168632902365046,0.370158347,0.403186989,0.38470224,358262.591060056,1391414.255,2079068.15533333,1793364.95961111,60.9385199852373,294772.142684087,823237.812333333,1396565.443,1149543.66377778,39.0614800147627,0.755650567502987,0.755650567502987,NA,NA,NA,NA,NA,NA,NA,26.35,44.22,12.4333333333333,17.4,22.4,9.93333333333333,2.68666666666667,14.64,-0.698972459029349,0.41177962728275,0.226906612285549,1.23666666666667,1.49,1.53666666666667
"UpperNewportBay",1988,12,"Pre",0.0196474882242883,0.354298791,0.417182665,0.390510403261905,199207.974174662,1644445.948,2252301.0495,1919779.98969048,65.7773166407172,233325.628580512,677054.37545,1352706.147,998824.915061904,34.2226833592828,0.746169924475166,0.746169924475166,NA,NA,NA,NA,NA,NA,NA,50.24,50.24,14.6428571428571,18.8142857142857,22.9857142857143,13.0714285714286,2.12,11.8971428571429,-1.09825429174968,0.384346273053385,0.672662293974948,-1.08142857142857,-0.207142857142857,-1.20428571428571
"UpperNewportBay",1989,13,"Pre",0.0250350423529767,0.360714122,0.426510314,0.395694838833333,308144.564359623,1605365.852,2440882.64,1975622.83602381,64.4713854384611,316736.567393504,667124.3273,1522719.434,1088717.75878095,35.5286145615389,0.763920660522274,0.763920660522274,NA,NA,NA,NA,NA,NA,NA,15.34,0.75,14.2,18.8571428571429,23.4714285714286,11.5142857142857,2.60571428571429,14.5728571428571,-1.98273383128125,-0.0300019330634913,-0.0664918908909323,-0.395714285714286,-0.207142857142857,-0.841428571428571
"UpperNewportBay",1990,6,"Pre",0.0471103211366541,0.320436306,0.424579843,0.38908327225,397846.671962857,1062674.396,1975481.653,1599320.072,54.0799022796007,405435.592234929,1028856.13646667,1864911.978,1358007.89011667,45.9200977203993,0.811924385560676,0.811924385560676,NA,NA,NA,NA,NA,NA,NA,58.29,72.88,14.175,18.95,23.7,11.725,2.5025,15.27,-1.98369013473822,0.105432220462506,-0.126341634391362,0.3325,-0.7825,0.16
"UpperNewportBay",1991,6,"Pre",0.0450826823421378,0.273781512,0.405419202,0.351434768333333,546991.902678526,1061264.874,2510722.422,1950216.43116667,67.3156637825204,572500.215753689,127880.7762,1700099.53,946904.8651,32.6843362174796,0.750581653225806,0.750581653225806,NA,NA,NA,NA,NA,NA,NA,152.77,151.53,12.3,16.6833333333333,21.05,9.43333333333333,2.075,12.0666666666667,1.2639419134323,0.0855335185038649,0.650054835336823,0.57,-1.11,0.541666666666667
"UpperNewportBay",1992,17,"Pre",0.0443925062637524,0.2924384795,0.426733309,0.361752867314815,334735.593268406,1203405.91375,2198572.164,1885196.93058333,62.2511099107483,330214.110941046,723010.043,1767946.15915,1143177.87797222,37.7488900892517,0.853979360812425,0.853979360812425,NA,NA,NA,NA,NA,NA,NA,62.95,50.62,14.8555555555556,19.3444444444444,23.8555555555556,11.8888888888889,2.97777777777778,14.3633333333333,1.89660067585748,0.0676254664193155,-0.55018204893987,0.51,0.944444444444444,1.09222222222222
"UpperNewportBay",1993,15,"Pre",0.0570720612976469,0.304247973,0.467622006,0.387762903314815,374828.74943654,1249388.44,2261042.379,1817954.59058704,61.289295600069,415853.96283306,777648.8271,1774935.436,1148231.54809815,38.710704399931,0.841801553166069,0.841801553166069,NA,NA,NA,NA,NA,NA,NA,364.25,331.94,13.0555555555556,17.6777777777778,22.2777777777778,10.1888888888889,2.20666666666667,13.4311111111111,3.07294266009595,0.435493057422929,0.383316035677154,0.27,1.02555555555556,0.806666666666667
"UpperNewportBay",1994,13,"Pre",0.0410720549033431,0.3420248085,0.459085304,0.412632249666667,254140.73905398,1477070.964,2241182.5135,1824343.12122222,61.6615887892638,387352.980632938,538792.2235,1759530.58,1134294.75536111,38.3384112107362,0.819159067602549,0.819159067602549,NA,NA,NA,NA,NA,NA,NA,149.47,171.05,13.3555555555556,17.9555555555556,22.5444444444444,9.96666666666667,2.46666666666667,14.1077777777778,2.06113161866747,0.257102471222241,0.0102687194429556,0.446666666666667,-0.502222222222222,0.596666666666667
"UpperNewportBay",1995,7,"Pre",0.025757341915331,0.406749219,0.469161029,0.4472592594,330469.849530225,1770798.1605,2583614.458,2265342.7824,75.4303791683762,98901.5952285768,634213.4219,876574.7953,737880.59706,24.5696208316238,0.79421582437276,0.79421582437276,NA,NA,NA,NA,NA,NA,NA,179.04,203.34,13.62,17.84,22.08,11.12,2.044,12.372,3.95801006268459,0.837272352562164,0.916901919196405,-0.196,0.768,-0.238
"UpperNewportBay",1996,16,"Pre",0.0161087796047439,0.384345171333333,0.428248224,0.409258986883333,364142.094772638,1389838.836,2535421.922,2056435.61053333,70.4370187214391,208163.40676763,524650.8199,1113183.25,863102.507151667,29.5629812785609,0.780649877487332,0.780649877487332,NA,NA,NA,NA,NA,NA,NA,376.87,200.84,12.44,17.21,21.96,10.03,2.177,13.158,3.08440393411435,0.589226472965077,0.35404232867727,-0.496,0.653,-0.572
"UpperNewportBay",1997,16,"Pre",0.0233953363934409,0.380346722,0.450375739,0.415900272383333,494655.810069765,881988.0049,2461029.4515,1813528.68356,60.773169195589,325214.868811443,711799.12275,1734191.637,1170565.62576167,39.226830804411,0.876148674475167,0.876148674475167,NA,NA,NA,NA,NA,NA,NA,341.53,322.31,12.99,17.93,22.85,9.79,2.487,14.93,2.28286300914527,0.0577775643169497,-0.318103858084056,1.123,1.176,0.965
"UpperNewportBay",1998,16,"Pre",0.0325798406585974,0.323824662,0.442194138,0.410845672933333,326220.196087659,1564305.414,2662780.019,2111045.33411667,71.7728581809715,312198.173141164,456405.273,1345744.925,830241.090333333,28.2271418190285,0.829813933691756,0.829813933691756,NA,NA,NA,NA,NA,NA,NA,225.67,392.47,13.35,18.27,23.2,11.68,1.669,13.925,2.83345559820726,0.765014362272794,0.318047320162094,-0.105,-0.617,0.27
"UpperNewportBay",1999,22,"Pre",0.0421283621940838,0.3463652715,0.4618689945,0.404836380138889,232379.300549037,1630618.959,2448570.851,2077923.36027778,69.8045520120353,262392.156352466,560059.891,1428717.654,898850.074095833,30.1954479879647,0.749371784594214,0.749371784594214,NA,NA,NA,NA,NA,NA,NA,117.13,143.58,11.95,16.9833333333333,22.0333333333333,9.45833333333333,1.5,13.2808333333333,-1.39895092374812,0.00183245799512397,0.19197238103817,-1.22583333333333,-1.84333333333333,-1.23666666666667
"UpperNewportBay",2000,29,"Pre",0.0270502734662882,0.357829657,0.439704889,0.407503457836364,141414.219568777,1909513.6545,2301137.228,2150158.60716061,70.8368658831305,224223.841731381,529795.3436,1218711.646,885208.048823334,29.1631341168695,0.775290676930596,0.775290676930596,NA,NA,NA,NA,NA,NA,NA,118.96,85.12,13.2636363636364,17.7272727272727,22.1818181818182,11.1909090909091,1.45909090909091,12.0681818181818,-2.12750691799984,0.124031794234358,-0.0475733498081659,-0.783636363636364,-1.11181818181818,-0.812727272727273
"UpperNewportBay",2001,24,"Pre",0.0445078129926595,0.294053224,0.45308188425,0.405443157886364,342743.335372234,1584938.151,2586790.919,2078143.46261364,71.8319379665051,297420.072415396,300677.0263,1344314.624,814919.875845454,28.1680620334949,0.787785870804822,0.787785870804822,NA,NA,NA,NA,NA,NA,NA,205.47,185.09,13.0545454545455,17.1,21.1636363636364,11.5545454545455,1.29636363636364,10.7936363636364,0.274719189182687,0.314671755421938,0.37436620193281,-0.288181818181818,-1.23636363636364,-0.346363636363636
