# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-01-23 13:35:30 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11023340 LOS PENASQUITOS C NR POWAY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11023340
#            TS   parameter     statistic     Description
#          7755       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	7755_00060_00003	7755_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11023340	1984-01-01	2.20	A
USGS	11023340	1984-01-02	2.00	A
USGS	11023340	1984-01-03	1.80	A
USGS	11023340	1984-01-04	1.70	A
USGS	11023340	1984-01-05	2.50	A
USGS	11023340	1984-01-06	2.50	A
USGS	11023340	1984-01-07	2.00	A
USGS	11023340	1984-01-08	1.80	A
USGS	11023340	1984-01-09	1.80	A
USGS	11023340	1984-01-10	1.80	A
USGS	11023340	1984-01-11	1.80	A
USGS	11023340	1984-01-12	1.70	A
USGS	11023340	1984-01-13	1.70	A
USGS	11023340	1984-01-14	1.70	A
USGS	11023340	1984-01-15	1.70	A
USGS	11023340	1984-01-16	3.90	A
USGS	11023340	1984-01-17	14.0	A
USGS	11023340	1984-01-18	2.60	A
USGS	11023340	1984-01-19	2.00	A
USGS	11023340	1984-01-20	1.90	A
USGS	11023340	1984-01-21	1.80	A
USGS	11023340	1984-01-22	1.80	A
USGS	11023340	1984-01-23	1.70	A
USGS	11023340	1984-01-24	1.70	A
USGS	11023340	1984-01-25	1.70	A
USGS	11023340	1984-01-26	1.80	A
USGS	11023340	1984-01-27	1.80	A
USGS	11023340	1984-01-28	1.70	A
USGS	11023340	1984-01-29	1.70	A
USGS	11023340	1984-01-30	1.70	A
USGS	11023340	1984-01-31	1.70	A
USGS	11023340	1984-02-01	1.70	A
USGS	11023340	1984-02-02	1.70	A
USGS	11023340	1984-02-03	1.70	A
USGS	11023340	1984-02-04	1.60	A
USGS	11023340	1984-02-05	1.50	A
USGS	11023340	1984-02-06	1.50	A
USGS	11023340	1984-02-07	1.50	A
USGS	11023340	1984-02-08	1.50	A
USGS	11023340	1984-02-09	1.80	A
USGS	11023340	1984-02-10	1.70	A
USGS	11023340	1984-02-11	1.40	A
USGS	11023340	1984-02-12	1.40	A
USGS	11023340	1984-02-13	1.30	A
USGS	11023340	1984-02-14	1.30	A
USGS	11023340	1984-02-15	1.30	A
USGS	11023340	1984-02-16	1.40	A
USGS	11023340	1984-02-17	1.30	A
USGS	11023340	1984-02-18	1.30	A
