"Agency","Site_no","Date","Discharge_mean_cfs","DataValQualCode"
"USGS",11046000,"1984-01-01",95,"A"
"USGS",11046000,"1984-01-02",79,"A"
"USGS",11046000,"1984-01-03",65,"A"
"USGS",11046000,"1984-01-04",58,"A"
"USGS",11046000,"1984-01-05",55,"A"
"USGS",11046000,"1984-01-06",53,"A"
"USGS",11046000,"1984-01-07",40,"A"
"USGS",11046000,"1984-01-08",42,"A"
"USGS",11046000,"1984-01-09",44,"A"
"USGS",11046000,"1984-01-10",40,"A"
"USGS",11046000,"1984-01-11",30,"A"
"USGS",11046000,"1984-01-12",20,"A"
"USGS",11046000,"1984-01-13",23,"A"
"USGS",11046000,"1984-01-14",29,"A"
"USGS",11046000,"1984-01-15",29,"A"
"USGS",11046000,"1984-01-16",29,"A"
"USGS",11046000,"1984-01-17",30,"A"
"USGS",11046000,"1984-01-18",30,"A"
"USGS",11046000,"1984-01-19",29,"A"
"USGS",11046000,"1984-01-20",27,"A"
"USGS",11046000,"1984-01-21",26,"A"
"USGS",11046000,"1984-01-22",24,"A"
"USGS",11046000,"1984-01-23",24,"A"
"USGS",11046000,"1984-01-24",23,"A"
"USGS",11046000,"1984-01-25",23,"A"
"USGS",11046000,"1984-01-26",23,"A"
"USGS",11046000,"1984-01-27",23,"A"
"USGS",11046000,"1984-01-28",21,"A"
"USGS",11046000,"1984-01-29",20,"A"
"USGS",11046000,"1984-01-30",18,"A"
"USGS",11046000,"1984-01-31",15,"A"
"USGS",11046000,"1984-02-01",15,"A"
"USGS",11046000,"1984-02-02",16,"A"
"USGS",11046000,"1984-02-03",20,"A"
"USGS",11046000,"1984-02-04",26,"A"
"USGS",11046000,"1984-02-05",29,"A"
"USGS",11046000,"1984-02-06",30,"A"
"USGS",11046000,"1984-02-07",29,"A"
"USGS",11046000,"1984-02-08",30,"A"
"USGS",11046000,"1984-02-09",26,"A"
"USGS",11046000,"1984-02-10",29,"A"
"USGS",11046000,"1984-02-11",27,"A"
"USGS",11046000,"1984-02-12",29,"A"
"USGS",11046000,"1984-02-13",26,"A"
"USGS",11046000,"1984-02-14",24,"A"
"USGS",11046000,"1984-02-15",21,"A"
"USGS",11046000,"1984-02-16",24,"A"
"USGS",11046000,"1984-02-17",18,"A"
"USGS",11046000,"1984-02-18",20,"A"
"USGS",11046000,"1984-02-19",23,"A"
"USGS",11046000,"1984-02-20",18,"A"
"USGS",11046000,"1984-02-21",17,"A"
"USGS",11046000,"1984-02-22",17,"A"
"USGS",11046000,"1984-02-23",16,"A"
"USGS",11046000,"1984-02-24",16,"A"
"USGS",11046000,"1984-02-25",15,"A"
"USGS",11046000,"1984-02-26",15,"A"
"USGS",11046000,"1984-02-27",15,"A"
"USGS",11046000,"1984-02-28",14,"A"
"USGS",11046000,"1984-02-29",14,"A"
"USGS",11046000,"1984-03-01",13,"A"
"USGS",11046000,"1984-03-02",13,"A"
"USGS",11046000,"1984-03-03",12,"A"
"USGS",11046000,"1984-03-04",12,"A"
"USGS",11046000,"1984-03-05",11,"A"
"USGS",11046000,"1984-03-06",11,"A"
"USGS",11046000,"1984-03-07",14,"A"
"USGS",11046000,"1984-03-08",14,"A"
"USGS",11046000,"1984-03-09",13,"A"
